META; english/premier-league/man-utd-v-west-brom; 2018-04-03 18:14:42 GMT+3; 2018-04-15 16:00; e70300-dr003
Man Utd; 1/6; 2/11; 2/11; 2/11; 1/5; 2/13; 1/6; 1/8; 1/5; 2/11; 1/6; 2/11; 1/5; 2/11; 1/6; 3/19; 2/13; 3/16; 1/5; 1/5; 1/6; 1/6; 2/11; 2/11; 2/11; 2/11
Draw; 6; 11/2; 11/2; 11/2; 34/5; 13/2; 6; 11/2; 23/4; 11/2; 6; 11/2; 6; 11/2; 6; 13/2; 61/10; 23/4; 6; 25/4; 6; 33/5; 34/5; 33/5; 34/5; 
West Brom; 14; 14; 18; 16; 35/2; 22; 16; 17; 15; 18; 16; 16; 16; 14; 16; 69/4; 20; 31/2; 14; 20; 69/4; 14; 21; 20; 93/5; 22
META; english/premier-league/man-utd-v-west-brom; 2018-04-11 16:46:04 GMT+3; 2018-04-15 16:00; e70300-dr003
Man Ut; 1/6; 2/11; 2/11; 2/11; 1/5; 2/13; 1/6; 1/8; 1/5; 2/11; 1/6; 2/11; 1/5; 2/11; 2/11; 1/6; 2/11; 3/16; 1/5; 1/5; 1/6; 1/6; 2/11; 2/11; 2/11; 2/11
Draw; 6; 11/2; 11/2; 11/2; 34/5; 13/2; 6; 11/2; 23/4; 11/2; 6; 11/2; 6; 11/2; 6; 23/4; 61/10; 23/4; 6; 25/4; 6; 33/5; 34/5; 33/5; 34/5; 
West Brom; 14; 14; 18; 16; 35/2; 22; 16; 17; 15; 18; 16; 16; 16; 14; 16; 17; 35/2; 31/2; 14; 20; 69/4; 14; 21; 20; 93/5; 22
META; english/premier-league/man-utd-v-west-brom; 2018-04-11 20:14:49 GMT+3; 2018-04-15 16:00; e70300-dr003
Man Utd; 1/6; 1/6; 2/11; 2/11; 1/5; 2/13; 1/6; 1/8; 2/11; 2/11; 1/6; 2/11; 1/5; 2/11; 2/11; 2/11; 2/11; 3/16; 1/6; 1/5; 2/11; 1/6; 2/11; 2/11; 2/11; 2/11
Draw; 6; 11/2; 11/2; 34/5; 13/2; 6; 11/2; 89/13; 11/2; 6; 11/2; 6; 11/2; 6; 23/4; 61/10; 13/2; 6; 25/4; 6; 33/5; 34/5; 33/5; 34/5; ; 
West Brom; 14; 16; 18; 16; 35/2; 22; 18; 17; 19; 18; 16; 16; 16; 14; 16; 17; 35/2; 31/2; 18; 20; 69/4; 14; 21; 20; 93/5; 22
META; english/premier-league/man-utd-v-west-brom; 2018-04-12 10:42:12 GMT+3; 2018-04-15 16:00; e70300-dr003
Man Utd; 1/6; 1/5; 2/11; 2/11; 1/5; 2/13; 1/6; 1/8; 2/11; 2/11; 1/6; 2/11; 1/5; 2/11; 2/11; 2/11; 2/11; 1/5; 1/6; 2/11; 2/11; 1/6; 2/11; 2/11; 2/11; 2/11
Draw; 6; 11/2; 11/2; 34/5; 13/2; 6; 11/2; 89/13; 11/2; 6; 11/2; 6; 11/2; 6; 23/4; 59/10; 13/2; 13/2; 25/4; 6; 34/5; 7; 33/5; 7; ; 
West Brom; 14; 14; 18; 16; 35/2; 22; 18; 17; 19; 18; 16; 16; 16; 14; 16; 69/4; 35/2; 15; 18; 19; 17; 14; 21; 20; 93/5; 22
META; english/premier-league/man-utd-v-west-brom; 2018-04-13 08:13:17 GMT+3; 2018-04-15 16:00; e70300-dr003
Man Utd; 2/11; 1/6; 1/5; 2/11; 1/5; 2/11; 1/6; 1/7; 2/11; 1/5; 2/11; 2/11; 1/7; 1/5; 2/11; 2/11; 3/16; 2/11; 1/5; 1/6; 2/11; 3/16; 2/11; 2/11; 2/11; 1/5; 1/5
Draw; 7; 11/2; 11/2; 67/10; 7; 13/2; 89/13; 11/2; 7; 13/2; 5; 11/2; 6; 23/4; 59/10; 13/2; 13/2; 6; 34/5; 29/5; 24/5; 7; ; ; ; ; 
West Brom; 18; 14; 18; 16; 18; 20; 18; 16; 19; 18; 18; 16; 20; 15; 14; 16; 67/4; 35/2; 15; 18; 14; 17; 14; 18; 93/5; 93/5; 
META; english/premier-league/man-utd-v-west-brom; 2018-04-13 16:13:19 GMT+3; 2018-04-15 16:00; e70300-dr003
Man Utd; 2/11; 2/11; 1/5; 1/6; 21/00; 1/5; 1/6; 1/7; 2/11; 1/5; 2/11; 1/5; 1/7; 2/9; 2/11; 2/11; 3/14; 2/11; 2/9; 1/6; 1/5; 3/14; 1/5; 1/5; 1/5; ; 
Draw; 7; 11/2; 11/2; 13/2; 32/5; 13/2; 13/2; 6; 89/13; 11/2; 7; 11/2; 13/2; 11/2; 13/2; 6; 96/17; 23/4; 11/2; 13/2; 6; 57/10; 6; 32/5; 32/5; 33/5; 
West Brom; 18; 14; 16; 18; 35/2; 20; 18; 18; 19; 18; 18; 18; 20; 17; 16; 16; 59/4; 35/2; 14; 18; 14; 59/4; 14; 18; 18; 91/5; 93/5
META; english/premier-league/man-utd-v-west-brom; 2018-04-14 12:15:08 GMT+3; 2018-04-15 16:00; e70300-dr003
Man Utd; 2/11; 1/5; 1/5; 1/5; 21/00; 1/5; 1/6; 1/6; 1/5; 1/5; 1/5; 1/5; 1/5; 1/5; 2/11; 1/5; 3/14; 2/11; 3/14; 3/16; 1/5; 2/9; 1/5; 1/5; 1/5; 1/5; 1/5
Draw; 13/2; 11/2; 11/2; 6; 33/5; 13/2; 6; 32/5; 11/2; 13/2; 11/2; 11/2; 11/2; 13/2; 6; 11/2; 23/4; 28/5; 6; 13/2; 61/11; 6; 32/5; 33/5; 33/5; ; 
West Brom; 19; 16; 16; 16; 33/2; 20; 16; 18; 33/2; 18; 16; 18; 14; 17; 16; 16; 29/2; 35/2; 14; 16; 16; 59/4; 16; 18; 18; 93/5; 93/5
