META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 16:18:43 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 20:19:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 00:18:34 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 04:18:16 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 15/2; 7; ; 15/2; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 08:18:25 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 12:19:08 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 16:21:04 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 04:18:43 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 2/17; 1/10; 2/17; 2/15; ; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; ; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; ; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 08:18:42 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 12:20:47 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 16:19:15 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 20:19:21 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 2/17; 2/17; 2/17; 2/15; 2/17; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 9; 15/2; 93/13; 8; 15/2; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 29/2; 65/4; 15; 29/2; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 00:22:13 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 04:18:52 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 08:18:52 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 12:19:37 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 16:18:32 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 8; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 16; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 20:19:13 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 8; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 16; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 00:18:39 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 04:18:17 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 08:18:08 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; ; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; ; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; ; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 12:20:37 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 16:19:56 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 20:19:37 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 00:19:00 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 04:18:57 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 08:19:47 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; ; ; ; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/10; 2/17; 2/15; 2/13; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; ; ; ; ; 15/2; 15/2; ; ; 9; 9; 8; 93/13; 8; 76/13; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; ; ; ; ; 20; 18; ; ; 14; 18; 61/4; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 12:21:13 GMT+2; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
