META; spain/la-liga-segunda/granada-v-tenerife; 2018-01-30 22:23:49 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 10/11; ; 1; ; 1; ; ; ; ; 1; 20/21; ; ; 19/20; ; 19/20; ; 1; ; 39/40; ; 9/10; 1; ; 1; ; ; 20/21; 
Draw; 21/10; ; 21/10; ; 23/10; ; ; ; ; ; ; ; ; 43/20; ; 21/10; ; 11/5; ; 11/5; ; 85/40; 23/10; ; 9/4; ; ; 21/10; 
Tenerife; 7/2; 3; 14/5; ; 7/2; ; ; ; ; 14/5; 3; ; ; 29/10; ; 3; ; 3; ; 5/2; ; 14/5; 31/10; ; 58/19; ; ; 12/5; 
META; spain/la-liga-segunda/granada-v-tenerife; 2018-01-31 02:22:48 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 10/11; 10/11; 1; ; 1; ; ; ; ; 1; 20/21; ; ; 19/20; ; 19/20; 9/10; 1; 9/10; 39/40; ; 9/10; 1; 19/20; 1; ; ; 20/21; 
Draw; 21/10; 85/40; 21/10; ; 23/10; ; ; ; ; 21/10; 21/10; ; ; 43/20; ; 21/10; 11/5; 11/5; 11/5; 11/5; ; 85/40; 23/10; 9/4; 9/4; ; ; 21/10; 
Tenerife; 7/2; 3; 14/5; ; 7/2; ; ; ; ; 14/5; 3; ; ; 29/10; ; 3; 10/3; 3; 10/3; 5/2; ; 14/5; 31/10; 3; 58/19; ; ; 12/5; 
META; spain/la-liga-segunda/granada-v-tenerife; 2018-01-31 10:22:59 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 21/20; 1; 21/20; ; 1; ; ; ; ; 21/20; 1; ; ; 11/10; ; 1; 9/10; 11/10; 9/10; 39/40; ; 1; 21/20; 21/20; 11/10; ; ; 21/20; 
Draw; 21/10; 85/40; 21/10; ; 23/10; ; ; ; ; 21/10; 21/10; ; ; 21/10; ; 21/10; 11/5; 11/5; 11/5; 11/5; ; 2; 11/5; 9/4; 11/5; ; ; 2; 
Tenerife; 3; 11/4; 13/5; ; 7/2; ; ; ; ; 13/5; 3; ; ; 13/5; ; 14/5; 10/3; 13/5; 10/3; 5/2; ; 5/2; 3; 53/20; 45/17; ; ; 11/5; 
META; spain/la-liga-segunda/granada-v-tenerife; 2018-01-31 14:23:38 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 21/20; 1; 1; ; 1; ; ; ; 1; 1; 1; ; 21/20; 1; ; 1; 1; 1; 1; 24/23; 1; 10/11; 21/20; 1; 1; ; 4/6; 20/21; 
Draw; 21/10; 85/40; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 11/5; ; 11/5; 21/10; ; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 85/40; 9/4; 9/4; 23/10; ; 8/5; 21/10; 
Tenerife; 3; 11/4; 11/4; ; 7/2; ; ; ; 27/10; 11/4; 11/4; ; 13/5; 14/5; ; 14/5; 29/10; 37/13; 29/10; 40/17; 45/17; 13/5; 3; 29/10; 29/10; ; 2; 23/10; 
META; spain/la-liga-segunda/granada-v-tenerife; 2018-01-31 18:24:11 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 21/20; 19/20; 1; ; 1; ; ; ; 1; 1; 20/21; ; 1; 1; 19/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 1; 1; ; 5/6; 20/21; 1
Draw; 21/10; 11/5; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 11/5; ; 9/4; 21/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 85/40; 9/4; 9/4; 23/10; ; 2; 21/10; 12/5
Tenerife; 3; 14/5; 11/4; ; 7/2; ; ; ; 27/10; 11/4; 3; ; 13/5; 14/5; 3; 14/5; 29/10; 37/13; 29/10; 27/11; 45/17; 13/5; 31/10; 29/10; 29/10; ; 11/4; 23/10; 3
META; spain/la-liga-segunda/granada-v-tenerife; 2018-01-31 22:23:20 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 17/20; 10/11; 10/11; ; 24/25; ; ; ; 19/20; 10/11; 10/11; ; 10/11; 9/10; 19/20; 10/11; 19/20; 10/11; 19/20; 8/9; 15/16; 5/6; 9/10; 10/11; 10/11; ; 5/6; 5/6; 10/11
Draw; 23/10; 11/5; 11/5; ; 12/5; ; ; ; 9/4; 11/5; 9/4; ; 23/10; 43/20; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 12/5; 23/10; 40/17; ; 21/10; 11/5; 12/5
Tenerife; 7/2; 3; 16/5; ; 7/2; ; ; ; 3; 16/5; 3; ; 3; 16/5; 3; 3; 31/10; 41/13; 31/10; 11/4; 3; 14/5; 17/5; 16/5; 16/5; ; 11/4; 13/5; 3
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-01 02:22:42 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 17/20; 10/11; 10/11; ; 93/100; ; ; ; 19/20; 10/11; 10/11; ; 10/11; 9/10; 19/20; 10/11; ; 19/20; 8/9; 15/16; 5/6; 9/10; 10/11; 10/11; ; 5/6; 5/6; 10/11
Granada; 4/5; 5/6; 3/4; ; 41/50; ; ; ; 3/4; 3/4; 8/11; ; 5/6; 5/6; 4/5; 4/5; 10/13; 4/5; 4/5; 14/19; 8/11; 3/4; 10/13; ; ; 8/11; 8/11; 8/11
Draw; 9/4; 11/5; 9/4; ; 63/25; ; ; ; 27/11; 9/4; 23/10; ; 23/10; 9/4; 9/4; 23/10; 12/5; 11/5; 23/10; 12/5; 9/4; 12/5; 12/5; 12/5; ; 11/5; 9/4; 5/2
Tenerife; 4; 10/3; 18/5; ; 21/5; ; ; ; 39/10; 18/5; 4; ; 10/3; 7/2; 15/4; 15/4; 75/19; 17/4; 41/13; 19/5; 7/2; 21/5; 15/4; 75/19; ; 7/2; 7/2; 4
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-02 14:23:31 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 8/11; 5/6; 3/4; ; 41/50; ; ; ; 3/4; 3/4; 8/11; ; 4/5; 3/4; 4/5; 4/5; 10/13; 4/5; 4/5; 14/19; 8/11; 3/4; 10/13; ; ; 8/11; 8/11; 8/11
Draw; 23/10; 11/5; 9/4; ; 63/25; ; ; ; 27/11; 9/4; 23/10; ; 12/5; 9/4; 9/4; 23/10; 12/5; 11/5; 23/10; 12/5; 9/4; 12/5; 12/5; ; ; 23/10; 23/10; 5/2
Tenerife; 9/2; 10/3; 18/5; ; 21/5; ; ; ; 39/10; 18/5; 4; ; 7/2; 19/5; 15/4; 15/4; 4; 17/4; 41/13; 19/5; 7/2; 21/5; 15/4; 77/19; ; 7/2; 7/2; 4
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-02 18:29:36 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 8/11; 5/6; 3/4; ; 79/100; ; ; ; 3/4; 3/4; 8/11; ; 4/5; 3/4; 4/5; 8/11; 10/13; 4/5; 4/5; 14/19; 8/11; 3/4; 10/13; ; ; 8/11; 8/11; 8/11
Draw; 23/10; 11/5; 9/4; ; 51/20; ; ; ; 27/11; 9/4; 23/10; ; 12/5; 9/4; 9/4; 23/10; 12/5; 11/5; 23/10; 12/5; 9/4; 12/5; 12/5; ; ; 23/10; 23/10; 5/2
Tenerife; 9/2; 10/3; 18/5; ; 22/5; ; ; ; 39/10; 18/5; 4; ; 7/2; 19/5; 15/4; 4; 4; 17/4; 41/13; 19/5; 7/2; 21/5; 15/4; 4; ; 7/2; 7/2; 4
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-02 22:23:09 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 8/11; 5/6; 3/4; ; 73/100; ; ; ; 3/4; 3/4; 8/11; ; 3/4; 3/4; 8/11; 8/11; 5/7; 4/5; 4/5; 14/19; 4/6; 3/4; 7/10; 14/19; ; 8/11; 4/6; 8/11
Draw; 23/10; 11/5; 9/4; ; 66/25; ; ; ; 27/11; 9/4; 23/10; ; 12/5; 23/10; 5/2; 23/10; 27/11; 11/5; 23/10; 12/5; 23/10; 5/2; 49/20; 27/11; ; 23/10; 12/5; 5/2
Tenerife; 9/2; 10/3; 19/5; ; 24/5; ; ; ; 39/10; 19/5; 4; ; 7/2; 4; 4; 4; 21/5; 17/4; 41/13; 19/5; 19/5; 21/5; 17/4; 17/4; ; 7/2; 7/2; 22/5
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-03 02:22:36 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 8/11; 8/11; 8/11; ; 73/100; ; ; ; 3/4; 8/11; 8/11; ; 3/4; 8/11; 8/11; 8/11; 5/7; 13/18; 10/13; 14/19; 4/6; 3/4; 7/10; 5/7; ; 8/11; 8/11; 8/11
Draw; 23/10; 23/10; 23/10; ; 66/25; ; ; ; 27/11; 23/10; 12/5; ; 12/5; 23/10; 5/2; 23/10; 27/11; 9/4; 23/10; 12/5; 23/10; 5/2; 49/20; 27/11; ; 23/10; 12/5; 5/2
Tenerife; 9/2; 15/4; 4; ; 24/5; ; ; ; 39/10; 4; 4; ; 15/4; 4; 4; 4; 21/5; 19/4; 13/4; 19/5; 19/5; 21/5; 17/4; 17/4; ; 7/2; 7/2; 22/5
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-03 10:22:50 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 4/5; 8/11; 7/10; ; 79/100; ; ; ; 3/4; 3/4; 8/11; ; 3/4; 4/5; 3/4; 4/5; 10/13; 7/9; 11/14; 14/19; 4/6; 3/4; 3/4; 5/7; ; 4/5; 8/11; 4/5
Draw; 12/5; 23/10; 23/10; ; 51/20; ; ; ; 27/11; 9/4; 23/10; ; 12/5; 9/4; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 27/11; ; 23/10; 23/10; 5/2
Tenerife; 15/4; 15/4; 4; ; 22/5; ; ; ; 39/10; 15/4; 4; ; 7/2; 37/10; 4; 15/4; 50/13; 17/4; 57/17; 19/5; 7/2; 21/5; 4; 17/4; ; 4; 4; 4
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-03 14:23:58 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 4/5; 8/11; ; ; 4/5; ; ; ; 3/4; 8/11; 8/11; ; 3/4; 3/4; 3/4; 4/5; 14/19; 7/9; 3/4; 14/19; 4/6; 3/4; 7/10; 5/7; ; 8/11; 8/11; 8/11
Draw; 12/5; 23/10; ; ; 123/50; ; ; ; 27/11; 9/4; 23/10; ; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 27/11; ; 23/10; 12/5; 12/5
Tenerife; 15/4; 15/4; ; ; 9/2; ; ; ; 39/10; 19/5; 4; ; 15/4; 19/5; 4; 15/4; 77/19; 17/4; 19/5; 19/5; 19/5; 21/5; 17/4; 17/4; ; 22/5; 23/5; 22/5
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-03 18:22:47 GMT+2; 2018-02-03 19:30; Nothing; Xlenovo
Granada; 3/4; 3/4; 4/5; ; 41/50; ; ; ; 3/4; 4/5; 8/11; ; 4/5; 4/5; 4/5; 4/5; 10/13; 7/9; 16/19; 14/19; 8/11; 4/5; 3/4; 10/13; ; 4/5; 4/5; 8/11
Draw; 12/5; 9/4; 11/5; ; 61/25; ; ; ; 27/11; 11/5; 23/10; ; 23/10; 9/4; 9/4; 23/10; ; 23/10; 9/4; 12/5; 9/4; ; 47/20; 12/5; ; 23/10; 12/5; 12/5
Tenerife; 4; 15/4; 18/5; ; 22/5; ; ; ; 39/10; 18/5; 4; ; 7/2; 18/5; 15/4; 15/4; 4; 17/4; 57/17; 19/5; 7/2; 4; 4; 4; ; 21/5; 22/5; 21/5
META; spain/la-liga-segunda/granada-v-tenerife; 2018-02-03 22:21:07 GMT+2; 2018-02-03 19:30; In Play; Xlenovo
Granada; 1/25; 1/20; 1/20; 1/50; 3/40; ; ; ; 1/25; 1/25; 1/25; ; 1/25; 1/25; 1/33; ; 1/41; 1/41; 1/25; ; ; 1/25; 1/33; 1/41; ; ; 1/20; 1/16
Draw; 14; 16; 14; 11; 23/2; ; ; ; 14; 16; 12; ; 10; 10; 10; ; 25/2; 19/2; 23/2; ; ; 12; 14; 51/4; ; ; 17; 44/5
Tenerife; 40; 50; 60; 25; 28; ; ; ; 55; 66; 50; ; 40; 28; 25; ; 63/2; 50; 25; ; ; 33; 50; 127/4; ; ; 85; 38
