META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-01-30 22:23:40 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 6/4; 6/4; ; 179/100; ; ; ; ; 6/4; 6/4; ; ; 6/4; ; 6/4; ; 6/4; ; 17/12; ; 6/4; 31/20; 31/20; 6/4; ; ; 13/10; 
Draw; 19/10; 15/8; 19/10; ; 19/10; ; ; ; ; ; 15/8; ; ; 39/20; ; ; ; 2; ; 39/19; ; 9/5; 2; ; 2; ; ; 15/8; 
Gimnastic; 21/10; 19/10; 19/10; ; 21/10; ; ; ; ; 19/10; 2; ; ; 39/20; ; 2; ; 39/19; ; 25/14; ; 9/5; 21/10; 2; 39/19; ; ; 9/5; 
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-01-31 02:22:39 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 6/4; 6/4; ; 87/50; ; ; ; ; 6/4; 6/4; ; ; 6/4; ; 6/4; 8/5; 6/4; 8/5; 17/12; ; 6/4; 31/20; 31/20; 6/4; ; ; 13/10; 
Draw; 19/10; 15/8; 19/10; ; 191/100; ; ; ; ; 19/10; 19/10; ; ; 39/20; ; 19/10; 19/10; 2; 19/10; 39/19; ; 9/5; 2; 19/10; 2; ; ; 15/8; 
Gimnastic; 21/10; 19/10; 19/10; ; 43/20; ; ; ; ; 19/10; 2; ; ; 39/20; ; 2; 19/10; 39/19; 19/10; 25/14; ; 9/5; 21/10; 2; 39/19; ; ; 9/5; 
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-01-31 10:22:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 29/20; 16/11; ; 17/10; ; ; ; ; 29/20; 6/4; ; ; 7/5; ; 7/5; 8/5; 16/11; 8/5; 17/12; ; 7/5; 31/20; 6/4; 16/11; ; ; 5/4; 
Draw; 19/10; 19/10; 19/10; ; 191/100; ; ; ; ; 19/10; 19/10; ; ; 39/20; ; 15/8; 19/10; 37/19; 19/10; 39/19; ; 9/5; 2; 19/10; 2; ; ; 15/8; 
Gimnastic; 21/10; 2; 2; ; 11/5; ; ; ; ; 2; 2; ; ; 41/20; ; 2; 19/10; 21/10; 19/10; 25/14; ; 2; 21/10; 21/10; 21/10; ; ; 19/10; 
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-01-31 14:23:27 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 11/8; 29/20; 16/11; ; 17/10; ; ; ; 16/11; 29/20; 7/5; ; 7/5; 29/20; ; 7/5; 8/5; 16/11; 8/5; 7/5; 16/11; 7/5; 6/4; 6/4; 16/11; ; 23/20; 27/20; 
Draw; 19/10; 19/10; 19/10; ; 191/100; ; ; ; 19/10; 19/10; 19/10; ; 2; 39/20; ; 19/10; 19/10; 2; 19/10; 39/19; 19/10; 9/5; 2; 19/10; 2; ; 6/4; 15/8; 
Gimnastic; 23/10; 2; 2; ; 11/5; ; ; ; 2; 2; 21/10; ; 2; 2; ; 2; 19/10; 21/10; 19/10; 29/16; 2; 2; 85/40; 21/10; 21/10; ; 13/8; 9/5; 
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-01-31 18:23:59 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 29/20; 6/4; 17/11; ; 17/10; ; ; ; 16/11; 31/20; 6/4; ; 6/4; 31/20; 8/5; 6/4; 8/5; 17/11; 8/5; 10/7; 16/11; 6/4; 8/5; 31/20; 8/5; ; 13/10; 7/5; 13/8
Draw; 19/10; 19/10; 19/10; ; 2; ; ; ; 19/10; 19/10; 19/10; ; 2; 19/10; 19/10; 19/10; 19/10; 2; 19/10; 21/10; 19/10; 15/8; 2; 39/20; 2; ; 7/4; 9/5; 21/10
Gimnastic; 21/10; 19/10; 28/15; ; 21/10; ; ; ; 2; 15/8; 2; ; 15/8; 37/20; 19/10; 2; 19/10; 37/19; 19/10; 7/4; 2; 9/5; 2; 39/20; 37/19; ; 9/5; 7/4; 19/10
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-01-31 22:23:10 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 31/20; 13/8; 17/11; ; 17/10; ; ; ; 17/11; 31/20; 8/5; ; 8/5; 8/5; 8/5; 6/4; 8/5; 8/5; 8/5; 22/15; 17/11; 6/4; 17/10; 13/8; 28/17; ; 6/4; 7/5; 17/10
Draw; 2; 19/10; 19/10; ; 2; ; ; ; 37/19; 19/10; 19/10; ; 2; 19/10; 19/10; 19/10; 19/10; 37/19; 19/10; 21/10; 19/10; 9/5; 2; 19/10; 37/19; ; 9/5; 9/5; 19/10
Gimnastic; 2; 9/5; 9/5; ; 21/10; ; ; ; 2; 9/5; 19/10; ; 9/5; 37/20; 19/10; 19/10; 19/10; 37/19; 19/10; 12/7; 2; 9/5; 19/10; 19/10; 37/19; ; 9/5; 17/10; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-01 02:22:33 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 31/20; 13/8; 17/11; ; 17/10; ; ; ; 17/11; 31/20; 8/5; ; 8/5; 8/5; 8/5; 6/4; 8/5; 8/5; 22/15; 17/11; 6/4; 17/10; 13/8; 28/17; ; 6/4; 7/5; 17/10
Draw; 2; 19/10; 19/10; ; 2; ; ; ; 37/19; 19/10; 19/10; ; 2; 19/10; 19/10; 19/10; 37/19; 37/19; 39/19; 19/10; 9/5; 2; 19/10; 37/19; ; 9/5; 15/8; 19/10
Gimnastic; 2; 9/5; 9/5; ; 103/50; ; ; ; 2; 9/5; 19/10; ; 9/5; 37/20; 19/10; 19/10; 37/19; 37/19; 12/7; 2; 9/5; 19/10; 19/10; 37/19; ; 19/10; 9/5; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-02 14:23:21 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 13/8; 17/11; ; 173/100; ; ; ; 17/11; 31/20; 8/5; ; 8/5; 31/20; 8/5; 6/4; 8/5; 28/17; 22/15; 17/11; 6/4; 13/8; 13/8; 8/5; ; 6/4; 6/4; 17/10
Draw; 2; 19/10; 19/10; ; 2; ; ; ; 37/19; 19/10; 19/10; ; 2; 19/10; 19/10; 19/10; 37/19; 37/19; 39/19; 19/10; 9/5; 2; 19/10; 37/19; ; 9/5; 19/10; 19/10
Gimnastic; 2; 9/5; 9/5; ; 103/50; ; ; ; 2; 9/5; 19/10; ; 9/5; 37/20; 19/10; 19/10; 37/19; 37/19; 12/7; 2; 9/5; 2; 19/10; 37/19; ; 19/10; 9/5; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-02 18:29:19 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 13/8; 6/4; ; 42/25; ; ; ; 17/11; 6/4; 8/5; ; 6/4; 31/20; 8/5; 6/4; ; 28/17; 7/5; 17/11; 6/4; 8/5; 8/5; 17/11; ; 13/8; ; 13/8
Gimnastic; 2; 9/5; 28/15; ; 41/20; ; ; ; 2; 15/8; 19/10; ; 15/8; 37/20; 19/10; 19/10; ; 37/19; 16/9; 2; 9/5; 2; 19/10; 2; ; 15/8; ; 2
Draw; 2; 19/10; 19/10; ; 52/25; ; ; ; 37/19; 19/10; 19/10; ; 2; 39/20; 19/10; 19/10; ; 37/19; 21/10; 19/10; 15/8; 2; 39/20; 2; ; 9/5; ; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-02 22:22:59 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 13/8; 17/11; ; 169/100; ; ; ; 17/11; 31/20; 8/5; ; 6/4; 31/20; 8/5; 6/4; 17/11; 28/17; 7/5; 17/11; 6/4; 8/5; 8/5; 8/5; ; 13/8; 6/4; 13/8
Gimnastic; 2; 9/5; 28/15; ; 51/25; ; ; ; 2; 15/8; 19/10; ; 15/8; 37/20; 19/10; 19/10; 37/19; 37/19; 16/9; 2; 9/5; 2; 19/10; 2; ; 19/10; 9/5; 2
Draw; 2; 19/10; 19/10; ; 52/25; ; ; ; 37/19; 19/10; 19/10; ; 2; 39/20; 19/10; 19/10; 37/19; 37/19; 21/10; 19/10; 15/8; 2; 39/20; 2; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-03 02:22:27 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 6/4; 8/5; ; 89/50; ; ; ; 17/11; 8/5; 8/5; ; 13/8; 13/8; 13/8; 6/4; 8/5; 28/17; 7/5; 17/11; 6/4; 13/8; 13/8; 28/17; ; 13/8; 8/5; 17/10
Gimnastic; 2; 15/8; 7/4; ; 193/100; ; ; ; 2; 7/4; 15/8; ; 9/5; 7/4; 9/5; 15/8; 19/10; 37/19; 16/9; 2; 7/4; 15/8; 37/20; 19/10; ; 9/5; 17/10; 19/10
Draw; 2; 19/10; 19/10; ; 52/25; ; ; ; 37/19; 19/10; 19/10; ; 2; 39/20; 2; 19/10; 37/19; 37/19; 21/10; 19/10; 15/8; 21/10; 39/20; 2; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-03 10:22:40 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 6/4; 17/11; ; 87/50; ; ; ; 17/11; 8/5; 8/5; ; 8/5; 8/5; 13/8; 6/4; 8/5; 28/17; 17/11; 17/11; 6/4; 13/8; 13/8; 28/17; ; 17/10; 13/8; 17/10
Gimnastic; 2; 15/8; 9/5; ; 99/50; ; ; ; 2; 7/4; 15/8; ; 7/4; 9/5; 9/5; 15/8; 19/10; 37/19; 7/4; 2; 7/4; 15/8; 37/20; 19/10; ; 19/10; 9/5; 19/10
Draw; 2; 19/10; 19/10; ; 52/25; ; ; ; 37/19; 19/10; 19/10; ; 2; 39/20; 2; 19/10; 37/19; 37/19; 21/10; 19/10; 15/8; 21/10; 39/20; 2; ; 19/10; 2; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-03 14:23:47 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Cadiz; 6/4; 6/4; ; ; 173/100; ; ; ; 17/11; 31/20; 8/5; ; 8/5; 31/20; 13/8; 6/4; 8/5; 28/17; 13/8; 17/11; 6/4; 17/10; 13/8; 28/17; ; 13/8; 17/10; 17/10
Gimnastic; 2; 15/8; ; ; 2; ; ; ; 2; 7/4; 15/8; ; 9/5; 9/5; 9/5; 15/8; 19/10; 37/19; 16/9; 2; 7/4; 19/10; 37/20; 19/10; ; 19/10; 19/10; 19/10
Draw; 2; 19/10; ; ; 103/50; ; ; ; 37/19; 2; 19/10; ; 2; 39/20; 2; 19/10; 37/19; 37/19; 37/19; 19/10; 15/8; 2; 39/20; 2; ; 19/10; 2; 2
META; spain/la-liga-segunda/gimnastic-v-cadiz; 2018-02-03 18:22:36 GMT+2; 2018-02-03 15:00; In Play; Xlenovo
Draw; 5/6; ; 1; 7/10; 133/100; ; ; ; 7/8; 5/6; ; ; 8/11; 3/4; 10/11; ; 21/20; 7/10; 14/19; ; ; ; 3/4; 16/11; ; ; 5/6; 8/11
Gimnastic; 13/5; ; 12/5; 13/5; 58/25; ; ; ; 56/19; 13/5; ; ; 14/5; 14/5; 12/5; ; 12/5; 31/10; 37/13; ; ; ; 3; 39/19; ; ; 14/5; 9/5
Cadiz; 11/4; ; 5/2; 11/4; 54/25; ; ; ; 27/10; 11/4; ; ; 14/5; 3; 5/2; ; 12/5; 11/4; 58/19; ; ; ; 16/5; 37/19; ; ; 3; 14/5
