META; english/league-1/charlton-v-plymouth; 2018-03-18 18:21:09 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 13/10; 11/10; 6/5; 6/5; 6/5; 15/13; 6/5; 6/5; 15/13; 4/5; 8/11; 
Plymouth; 9/4; 21/10; 47/20; 11/5; 23/10; 23/10; 11/5; 28/13; 23/10; 9/4; 11/5; 13/8; 3/10; 
Draw; 23/10; 12/5; 121/0; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 9/4; 19/10; 4/9
META; english/league-1/charlton-v-plymouth; 2018-03-19 02:32:40 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 11/10; 5/4; 6/5; 5/4; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 22/19; 23/20; 23/20; 15/13; 21/20; 6/5
Draw; 12/5; 12/5; 11/5; 61/25; 23/10; 23/10; 11/5; 21/10; 12/5; 9/4; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 2; 21/10
Plymouth; 12/5; 21/10; 12/5; 61/25; 5/2; 9/4; 23/10; 12/5; 12/5; 12/5; 23/10; 9/4; 28/13; 12/5; 47/20; 9/4; 9/4; 21/10
META; english/league-1/charlton-v-plymouth; 2018-03-19 10:32:47 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 21/20; 5/4; 11/10; 23/20; 59/50; 11/10; 11/10; 1; 8/7; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 8/7; 11/10; 11/10; 21/20; 1; 21/20
Draw; 12/5; 12/5; 11/5; 9/4; 62/25; 5/2; 23/10; 23/10; 40/17; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; 40/17; 40/17; 12/5; 23/10; 23/10; 9/4; 20/21
Plymouth; 5/2; 21/10; 13/5; 5/2; 129/0; 5/2; 12/5; 23/10; 40/17; 5/2; 5/2; 13/5; 12/5; 12/5; 40/17; 12/5; 9/4; 40/17; 13/5; 5/2; 12/5; 9/4; 8/11
META; english/league-1/charlton-v-plymouth; 2018-03-19 14:32:54 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 21/20; 5/4; 11/10; 23/20; 57/50; 11/10; 11/10; 1; 8/7; 11/10; 21/20; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 17/16; 8/7; 11/10; 11/10; 11/10; 1; 10/9
Draw; 12/5; 12/5; 11/5; 9/4; 61/25; 12/5; 23/10; 11/5; 40/17; 11/5; 12/5; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 40/17; 40/17; 12/5; 23/10; 23/10; 21/10; 12/5
Plymouth; 5/2; 21/10; 5/2; 5/2; 137/0; 27/10; 5/2; 5/2; 40/17; 5/2; 13/5; 13/5; 12/5; 12/5; 12/5; 40/17; 12/5; 40/17; 40/17; 13/5; 5/2; 40/17; 12/5; 13/5
META; english/league-1/charlton-v-plymouth; 2018-03-19 18:32:54 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 21/20; 6/5; 11/10; 23/20; 113/00; 11/10; 11/10; 1; 13/12; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 17/16; 13/12; 11/10; 11/10; 11/10; 1; 23/20; 11/10; 10/9
Plymouth; 11/5; 23/10; 9/4; 23/10; 47/20; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 9/4; 2; 11/5; 40/17; 12/5; 2; 23/10; 23/10; 11/5; 40/17; 23/10; 2; 23/10; 23/10
META; english/league-1/charlton-v-plymouth; 2018-03-20 14:32:59 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 6/5; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 5/4; 6/5; 6/5; 21/20; 5/4; 23/20; 21/20; 11/10; 6/5; 7/6; 6/5; 5/4; 11/10; 6/5; 6/5; 5/4; 5/4; 
Draw; 12/5; 12/5; 11/5; 23/10; 119/0; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 9/4; 12/5; 9/4; 21/10; 9/4; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; 21/10; 11/5; 23/10; 23/10
Plymouth; 11/5; 9/4; 9/4; 23/10; 121/0; 23/10; 9/4; 9/4; 23/10; 11/5; 23/10; 23/10; 12/5; 9/4; 2; 9/4; 40/17; 12/5; 2; 23/10; 23/10; 11/5; 40/17; 9/4; 2; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-20 18:33:04 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 6/5; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 5/4; 5/4; 6/5; 21/20; 5/4; 23/20; 5/4; 6/5; 11/10; 6/5; 7/6; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4
Draw; 12/5; 12/5; 11/5; 23/10; 119/0; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 9/4; 21/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 9/4; 11/5; 21/10; 23/10; 23/10
Plymouth; 11/5; 9/4; 9/4; 23/10; 121/0; 23/10; 11/5; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 9/4; 2; 9/4; 11/5; 12/5; 2; 23/10; 11/5; 11/5; 11/5; 9/4; 15/8; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-20 22:33:02 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 6/5; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 13/10; 5/4; 6/5; 21/20; 13/10; 23/20; 5/4; 6/5; 11/10; 6/5; 7/6; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4
Draw; 12/5; 12/5; 11/5; 23/10; 119/0; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 9/4; 21/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 9/4; 11/5; 21/10; 23/10; 23/10
Plymouth; 11/5; 9/4; 11/5; 23/10; 121/0; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 23/10; 12/5; 43/20; 2; 9/4; 11/5; 12/5; 2; 23/10; 11/5; 11/5; 11/5; 9/4; 2; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-21 02:33:09 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 13/10; 5/4; 6/5; 21/20; 13/10; 23/20; 5/4; 6/5; 11/10; 6/5; 7/6; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 5/4
Draw; 12/5; 12/5; 11/5; 23/10; 119/0; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 9/4; 21/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 9/4; 11/5; 21/10; 23/10; 23/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 121/0; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 23/10; 12/5; 43/20; 2; 9/4; 11/5; 12/5; 2; 23/10; 11/5; 11/5; 11/5; 9/4; 2; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-21 10:33:12 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 13/10; 5/4; 6/5; 21/20; 13/10; 23/20; 5/4; 6/5; 11/10; 6/5; 7/6; 5/4; 5/4; 6/5; 5/4; 13/10; 5/4
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 9/4; 21/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; 11/5; 23/10; 23/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 23/10; 12/5; 43/20; 2; 9/4; 28/13; 12/5; 2; 23/10; 11/5; 11/5; 11/5; 9/4; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-21 14:33:13 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 13/10; 5/4; 6/5; 21/20; 13/10; 23/20; 5/4; 6/5; 11/10; 16/13; 7/6; 5/4; 5/4; 6/5; 5/4; 5/4; 13/10; 5/4
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 9/4; 21/10; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 9/4; 23/10; 21/10; 21/10; 23/10; 23/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 23/10; 12/5; 43/20; 2; 9/4; 28/13; 12/5; 2; 23/10; 11/5; 11/5; 11/5; 11/5; 19/10; 23/10; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-21 18:33:15 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 13/10; 5/4; 6/5; 21/20; 13/10; 23/20; 5/4; 6/5; 11/10; 16/13; 7/6; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 12/5; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 23/10; 21/10; 21/10; 23/10; 23/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 12/5; 43/20; 2; 11/5; 11/5; 12/5; 2; 23/10; 11/5; 11/5; 9/4; 9/4; 19/10; 23/10; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-21 22:33:14 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 5/4; 6/5; 129/00; 5/4; 6/5; 6/5; 7/6; 13/10; 5/4; 6/5; 21/20; 13/10; 23/20; 5/4; 6/5; 11/10; 16/13; 7/6; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 12/5; 12/5; 9/4; 21/10; 23/10; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 23/10; 21/10; 21/10; 23/10; 23/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 12/5; 43/20; 2; 11/5; 11/5; 12/5; 2; 23/10; 11/5; 11/5; 9/4; 9/4; 19/10; 23/10; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-22 02:33:06 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 6/5; 6/5; 129/00; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 21/20; 13/10; 23/20; 6/5; 5/4; 11/10; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 9/4; 28/13; 11/5; 11/5; 11/5; 12/5; 43/20; 2; 11/5; 11/5; 12/5; 2; 28/13; 11/5; 11/5; 9/4; 11/5; 19/10; 23/10; 23/10
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 12/5; 12/5; 12/5; 9/4; 21/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 23/10; 23/10; 21/10; 23/10; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-22 10:33:14 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 6/5; 6/5; 129/00; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 21/20; 13/10; 23/20; 6/5; 6/5; 11/10; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 9/4; 28/13; 11/5; 11/5; 11/5; 12/5; 43/20; 2; 11/5; 11/5; 12/5; 2; 28/13; 11/5; 11/5; 11/5; 2; 23/10; 23/10
Draw; 12/5; 12/5; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 12/5; 12/5; 12/5; 9/4; 21/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 23/10; 21/10; 23/10; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-22 14:33:19 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 6/5; 5/4; 6/5; 6/5; 32/25; 13/10; 5/4; 6/5; 16/13; 5/4; 5/4; 13/10; 21/20; 13/10; 23/20; 5/4; 5/4; 11/10; 5/4; 16/13; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10
Plymouth; 11/5; 21/10; 11/5; 23/10; 12/5; 12/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 12/5; 43/20; 2; 11/5; 12/5; 39/19; 11/5; 11/5; 11/5; 9/4; 11/5; 19/10; 12/5; 23/10; 
Draw; 12/5; 12/5; 11/5; 23/10; 121/0; 12/5; 9/4; 9/4; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 21/10; 23/10; 23/10; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 21/10; 23/10; 12/5; 
META; english/league-1/charlton-v-plymouth; 2018-03-22 18:33:20 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 11/10; 23/20; 11/10; 6/5; 6/5; 11/10; 11/10; 16/13; 11/10; 23/20; 23/20; 21/20; 6/5; 21/20; 11/10; 15/13; 11/10; 9/8; 16/13; 23/20; 23/20; 15/13; 6/5; 6/5; 23/20; 6/5
Plymouth; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 12/5; 9/4; 11/5; 23/10; 40/17; 12/5; 9/4; 11/5; 23/10; 47/20; 40/17; 23/10; 12/5; 5/2; 12/5
Draw; 5/2; 12/5; 23/10; 23/10; 5/2; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; 12/5; 47/20; 21/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-22 22:33:17 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 23/20; 23/20; 23/20; 6/5; 133/00; 6/5; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 21/20; 5/4; 23/20; 6/5; 6/5; 11/10; 19/16; 8/7; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4
Plymouth; 9/4; 23/10; 11/5; 23/10; 57/25; 12/5; 11/5; 23/10; 27/11; 11/5; 9/4; 9/4; 12/5; 11/5; 2; 9/4; 11/5; 12/5; 21/10; 27/11; 9/4; 23/10; 11/5; 9/4; 23/10; 9/4; 23/10
Draw; 5/2; 12/5; 23/10; 23/10; 61/25; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 47/20; 21/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-23 02:33:10 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 5/4; 23/20; 11/10; 6/5; 121/00; 6/5; 6/5; 11/10; 8/7; 23/20; 6/5; 23/20; 21/20; 6/5; 11/10; 11/10; 15/13; 11/10; 19/16; 8/7; 23/20; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4
Draw; 5/2; 12/5; 23/10; 23/10; 123/0; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 47/20; 21/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 5/2
Plymouth; 12/5; 23/10; 23/10; 23/10; 63/25; 12/5; 23/10; 23/10; 27/11; 23/10; 23/10; 9/4; 12/5; 23/10; 21/10; 23/10; 23/10; 12/5; 21/10; 27/11; 23/10; 23/10; 9/4; 23/10; 12/5; 12/5; 23/10
META; english/league-1/charlton-v-plymouth; 2018-03-23 10:33:17 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 5/4; 23/20; 11/10; 6/5; 5/4; 6/5; 11/10; 8/7; 23/20; 6/5; 23/20; 21/20; 6/5; 11/10; 11/10; 15/13; 11/10; 19/16; 8/7; 23/20; 6/5; 15/13; 6/5; 5/4; 5/4; 5/4; 
Draw; 5/2; 12/5; 23/10; 23/10; 123/0; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 47/20; 21/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 40/17; 23/10; 23/10; 23/10; 12/5
Plymouth; 12/5; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 9/4; 12/5; 23/10; 21/10; 23/10; 23/10; 12/5; 21/10; 27/11; 23/10; 23/10; 40/17; 23/10; 23/10; 23/10; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-23 14:33:17 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 5/4; 23/20; 23/20; 13/10; 61/50; 5/4; 6/5; 11/10; 13/11; 23/20; 6/5; 23/20; 21/20; 6/5; 11/10; 6/5; 11/10; 19/16; 13/11; 6/5; 6/5; 5/4; 5/4; 6/5; 5/4
Plymouth; 12/5; 23/10; 9/4; 11/5; 62/25; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 21/10; 23/10; 12/5; 21/10; 23/10; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5
Draw; 5/2; 12/5; 23/10; 11/5; 62/25; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 47/20; 21/10; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-23 18:33:22 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 5/4; 23/20; 11/10; 5/4; 121/00; 5/4; 11/10; 13/11; 11/10; 23/20; 23/20; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 19/16; 13/11; 23/20; 6/5; 15/13; 23/20; 23/20; 23/20; 23/20; 
Draw; 5/2; 12/5; 23/10; 11/5; 5/2; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 47/20; 21/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; ; ; 
Plymouth; 12/5; 23/10; 23/10; 11/5; 62/25; 5/2; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 21/10; 23/10; 12/5; 12/5; 21/10; 23/10; 5/2; 47/20; 40/17; 12/5; 5/2; 12/5; 5/2
META; english/league-1/charlton-v-plymouth; 2018-03-23 22:33:15 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 5/4; 11/10; 11/10; 5/4; 6/5; 6/5; 11/10; 13/11; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 19/16; 13/11; 23/20; 6/5; 15/13; 6/5; 5/4; 6/5; 6/5; 
Draw; 5/2; 12/5; 23/10; 11/5; 5/2; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 47/20; 21/10; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; ; ; 
Plymouth; 12/5; 12/5; 23/10; 11/5; 5/2; 13/5; 23/10; 12/5; 23/10; 23/10; 12/5; 12/5; 9/4; 47/20; 21/10; 12/5; 12/5; 12/5; 21/10; 23/10; 12/5; 47/20; 40/17; 23/10; 12/5; 12/5; 12/5
META; english/league-1/charlton-v-plymouth; 2018-03-24 02:33:06 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Charlton; 5/4; 23/20; 23/20; 5/4; 129/00; 5/4; 5/4; 11/10; 13/11; 23/20; 6/5; 23/20; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 19/16; 13/11; 6/5; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4
Plymouth; 12/5; 23/10; 9/4; 11/5; 58/25; 5/2; 11/5; 23/10; 23/10; 9/4; 9/4; 9/4; 11/5; 23/10; 2; 9/4; 11/5; 12/5; 21/10; 23/10; 23/10; 47/20; 9/4; 9/4; 23/10; 23/10; 23/10
