META; english/league-1/gillingham-v-portsmouth; 2017-10-01 02:21:59 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Gillingham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
META; english/league-1/gillingham-v-portsmouth; 2017-10-01 10:21:58 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Gillingham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
META; english/league-1/gillingham-v-portsmouth; 2017-10-01 14:22:06 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 10/11; 4/5; ; ; 9/10; ; 9/10; 5/6; 9/10; ; ; ; ; 10/11; ; 10/11; ; ; 13/15; 49/50; ; 9/10; ; ; ; ; 4/7; ; 
Draw; 13/5; 5/2; ; ; 13/5; ; 13/5; 13/5; 27/11; ; ; ; ; 11/4; ; 13/5; ; ; 27/11; 69/25; ; 27/11; ; ; ; ; 11/5; ; 
Gillingham; 11/4; 16/5; ; ; 3; ; 31/10; 3; 56/19; ; ; ; ; 10/3; ; 14/5; ; ; 11/4; 73/25; ; 56/19; ; ; ; ; 6/4; ; 
META; english/league-1/gillingham-v-portsmouth; 2017-10-01 18:21:32 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 10/11; 4/5; ; ; 9/10; 9/10; 9/10; 5/6; 9/10; ; 10/11; ; ; 10/11; 19/20; 10/11; 10/11; ; 10/11; 49/50; ; 9/10; ; ; ; ; 8/11; ; 
Draw; 13/5; 5/2; ; ; 13/5; 5/2; 13/5; 13/5; 27/11; ; 5/2; ; ; 11/4; 5/2; 13/5; 13/5; ; 5/2; 69/25; ; 27/11; ; ; ; ; 12/5; ; 
Gillingham; 11/4; 16/5; ; ; 3; 13/5; 31/10; 3; 56/19; ; 3; ; ; 10/3; 14/5; 14/5; 11/4; ; 14/5; 73/25; ; 56/19; ; ; ; ; 19/10; ; 
META; english/league-1/gillingham-v-portsmouth; 2017-10-01 22:21:19 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 4/5; ; ; 9/10; 9/10; 9/10; 5/6; 9/10; ; 10/11; ; ; 20/21; 17/20; 17/20; 10/11; ; 10/11; 93/100; ; 9/10; 9/10; ; 9/10; ; 4/6; ; 
Draw; 13/5; 5/2; ; ; 13/5; 5/2; 13/5; 13/5; 27/11; ; 5/2; ; ; 11/4; 11/4; 13/5; 13/5; ; 12/5; 67/25; ; 27/11; 13/5; ; 13/5; ; 11/5; ; 
Gillingham; 3; 16/5; ; ; 3; 13/5; 31/10; 11/4; 56/19; ; 3; ; ; 3; 3; 3; 11/4; ; 29/10; 13/4; ; 56/19; 3; ; 57/20; ; 5/6; ; 
META; english/league-1/gillingham-v-portsmouth; 2017-10-02 02:21:12 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 4/5; ; ; 9/10; 9/10; 9/10; 5/6; 9/10; ; 10/11; ; ; 20/21; 17/20; 17/20; 10/11; ; 10/11; 93/100; ; 9/10; 9/10; ; 9/10; ; 8/11; ; 
Draw; 13/5; 5/2; ; ; 13/5; 5/2; 13/5; 13/5; 27/11; ; 5/2; ; ; 11/4; 11/4; 13/5; 13/5; ; 12/5; 67/25; ; 27/11; 13/5; ; 13/5; ; 11/5; ; 
Gillingham; 3; 16/5; ; ; 3; 13/5; 31/10; 11/4; 56/19; ; 3; ; ; 3; 3; 3; 11/4; ; 29/10; 13/4; ; 56/19; 3; ; 57/20; ; 5/2; ; 
META; english/league-1/gillingham-v-portsmouth; 2017-10-02 10:21:40 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 4/5; ; 10/11; 9/10; 9/10; 10/11; 5/6; 9/10; ; 10/11; ; ; 10/11; 17/20; 17/20; 10/11; ; 10/11; 93/100; 11/12; 9/10; 9/10; ; 9/10; ; 5/6; ; 
Draw; 13/5; 5/2; ; 5/2; 13/5; 5/2; 13/5; 13/5; 27/11; ; 5/2; ; ; 11/4; 11/4; 13/5; 13/5; ; 12/5; 67/25; 23/10; 27/11; 13/5; ; 13/5; ; 11/5; ; 
Gillingham; 3; 16/5; ; 3; 3; 13/5; 3; 11/4; 56/19; ; 3; ; ; 3; 3; 3; 11/4; ; 29/10; 13/4; 40/17; 56/19; 3; ; 57/20; ; 5/2; ; 
META; english/league-1/gillingham-v-portsmouth; 2017-10-02 18:21:57 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 11/13; 5/6; 9/10; 9/10; ; 5/6; 9/10; 5/6; 20/23; 17/20; 10/11; 17/20; 10/11; 17/20; 10/11; 13/15; 22/25; 9/11; 9/10; 9/10; 17/20; 17/20; ; 5/6; 8/11; 
Portsmouth; 17/20; 17/20; 13/15; 5/6; 17/20; 4/5; 9/10; 5/6; 8/9; 17/20; 20/23; 17/20; 19/20; 17/20; 10/11; 5/6; 5/6; 5/6; 22/25; 9/11; ; 9/10; 20/23; 17/20; ; 10/11; 5/6; 5/6
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 28/11; 14/5; 40/17; ; 13/5; 13/5; 51/20; ; 5/2; 12/5; 12/5
Gillingham; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 3; 3; 10/3; 16/5; 14/5; 16/5; 3; 3; 31/10; 58/19; 67/20; 45/17; ; 3; 16/5; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-04 02:22:10 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 5/6; 17/20; 4/5; 9/10; 4/5; 5/6; 17/20; 20/23; 17/20; 19/20; 17/20; 10/11; 5/6; 5/6; 5/6; 22/25; 9/11; 5/6; 9/10; 20/23; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 45/17; 5/2; 12/5; 5/2; 12/5; 11/4; 5/2; 5/2; 13/5; 28/11; 14/5; 40/17; 45/17; 13/5; 13/5; 51/20; ; 13/5; 12/5; 12/5
Gillingham; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 31/10; 3; 10/3; 16/5; 14/5; 16/5; 3; 3; 31/10; 58/19; 67/20; 45/17; 31/10; 3; 16/5; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-04 10:22:19 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 5/6; 17/20; 4/5; 20/23; 4/5; 5/6; 17/20; 20/23; 17/20; 19/20; 17/20; 10/11; 5/6; 5/6; 5/6; 22/25; 9/11; 5/6; 9/10; 20/23; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 45/17; 5/2; 5/2; 5/2; 12/5; 11/4; 5/2; 5/2; 13/5; 28/11; 14/5; 40/17; 45/17; 13/5; 13/5; 51/20; ; 12/5; 12/5; 12/5
Gillingham; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 31/10; 3; 16/5; 16/5; 14/5; 16/5; 3; 3; 31/10; 58/19; 67/20; 45/17; 31/10; 3; 16/5; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-04 14:22:23 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 5/6; 17/20; 4/5; 20/23; 4/5; 5/6; 17/20; 20/23; 17/20; 19/20; 17/20; 10/11; 17/20; 5/6; 5/6; 89/100; 9/11; 5/6; 9/10; 17/20; 17/20; ; 5/6; 5/6; 9/10
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 45/17; 12/5; 12/5; 5/2; 12/5; 11/4; 5/2; 5/2; 13/5; 28/11; 11/4; 40/17; 45/17; 13/5; 13/5; 51/20; ; 12/5; 23/10; 12/5
Gillingham; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 31/10; 16/5; 10/3; 16/5; 14/5; 16/5; 3; 3; 31/10; 31/10; 67/20; 45/17; 31/10; 3; 33/10; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-04 18:22:24 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 10/11; 17/20; 4/5; 9/10; 4/5; 5/6; 20/23; 20/23; 17/20; 19/20; 17/20; 10/11; 17/20; 5/6; 13/15; 93/100; 9/11; 5/6; 9/10; 20/23; 17/20; ; 5/6; 5/6; 9/10
Draw; 13/5; 13/5; 5/2; 12/5; 13/5; 5/2; 5/2; 13/5; 45/17; 5/2; 13/5; 5/2; 12/5; 11/4; 5/2; 5/2; 13/5; 28/11; 68/25; 40/17; 45/17; 13/5; 13/5; 51/20; ; 23/10; 23/10; 12/5
Gillingham; 3; 16/5; 16/5; 16/5; 16/5; 3; 3; 16/5; 31/10; 16/5; 3; 16/5; 14/5; 16/5; 3; 3; 31/10; 58/19; 16/5; 45/17; 31/10; 3; 16/5; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-04 22:22:09 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 10/11; 17/20; 5/6; 9/10; 4/5; 5/6; 10/11; 20/23; 17/20; 19/20; 17/20; 10/11; 17/20; 11/13; 13/15; 93/100; 9/11; 5/6; 9/10; 20/23; 17/20; ; 10/11; 5/6; 9/10
Draw; 13/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 13/5; 45/17; 5/2; 13/5; 5/2; 12/5; 11/4; 5/2; 5/2; 5/2; 28/11; 68/25; 40/17; 45/17; 13/5; 13/5; 51/20; ; 23/10; 23/10; 12/5
Gillingham; 3; 16/5; 3; 16/5; 16/5; 3; 3; 16/5; 31/10; 16/5; 3; 16/5; 14/5; 16/5; 3; 3; 31/10; 58/19; 16/5; 45/17; 31/10; 3; 16/5; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-05 02:22:12 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 10/11; 17/20; 5/6; 9/10; 4/5; 5/6; 10/11; 20/23; 17/20; 19/20; 17/20; 10/11; 17/20; 11/13; 13/15; 93/100; 9/11; 5/6; 9/10; 20/23; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 13/5; 45/17; 5/2; 13/5; 5/2; 12/5; 11/4; 5/2; 5/2; 5/2; 28/11; 68/25; 40/17; 45/17; 13/5; 13/5; 51/20; ; 12/5; 12/5; 5/2
Gillingham; 3; 16/5; 3; 16/5; 16/5; 3; 3; 16/5; 31/10; 16/5; 3; 16/5; 14/5; 16/5; 3; 3; 31/10; 58/19; 16/5; 45/17; 31/10; 3; 16/5; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-05 10:22:26 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 10/11; 17/20; 5/6; 10/11; 5/6; 8/9; 10/11; 20/23; 17/20; 19/20; 20/23; 10/11; 17/20; 11/13; 10/11; 19/20; 9/11; 8/9; 9/10; 20/23; 17/20; ; 5/6; 5/6; 9/10
Draw; 13/5; 13/5; 12/5; 12/5; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; 11/4; 5/2; 5/2; 5/2; 5/2; 68/25; 40/17; 13/5; 13/5; 13/5; 51/20; ; 12/5; 23/10; 12/5
Gillingham; 3; 16/5; 3; 16/5; 16/5; 3; 3; 3; 29/10; 16/5; 3; 16/5; 14/5; 16/5; 3; 3; 31/10; 56/19; 31/10; 45/17; 29/10; 3; 16/5; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-05 14:22:32 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 10/11; 10/11; 9/10; 5/6; 10/11; 5/6; 8/9; 10/11; 10/11; 9/10; 19/20; 20/23; 10/11; 17/20; 11/13; 10/11; 19/20; 6/7; 8/9; 9/10; 9/10; 17/20; ; 10/11; 10/11; 10/11
Draw; 13/5; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 68/25; 40/17; 13/5; 13/5; 13/5; 51/20; ; 23/10; 23/10; 23/10
Gillingham; 3; 3; 3; 16/5; 3; 3; 29/10; 16/5; 29/10; 3; 14/5; 31/10; 14/5; 16/5; 3; 14/5; 31/10; 56/19; 31/10; 5/2; 29/10; 3; 31/10; 3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-05 18:22:59 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 13/15; 10/11; 17/20; 5/6; 9/10; 5/6; 8/9; 20/23; 10/11; 17/20; 19/20; 17/20; 10/11; 17/20; 11/13; 13/15; 23/25; 6/7; 8/9; 9/10; 20/23; 17/20; ; 5/6; 5/6; 5/6
Draw; 13/5; 5/2; 5/2; 12/5; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 12/5; 49/20; 12/5; 11/4; 13/5; 5/2; 5/2; 28/11; 68/25; 40/17; 13/5; 13/5; 13/5; 51/20; ; 23/10; 12/5; 12/5
Gillingham; 3; 3; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 29/10; 16/5; 16/5; 16/5; 14/5; 16/5; 14/5; 3; 31/10; 31/10; 13/4; 5/2; 29/10; 3; 16/5; 10/3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-05 22:22:32 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 10/11; 10/11; 17/20; 5/6; 10/11; 5/6; 8/9; 10/11; 10/11; 9/10; 19/20; 17/20; 10/11; 17/20; 11/13; 13/15; 23/25; 6/7; 8/9; 9/10; 9/10; 17/20; ; 5/6; 5/6; 10/11
Draw; 13/5; 5/2; 12/5; 12/5; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 12/5; 49/20; 12/5; 11/4; 13/5; 5/2; 5/2; 5/2; 68/25; 40/17; 13/5; 13/5; 13/5; 51/20; ; 5/2; 23/10; 12/5
Gillingham; 3; 10/3; 3; 16/5; 16/5; 3; 16/5; 16/5; 29/10; 16/5; 16/5; 31/10; 14/5; 16/5; 14/5; 3; 31/10; 58/19; 13/4; 5/2; 29/10; 3; 31/10; 10/3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-06 02:23:56 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 10/11; 10/11; 17/20; 5/6; 10/11; 5/6; 8/9; 10/11; 20/23; 9/10; 19/20; 17/20; 10/11; 17/20; 11/13; 13/15; 9/10; 6/7; 8/9; 9/10; 9/10; 17/20; ; 5/6; 5/6; 10/11
Draw; 13/5; 5/2; 12/5; 12/5; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 12/5; 49/20; 12/5; 11/4; 5/2; 5/2; 5/2; 5/2; 11/4; 40/17; 13/5; 13/5; 13/5; 51/20; ; 5/2; 23/10; 12/5
Gillingham; 3; 3; 3; 16/5; 16/5; 3; 3; 16/5; 29/10; 16/5; 16/5; 16/5; 14/5; 16/5; 3; 3; 31/10; 58/19; 33/10; 5/2; 29/10; 3; 31/10; 10/3; ; 3; 3; 3
META; english/league-1/gillingham-v-portsmouth; 2017-10-06 10:22:32 GMT+3; 2017-10-08 14:30; Nothing; Xlenovo
Portsmouth; 17/20; 17/20; 10/11; 10/11; 17/20; 5/6; 9/10; 5/6; 8/9; 20/23; 20/23; 9/10; 19/20; 17/20; 10/11; 17/20; 11/13; 13/15; 89/100; 6/7; 8/9; 9/10; 20/23; 17/20; ; 5/6; 5/6; 10/11
