META; english/league-1/northampton-v-afc-wimbledon; 2017-10-08 02:22:16 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Northampton; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-08 10:22:58 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Northampton; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-08 14:23:11 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Northampton; 11/8; 8/5; ; ; 6/4; ; 8/5; 6/4; ; ; ; ; ; ; ; 6/4; ; 16/11; 83/50; ; ; ; 8/5; 6/4; ; 5/6; ; 
Northampton; 13/8; 8/5; 9/5; 7/4; 7/4; 8/5; 7/4; 17/10; 17/11; 9/5; 9/5; ; 9/5; 9/5; 7/4; 7/4; 28/17; 17/10; 15/8; 7/4; 17/11; 9/5; 9/5; 7/4; ; 17/10; ; 
Draw; 12/5; 9/4; 21/10; 11/5; 11/5; 23/10; 11/5; 9/4; 23/10; 21/10; 9/4; ; 9/4; 12/5; 11/5; 9/4; 12/5; 11/5; 59/25; 9/4; 23/10; 9/4; 9/4; 21/10; ; 21/10; ; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-09 14:22:17 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 31/20; 8/5; 13/8; 31/20; 8/5; 6/4; 6/4; 17/11; 41/25; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; 7/4; ; 7/4; 7/4; 
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 28/13; 58/25; 9/4; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-09 18:22:57 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 31/20; 8/5; 13/8; 31/20; 8/5; 6/4; 6/4; 6/4; 41/25; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 28/13; 58/25; 9/4; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-09 22:22:30 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 31/20; 8/5; 13/8; 31/20; 8/5; 6/4; 6/4; 6/4; 41/25; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 28/13; 58/25; 9/4; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-10 02:22:05 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 31/20; 8/5; 13/8; 31/20; 8/5; 6/4; 6/4; 6/4; 41/25; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 28/13; 58/25; 9/4; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-10 10:22:10 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 31/20; 31/20; 13/8; 31/20; 8/5; 6/4; 6/4; 6/4; 41/25; 16/11; 17/11; 13/8; 31/20; ; ; 6/4; 6/4; 
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; ; ; 9/5; 7/4; 
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 28/13; 58/25; 9/4; 11/5; 9/4; 23/10; ; ; 21/10; 2; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-10 14:22:48 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 8/5; 29/20; 8/5; 6/4; 17/11; 31/20; 31/20; 31/20; 13/8; 31/20; 8/5; 6/4; 6/4; 6/4; 41/25; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 
Draw; 12/5; 23/10; 21/10; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 28/13; 58/25; 9/4; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-10 18:21:59 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 6/4; 29/20; 8/5; 6/4; 17/11; 8/5; 31/20; 31/20; 13/8; 31/20; 8/5; 6/4; 6/4; 17/11; 41/25; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 15/8
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 11/5; 58/25; 9/4; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-10 22:22:32 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 6/4; 17/11; 6/4; 8/5; 29/20; 8/5; 6/4; 17/11; 8/5; 31/20; 31/20; 13/8; 31/20; 8/5; 6/4; 6/4; 17/11; 41/25; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 9/5; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 37/20; 13/8; 9/5; 7/4; 9/5; 28/17; 7/4; 189/100; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 15/8
Draw; 12/5; 23/10; 21/10; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 43/20; 11/5; 23/10; 11/5; 9/4; 12/5; 11/5; 58/25; 9/4; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-11 02:21:56 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 13/8; 8/5; 6/4; 8/5; 29/20; 8/5; 6/4; 17/11; 8/5; 8/5; 8/5; 13/8; 31/20; 8/5; 8/5; 6/4; 17/11; 33/20; 16/11; 17/11; 13/8; 8/5; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 17/10; 9/5; 15/8; 9/5; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 13/8; 9/5; 7/4; 7/4; 28/17; 7/4; 47/25; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 15/8
Draw; 12/5; 9/4; 21/10; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 12/5; 11/5; 58/25; 9/4; 11/5; 9/4; 9/4; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-11 10:22:25 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 13/8; 8/5; 6/4; 8/5; 29/20; 8/5; 6/4; 17/11; 8/5; 8/5; 8/5; 13/8; 31/20; 8/5; 8/5; 6/4; 17/11; 33/20; 16/11; 17/11; 13/8; 8/5; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 17/10; 9/5; 15/8; 9/5; 8/5; 7/4; 9/5; 7/4; 9/5; 9/5; 9/5; 13/8; 9/5; 7/4; 7/4; 28/17; 7/4; 47/25; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; 7/4; 15/8
Draw; 12/5; 9/4; 21/10; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 12/5; 11/5; 58/25; 9/4; 11/5; 9/4; 9/4; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-11 14:23:57 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 13/8; 8/5; 8/5; 8/5; 29/20; 8/5; 6/4; 17/11; 8/5; 8/5; 8/5; 13/8; 31/20; 8/5; 8/5; 6/4; 17/11; 33/20; 16/11; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 17/10; 9/5; 17/10; 7/4; 8/5; 7/4; 9/5; 7/4; 9/5; 9/5; 9/5; 13/8; 9/5; 7/4; 7/4; 28/17; 7/4; 47/25; 7/4; 7/4; 9/5; 7/4; 7/4; ; 9/5; 7/4; 15/8
Draw; 12/5; 9/4; 21/10; 2; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 12/5; 11/5; 58/25; 9/4; 11/5; 9/4; 12/5; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-11 18:21:55 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 13/8; 8/5; 8/5; 8/5; 29/20; 8/5; 6/4; 17/11; 13/8; 8/5; 8/5; 13/8; 31/20; ; 8/5; 6/4; 17/11; 33/20; 31/21; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 17/10; 9/5; 17/10; 7/4; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 13/8; 9/5; ; 7/4; 28/17; 7/4; 47/25; 12/7; 7/4; 9/5; 7/4; 7/4; ; 9/5; 7/4; 15/8
Draw; 12/5; 9/4; 21/10; 2; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 23/10; ; 11/5; 12/5; 11/5; 58/25; 40/17; 11/5; 9/4; 12/5; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-11 22:22:42 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 13/8; 8/5; 8/5; 8/5; 29/20; 8/5; 6/4; 17/11; 13/8; 8/5; 8/5; 13/8; 31/20; 8/5; 8/5; 6/4; 17/11; 33/20; 31/21; 17/11; 13/8; 8/5; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 17/10; 9/5; 17/10; 7/4; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 13/8; 9/5; 7/4; 7/4; 28/17; 7/4; 47/25; 12/7; 7/4; 9/5; 7/4; 7/4; ; 7/4; 7/4; 15/8
Draw ; 12/5; 9/4; 21/10; 2; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 12/5; 11/5; 58/25; 40/17; 11/5; 9/4; 23/10; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-12 02:23:18 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 31/20; 13/8; 8/5; 8/5; 8/5; 29/20; 8/5; 6/4; 17/11; 13/8; 8/5; 8/5; 13/8; 31/20; 8/5; 8/5; 6/4; 17/11; 33/20; 31/21; 17/11; 13/8; 31/20; 8/5; ; 6/4; 6/4; 13/8
Northampton; 13/8; 17/10; 9/5; 17/10; 7/4; 8/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 13/8; 9/5; 7/4; 7/4; 28/17; 7/4; 47/25; 12/7; 7/4; 9/5; 7/4; 7/4; ; 7/4; 7/4; 15/8
Draw ; 12/5; 9/4; 21/10; 2; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 12/5; 11/5; 58/25; 40/17; 11/5; 9/4; 12/5; 21/10; ; 21/10; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-12 14:23:01 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 29/20; 6/4; 6/4; 8/5; 8/5; 29/20; 8/5; 6/4; 17/11; 6/4; 31/20; 31/20; 13/8; 31/20; 6/4; 6/4; 6/4; 16/11; 77/50; 16/11; 17/11; 6/4; 6/4; 31/20; 6/4; ; 7/5; 7/5; 6/4
Northampton; 7/4; 15/8; 19/10; 17/10; 9/5; 8/5; 15/8; 9/5; 7/4; 19/10; 15/8; 19/10; 13/8; 9/5; 15/8; 15/8; 28/17; 24/13; 2; 7/4; 7/4; 15/8; 15/8; 39/20; 19/10; ; 9/5; 9/5; 2
Draw ; 12/5; 9/4; 21/10; 2; 11/5; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 12/5; 11/5; 47/20; 40/17; 11/5; 9/4; 23/10; 21/10; 11/5; ; 11/5; 2; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-12 18:22:25 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 13/10; 6/4; 26/19; 7/5; 7/5; 29/20; 7/5; 7/5; 11/8; 7/5; 31/20; 7/5; 31/20; 6/4; 7/5; 7/5; 6/4; 23/17; 36/25; 23/18; 11/8; 7/5; 13/10; 29/20; 23/17; ; 11/8; 7/5; 7/5
Northampton; 2; 15/8; 21/10; 15/8; 2; 8/5; 2; 15/8; 28/13; 21/10; 2; 21/10; 17/10; 2; 2; 2; 28/17; 39/19; 54/25; 79/40; 28/13; 2; 21/10; 21/10; 39/19; ; 19/10; 15/8; 21/10
Draw ; 12/5; 9/4; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 39/19; 21/10; 2; 21/10; 11/5; 9/4; 11/5; 9/4; 12/5; 11/5; 117/50; 40/17; 39/19; 9/4; 23/10; 21/10; 11/5; ; 21/10; 21/10; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-12 22:23:02 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 5/4; 13/10; 26/19; 7/5; 7/5; 29/20; 7/5; 7/5; 11/8; 11/8; 11/8; 11/8; 31/20; 6/4; 7/5; 11/8; 23/17; 23/17; 143/100; 23/18; 11/8; 7/5; 13/10; 29/20; 23/17; ; 11/8; 11/8; 7/5
Northampton; 21/10; 21/10; 21/10; 15/8; 2; 8/5; 2; 15/8; 28/13; 21/10; 21/10; 43/20; 17/10; 2; 2; 2; 37/19; 39/19; 54/25; 79/40; 28/13; 2; 21/10; 21/10; 21/10; ; 2; 19/10; 21/10
Draw ; 12/5; 23/10; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 39/19; 21/10; 11/5; 43/20; 11/5; 9/4; 11/5; 9/4; 23/10; 11/5; 47/20; 40/17; 39/19; 9/4; 12/5; 21/10; 9/4; ; 11/5; 21/10; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-13 02:22:41 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 5/4; 13/10; 26/19; 7/5; 7/5; 29/20; 7/5; 7/5; 11/8; 11/8; 11/8; 11/8; 31/20; 6/4; 7/5; 11/8; 23/17; 23/17; 143/100; 23/18; 11/8; 7/5; 11/8; 29/20; 23/17; ; 11/8; 11/8; 7/5
Northampton; 21/10; 21/10; 21/10; 15/8; 2; 8/5; 2; 15/8; 28/13; 21/10; 21/10; 43/20; 17/10; 2; 2; 2; 37/19; 39/19; 54/25; 79/40; 28/13; 2; 21/10; 21/10; 21/10; ; 2; 19/10; 21/10
Draw ; 12/5; 23/10; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 39/19; 21/10; 11/5; 43/20; 11/5; 9/4; 11/5; 9/4; 23/10; 11/5; 47/20; 40/17; 39/19; 9/4; 23/10; 21/10; 9/4; ; 23/10; 21/10; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-13 10:23:55 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 7/5; 13/10; 26/19; 7/5; 11/8; 29/20; 7/5; 11/8; 11/8; 7/5; 11/8; 11/8; 31/20; 7/5; 7/5; 11/8; 23/17; 23/17; 143/100; 23/18; 11/8; 7/5; 11/8; 29/20; 23/17; ; 11/8; 13/10; 11/8
Northampton; 21/10; 21/10; 21/10; 15/8; 21/10; 8/5; 2; 2; 28/13; 21/10; 21/10; 21/10; 17/10; 21/10; 2; 2; 37/19; 39/19; 54/25; 79/40; 28/13; 2; 21/10; 21/10; 21/10; ; 2; 2; 2
Draw ; 5/2; 9/4; 21/10; 21/10; 11/5; 23/10; 11/5; 11/5; 39/19; 21/10; 11/5; 21/10; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 47/20; 40/17; 39/19; 9/4; 23/10; 21/10; 11/5; ; 23/10; 21/10; 11/5
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-13 14:24:47 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 7/5; 13/10; 16/11; 7/5; 11/8; 29/20; 7/5; 13/10; 11/8; 29/20; 29/20; 7/5; 31/20; 7/5; 7/5; 7/5; 23/17; 7/5; 147/100; 25/19; 11/8; 7/5; 29/20; 29/20; 7/5; ; 11/8; 7/5; 7/5
Northampton; 21/10; 21/10; 2; 2; 2; 8/5; 2; 21/10; 28/13; 2; 21/10; 21/10; 17/10; 11/5; 2; 2; 37/19; 2; 21/10; 23/12; 28/13; 2; 2; 21/10; 39/19; ; 2; 19/10; 21/10
Draw ; 5/2; 9/4; 21/10; 9/4; 9/4; 23/10; 11/5; 9/4; 39/19; 21/10; 2; 21/10; 11/5; 12/5; 11/5; 11/5; 23/10; 11/5; 47/20; 40/17; 39/19; 9/4; 23/10; 21/10; 11/5; ; 23/10; 21/10; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-13 18:22:49 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 29/20; 7/5; 26/19; 7/5; 7/5; 29/20; 7/5; 7/5; 4/3; 11/8; 11/8; 11/8; 6/4; 29/20; 11/8; 11/8; 23/17; 23/17; 37/25; 9/7; 4/3; 13/10; 11/8; 7/5; 13/10; ; 11/8; 13/10; 11/8
Northampton; 2; 2; 21/10; 2; 2; 8/5; 2; 2; 39/19; 21/10; 11/5; 43/20; 7/4; 21/10; 2; 2; 37/19; 39/19; 52/25; 45/23; 39/19; 11/5; 21/10; 21/10; 21/10; ; 2; 19/10; 21/10
Draw ; 5/2; 9/4; 21/10; 9/4; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 21/10; 43/20; 11/5; 12/5; 9/4; 11/5; 23/10; 9/4; 47/20; 40/17; 9/4; 23/10; 12/5; 9/4; 23/10; ; 11/5; 21/10; 23/10
META; english/league-1/northampton-v-afc-wimbledon; 2017-10-13 22:23:47 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
AFC Wimbledon; 29/20; 7/5; 16/11; 7/5; 7/5; 29/20; 6/4; 7/5; 4/3; 29/20; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 23/17; 7/5; 6/4; 15/11; 4/3; 7/5; 29/20; 29/20; 7/5; ; 7/5; 13/10; 7/5
