META; english/league-1/bradford-v-wigan; 2018-03-10 22:20:46 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 1; 10/11; 11/10; 1; 10/11; 1; 19/20; 1; 8/15; 1/8
Draw; 13/5; 12/5; 23/10; 5/2; 5/2; 13/5; 5/2; 13/5; 21/10; 2
Bradford; 5/2; 3; 11/5; 5/2; 13/5; 13/5; 13/5; 27/10; 21/10; 1/25
META; english/league-1/bradford-v-wigan; 2018-03-11 02:20:52 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 1; 10/11; 11/10; 1; 1; 1; 8/11; 4/6; ; ; 
Draw; 13/5; 12/5; 23/10; 5/2; 5/2; 13/5; 5/2; 13/5; 51/20; 19/10; 7/5
Bradford; 5/2; 3; 11/5; 5/2; 13/5; 13/5; 5/2; 27/10; 51/20; 6/4; 1/12
META; english/league-1/bradford-v-wigan; 2018-03-11 10:20:56 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 1; 10/11; 11/10; 11/10; 21/20; 1; 1; 1; 1; 1; 20/21; 21/20; ; ; ; 
Draw; 13/5; 12/5; 23/10; 13/5; 13/5; 5/2; 5/2; 28/11; 13/5; 12/5; 12/5; 28/11; 13/5; 5/2; 23/10; 5/2
Bradford; 5/2; 3; 11/5; 67/25; 13/5; 5/2; 5/2; 27/11; 13/5; 11/4; 13/5; 27/11; 27/10; 49/20; 23/10; 13/5
META; english/league-1/bradford-v-wigan; 2018-03-11 14:21:38 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 1; 10/11; 21/20; 11/10; 111/00; 1; 21/20; 10/11; 1; 21/20; 1; 21/20; 11/10; 1; 1; 21/20; 1; 10/11; 21/20; ; 
Draw; 13/5; 12/5; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 28/11; 12/5; 13/5; 5/2; 23/10; 5/2; 12/5; 5/2; 28/11; 13/5; 49/20; 9/4; 12/5
Bradford; 5/2; 3; 5/2; 11/5; 69/25; 11/4; 5/2; 13/5; 27/11; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 27/11; 5/2; 51/20; 5/2; 13/5
META; english/league-1/bradford-v-wigan; 2018-03-11 18:21:08 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 19/20; 1; 21/20; 1; 42/41; 1; 21/20; 20/21; 1; 21/20; ; ; ; ; 
Draw; 13/5; 12/5; 23/10; 9/4; 5/2; 5/2; 23/10; 12/5; 28/11; 23/10; 5/2; 5/2; 12/5; 12/5; 12/5; 40/17; 5/2; 40/17; 28/11; 5/2; 47/20; 40/17; 9/4; 21/10; 12/5
Bradford; 5/2; 14/5; 13/5; 12/5; 139/0; 11/4; 13/5; 13/5; 27/11; 13/5; 13/5; 5/2; 11/4; 11/4; 5/2; 28/11; 5/2; 9/4; 27/11; 13/5; 53/20; 13/5; 5/2; 23/10; 13/5
META; english/league-1/bradford-v-wigan; 2018-03-11 22:20:57 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 10/11; 1; 19/20; 10/11; 1; 20/21; 10/11; 1; 19/20; 10/11; 10/11; 19/20; 1; 10/11; 19/20; 9/10; 11/12; 1; 9/10; 10/11; 19/20; 10/11; 5/6; 20/21; 
Draw; 11/4; 12/5; 12/5; 23/10; 129/0; 13/5; 12/5; 12/5; 28/11; 12/5; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 28/11; 27/10; 49/20; 27/11; 23/10; 11/5; 5/2
Bradford; 14/5; 14/5; 3; 14/5; 61/20; 31/10; 14/5; 11/4; 27/11; 3; 3; 11/4; 11/4; 14/5; 29/10; 14/5; 5/2; 27/11; 3; 57/20; 29/10; 14/5; 13/5; 14/5; 
META; english/league-1/bradford-v-wigan; 2018-03-12 02:21:18 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 10/11; 1; 10/11; 10/11; 97/00; 1; 10/11; 10/11; 15/16; 19/20; 10/11; 10/11; 19/20; 1; 10/11; 19/20; 9/10; 11/12; 15/16; 9/10; 10/11; 19/20; 10/11; 5/6; 20/21
Draw; 11/4; 12/5; 12/5; 23/10; 13/5; 13/5; 12/5; 12/5; 27/11; 12/5; 13/5; 12/5; 12/5; 12/5; 5/2; 12/5; 13/5; 12/5; 27/11; 27/10; 49/20; 27/11; 23/10; 11/5; 5/2
Bradford; 14/5; 14/5; 3; 14/5; 63/20; 31/10; 29/10; 11/4; 29/10; 3; 3; 11/4; 11/4; 14/5; 56/19; 14/5; 5/2; 29/10; 3; 57/20; 56/19; 14/5; 13/5; 3; 
META; english/league-1/bradford-v-wigan; 2018-03-12 10:21:15 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 19/20; 10/11; 10/11; 10/11; 97/00; 1; 10/11; 10/11; 15/16; 19/20; 10/11; 10/11; 19/20; 19/20; 1; 10/11; 19/20; 9/10; 11/12; 15/16; 10/11; 10/11; 19/20; 10/11; 5/6; 20/21
Draw; 13/5; 5/2; 12/5; 23/10; 13/5; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 27/11; 13/5; 12/5; 12/5; 23/10; 11/5; 5/2
Bradford; 16/5; 3; 14/5; 63/20; 31/10; 29/10; 11/4; 29/10; 3; 3; 11/4; 3; 11/4; 3; 56/19; 14/5; 5/2; 29/10; 3; 59/20; 3; 14/5; 13/5; 3; ; 
META; english/league-1/bradford-v-wigan; 2018-03-12 14:21:51 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 19/20; 10/11; 10/11; 10/11; 23/25; 19/20; 20/23; 5/6; 15/16; 10/11; 9/10; 10/11; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11; 11/12; 15/16; 10/11; 9/10; 10/11; 5/6; 5/6; 5/6; 5/6
Bradford; 15/4; 18/5; 15/4; 15/4; 18/5; 7/2; 10/3; 57/17; 18/5; 7/2; 7/2; 7/2; 18/5; 15/4; 7/2; 39/11; 10/3; 13/4; 57/17; 7/2; 7/2; 18/5; 7/2; 7/2; 7/2; 7/2; 
META; english/league-1/bradford-v-wigan; 2018-03-13 22:21:59 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 17/20; 5/6; 3/4; 9/10; 20/23; 5/6; 4/5; 16/19; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 9/11; 16/19; 17/20; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 
Draw; 13/5; 12/5; 23/10; 13/5; 62/25; 11/4; 12/5; 5/2; 27/11; 12/5; 5/2; 12/5; 12/5; 47/20; 23/10; 12/5; 40/17; 12/5; 5/2; 27/11; 13/5; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2
Bradford; 15/4; 18/5; 15/4; 37/10; 18/5; 7/2; 10/3; 57/17; 18/5; 7/2; 7/2; 7/2; 18/5; 15/4; 7/2; 7/2; 10/3; 13/4; 57/17; 7/2; 7/2; 39/11; 7/2; 7/2; 7/2; 7/2; 
META; english/league-1/bradford-v-wigan; 2018-03-14 02:21:00 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 17/20; 5/6; 3/4; 9/10; 20/23; 5/6; 4/5; 16/19; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 9/11; 16/19; 17/20; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 
Draw; 13/5; 12/5; 12/5; 13/5; 63/25; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 40/17; 12/5; 5/2; 27/11; 13/5; 5/2; 40/17; 12/5; 12/5; 12/5; 5/2
Bradford; 15/4; 18/5; 15/4; 73/20; 15/4; 7/2; 7/2; 57/17; 7/2; 7/2; 7/2; 7/2; 7/2; 15/4; 7/2; 7/2; 10/3; 13/4; 57/17; 7/2; 7/2; 39/11; 7/2; 7/2; 7/2; 7/2; 
META; english/league-1/bradford-v-wigan; 2018-03-14 10:21:09 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 17/20; 5/6; 3/4; 22/25; 20/23; 5/6; 4/5; 16/19; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 5/6; 9/11; 16/19; 4/5; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6; 
Draw; 13/5; 12/5; 12/5; 13/5; 64/25; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 27/11; 27/11; 13/5; 5/2; 12/5; 5/2; 13/5; 5/2; 13/5
Bradford; 15/4; 7/2; 15/4; 37/10; 15/4; 7/2; 7/2; 57/17; 7/2; 7/2; 7/2; 7/2; 18/5; 15/4; 7/2; 7/2; 10/3; 57/17; 57/17; 15/4; 7/2; 39/11; 7/2; 7/2; 7/2; 7/2
META; english/league-1/bradford-v-wigan; 2018-03-14 14:21:30 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 9/10; 17/20; 20/23; 10/11; 93/00; 10/11; 9/10; 5/6; 13/15; 20/23; 17/20; 10/11; 17/20; 9/10; 10/11; 17/20; 13/15; 5/6; 7/8; 13/15; 20/23; 9/10; 13/15; 9/10; 10/11; 10/11; 10/11
Draw; 13/5; 5/2; 23/10; 23/10; 127/0; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 9/4; 12/5; 47/20; 5/2; 12/5; 40/17; 12/5; 12/5; 27/11; 13/5; 49/20; 12/5; 5/2; 5/2; 5/2; 13/5
Bradford; 7/2; 10/3; 10/3; 10/3; 69/20; 7/2; 16/5; 10/3; 16/5; 10/3; 10/3; 10/3; 16/5; 10/3; 3; 16/5; 13/4; 10/3; 41/13; 16/5; 17/5; 10/3; 33/10; 10/3; 10/3; 10/3; 10/3
META; english/league-1/bradford-v-wigan; 2018-03-14 18:21:18 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 5/6; 17/20; 4/5; 17/20; 41/50; 20/23; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 11/14; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 5/6
Draw; 11/4; 5/2; 5/2; 12/5; 11/4; 13/5; 13/5; 12/5; 28/11; 5/2; 13/5; 5/2; 5/2; 49/20; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 11/4; 51/20; 28/11; 13/5; 13/5; 13/5; 13/5
Bradford; 15/4; 10/3; 15/4; 17/5; 15/4; 15/4; 7/2; 7/2; 7/2; 15/4; 7/2; 7/2; 7/2; 37/10; 100/0; 10/3; 39/11; 10/3; 17/5; 7/2; 18/5; 7/2; 18/5; 7/2; 7/2; 7/2; 7/2
META; english/league-1/bradford-v-wigan; 2018-03-14 22:21:07 GMT+2; 2018-03-14 19:45; Nothing; Xlenovo
Wigan; 10/11; 10/11; 19/20; 1; 20/21; 11/10; 10/11; 1; 8/9; 10/11; 5/6; 10/11; 19/20; 10/11; 10/11; 6/7; 9/10; 15/16; 8/9; 10/11; 21/20; 9/10; 20/21; 10/11; 20/21
Draw; 15/8; 13/8; 17/10; 7/4; 21/10; 17/10; 19/10; 13/8; 37/19; 15/8; 15/8; 7/4; 9/5; 9/5; 7/4; 37/19; 9/5; 19/11; 37/19; 2; 9/5; 37/19; 19/10; 15/8; 19/10
Bradford; 9/2; 4; 4; 37/10; 4; 15/4; 7/2; 18/5; 7/2; 15/4; 9/2; 17/4; 7/2; 4; 39/10; 18/5; 39/11; 18/5; 15/4; 15/4; 39/10; 21/5; 4; 21/5; 
