META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 02:21:47 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
AFC Wimbledon; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 10:21:45 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
AFC Wimbledon; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 14:21:54 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 1; 1; ; ; 19/20; ; 1; 10/11; 1; ; ; ; ; 1; ; 1; ; ; 19/20; 27/25; ; 1; ; ; 19/20; ; 4/6; ; 
Draw; 12/5; 23/10; ; ; 13/5; ; 5/2; 5/2; 40/17; ; ; ; ; 11/4; ; 5/2; ; ; 23/10; 5/2; ; 40/17; ; ; 12/5; ; 9/4; ; 
AFC Wimbledon; 11/4; 13/5; ; ; 11/4; ; 14/5; 11/4; 27/10; ; ; ; ; 3; ; 13/5; ; ; 45/17; 57/20; ; 27/10; ; ; 11/4; ; 21/10; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 18:21:19 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 1; 1; ; ; 1; 39/40; 1; 10/11; 1; ; 20/21; ; ; 1; 1; 1; 1; ; 1; 27/25; ; 1; ; ; 19/20; ; 4/5; ; 
Draw; 12/5; 23/10; ; ; 12/5; 9/4; 12/5; 5/2; 40/17; ; 5/2; ; ; 11/4; 12/5; 12/5; 23/10; ; 40/17; 5/2; ; 40/17; ; ; 12/5; ; 9/4; ; 
AFC Wimbledon; 11/4; 13/5; ; ; 11/4; 13/5; 29/10; 11/4; 27/10; ; 11/4; ; ; 3; 11/4; 11/4; 27/10; ; 27/10; 57/20; ; 27/10; ; ; 11/4; ; 21/10; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-01 22:21:08 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 1; ; ; 23/20; 41/40; 13/10; 11/10; 15/13; ; 6/5; 13/10; ; 5/4; 6/5; 6/5; 21/20; 15/13; 6/5; 69/50; ; 15/13; 5/4; ; 23/20; ; 6/5; ; 
Draw; 23/10; 23/10; ; ; 12/5; 11/5; 12/5; 23/10; 9/4; ; 12/5; 23/10; ; 5/2; 12/5; 23/10; 23/10; 9/4; 9/4; 119/50; ; 9/4; 12/5; ; 47/20; ; 9/4; ; 
AFC Wimbledon; 12/5; 13/5; ; ; 23/10; 5/2; 85/40; 23/10; 40/17; ; 9/4; 21/10; ; 5/2; 11/5; 23/10; 13/5; 40/17; 11/5; 111/50; ; 40/17; 23/10; ; 9/4; ; 23/10; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-02 02:21:00 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 1; ; ; 5/4; 117/100; 13/10; 6/5; 15/13; ; 13/10; 13/10; ; 5/4; 6/5; 6/5; 6/5; 15/13; 6/5; 34/25; ; 15/13; 13/10; ; 5/4; ; 6/5; ; 
Draw; 23/10; 23/10; ; ; 23/10; 11/5; 23/10; 23/10; 9/4; ; 12/5; 23/10; ; 23/10; 12/5; 12/5; 9/4; 9/4; 9/4; 12/5; ; 9/4; 12/5; ; 47/20; ; 9/4; ; 
AFC Wimbledon; 12/5; 13/5; ; ; 11/5; 11/5; 11/5; 9/4; 40/17; ; 2; 21/10; ; 23/10; 11/5; 9/4; 23/10; 40/17; 11/5; 9/4; ; 40/17; 9/4; ; 21/10; ; 9/4; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-02 10:21:28 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 1; ; 5/4; 5/4; 117/100; 5/4; 6/5; 15/13; ; 5/4; 5/4; ; 5/4; 6/5; 6/5; 6/5; 15/13; 6/5; 133/100; 17/14; 15/13; 13/10; ; 5/4; ; 6/5; ; 
Draw; 23/10; 23/10; ; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; ; 9/4; 23/10; ; 23/10; 12/5; 23/10; 9/4; 9/4; 9/4; 121/50; 9/4; 9/4; 12/5; ; 47/20; ; 9/4; ; 
AFC Wimbledon; 12/5; 13/5; ; 11/5; 11/5; 11/5; 23/10; 9/4; 40/17; ; 9/4; 43/20; ; 23/10; 11/5; 23/10; 23/10; 40/17; 11/5; 57/25; 25/14; 40/17; 9/4; ; 21/10; ; 9/4; ; 
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-02 18:21:44 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 5/4; 5/4; 5/4; 117/100; ; 6/5; 16/13; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 131/100; 17/14; 16/13; 13/10; 5/4; 5/4; ; 6/5; 6/5; 
Oxford; 23/20; 23/20; 6/5; 6/5; 23/20; 117/100; 6/5; 11/10; 16/13; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 6/5; 63/50; 22/19; 16/13; 6/5; 6/5; 23/20; ; 23/20; 10/9; 5/4
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 62/25; 9/4; 40/17; 12/5; 12/5; 47/20; ; 23/10; 9/4; 12/5
AFC Wimbledon; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 28/13; 23/10; 9/4; 9/4; 13/5; 23/10; 23/10; 9/4; 23/10; 9/4; 119/50; 28/15; 28/13; 12/5; 23/10; 23/10; ; 23/10; 9/4; 23/10
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-04 02:21:58 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 23/20; 6/5; 6/5; 23/20; 117/100; 6/5; 11/10; 16/13; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 6/5; 5/4; 22/19; 16/13; 6/5; 6/5; 23/20; ; 23/20; 23/20; 5/4
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 62/25; 9/4; 40/17; 12/5; 12/5; 47/20; ; 23/10; 9/4; 12/5
AFC Wimbledon; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 28/13; 23/10; 9/4; 23/10; 13/5; 23/10; 23/10; 9/4; 23/10; 9/4; 12/5; 28/15; 28/13; 12/5; 23/10; 23/10; ; 23/10; 9/4; 23/10
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-04 10:22:07 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 23/20; 6/5; 6/5; 23/20; 117/100; 6/5; 11/10; 16/13; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 121/100; 22/19; 16/13; 6/5; 6/5; 23/20; ; 23/20; 23/20; 6/5
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 9/4; 40/17; 12/5; 12/5; 47/20; ; 23/10; 9/4; 12/5
AFC Wimbledon; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 28/13; 23/10; 9/4; 23/10; 13/5; 23/10; 23/10; 9/4; 23/10; 23/10; 62/25; 28/15; 28/13; 12/5; 23/10; 23/10; ; 9/4; 9/4; 12/5
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-04 14:22:11 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 23/20; 6/5; 6/5; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 121/100; 22/19; 8/7; 6/5; 6/5; 23/20; ; 6/5; 23/20; 6/5
Draw; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 9/4; 40/17; 12/5; 12/5; 47/20; ; 23/10; 11/5; 12/5
AFC Wimbledon; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 23/10; 13/5; 23/10; 23/10; 9/4; 23/10; 23/10; 62/25; 28/15; 40/17; 12/5; 23/10; 23/10; ; 9/4; 11/5; 12/5
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-04 18:22:12 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 6/5; 5/4; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 121/100; 22/19; 8/7; 6/5; 6/5; 23/20; ; 6/5; 23/20; 6/5
Draw; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 9/4; 40/17; 12/5; 12/5; 47/20; ; 23/10; 11/5; 12/5
AFC Wimbledon; 12/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 23/10; 13/5; 23/10; 23/10; 9/4; 23/10; 23/10; 62/25; 28/15; 40/17; 12/5; 23/10; 23/10; ; 9/4; 19/10; 12/5
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-04 22:21:57 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 6/5; 5/4; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 121/100; 22/19; 8/7; 6/5; 6/5; 23/20; ; 6/5; 23/20; 6/5
Draw; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 9/4; 40/17; 12/5; 12/5; 47/20; ; 23/10; 11/5; 12/5
AFC Wimbledon; 12/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 23/10; 13/5; 23/10; 23/10; 9/4; 23/10; 23/10; 62/25; 28/15; 40/17; 12/5; 23/10; 23/10; ; 23/10; 11/5; 12/5
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-05 02:21:59 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 6/5; 5/4; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 121/100; 22/19; 8/7; 6/5; 6/5; 23/20; ; 6/5; 23/20; 6/5
Draw; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 9/4; 40/17; 12/5; 12/5; 47/20; ; 23/10; 11/5; 12/5
AFC Wimbledon; 12/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 23/10; 13/5; 23/10; 23/10; 9/4; 23/10; 23/10; 62/25; 28/15; 40/17; 12/5; 23/10; 23/10; ; 23/10; 11/5; 12/5
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-05 10:22:14 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 6/5; 5/4; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 11/10; 6/5; 15/13; 121/100; 22/19; 8/7; 6/5; 6/5; 23/20; ; 6/5; 23/20; 6/5
Draw; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 9/4; 12/5; 12/5; 12/5; 47/20; ; 23/10; 11/5; 12/5
AFC Wimbledon; 12/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 23/10; 13/5; 23/10; 23/10; 9/4; 23/10; 23/10; 62/25; 28/15; 40/17; 12/5; 23/10; 23/10; ; 23/10; 19/10; 12/5
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-05 14:22:19 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 6/5; 5/4; 6/5; 117/100; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 6/5; 6/5; 15/13; 123/100; 22/19; 8/7; 6/5; 6/5; 23/20; ; 6/5; 23/20; 6/5
Draw; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 9/4; 12/5; 12/5; 12/5; 47/20; ; 23/10; 11/5; 12/5
AFC Wimbledon; 12/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 9/4; 23/10; 13/5; 23/10; 23/10; 11/5; 23/10; 23/10; 61/25; 28/15; 40/17; 12/5; 23/10; 23/10; ; 9/4; 11/5; 12/5
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-05 18:22:46 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 6/5; 5/4; 5/4; 6/5; 117/100; 5/4; 11/10; 8/7; 5/4; 6/5; 5/4; 1; 6/5; 5/4; 6/5; 6/5; 6/5; 63/50; 6/5; 8/7; 5/4; 5/4; 5/4; ; 6/5; 6/5; 5/4
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 40/17; 51/20; 9/4; 12/5; 12/5; 12/5; 47/20; ; 12/5; 23/10; 5/2
AFC Wimbledon; 12/5; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 23/10; 40/17; 11/5; 11/5; 11/5; 13/5; 23/10; 21/10; 21/10; 23/10; 11/5; 58/25; 25/14; 40/17; 23/10; 11/5; 9/4; ; 21/10; 21/10; 23/10
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-05 22:22:19 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Oxford; 23/20; 5/4; 6/5; 5/4; 6/5; 117/100; 6/5; 11/10; 8/7; 5/4; 6/5; 5/4; 1; 6/5; 6/5; 6/5; 6/5; 15/13; 123/100; 6/5; 8/7; 5/4; 5/4; 5/4; ; 23/20; 23/20; 23/20
AFC Wimbledon; 12/5; 21/10; 11/5; 11/5; 9/4; 11/5; 23/10; 23/10; 40/17; 9/4; 11/5; 9/4; 5/2; 23/10; 11/5; 21/10; 23/10; 23/10; 23/10; 25/14; 40/17; 23/10; 11/5; 9/4; ; 11/5; 21/10; 12/5
Draw; 23/10; 23/10; 23/10; 23/10; 12/5; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 12/5; 66/25; 9/4; 12/5; 12/5; 12/5; 47/20; ; 5/2; 23/10; 5/2
META; english/league-1/oxford-v-afc-wimbledon; 2017-10-06 02:23:43 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
