META; english/league-1/mk-dons-v-blackpool; 2018-03-18 18:21:16 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 8/5; 17/10; 169/00; 8/5; 6/4; 13/8; 17/10; 8/5; 17/11; 17/10; 8/5; 17/11; 6/5; 11/10
Blackpool; 13/8; 3/2; 17/10; 8/5; 6/4; 13/8; 13/8; 8/5; 17/11; 13/8; 8/5; 17/11; 27/20; 6/5
Draw; 12/5; 12/5; 63/25; 23/10; 11/5; 12/5; 11/5; 23/10; 23/10; 23/10; 47/20; 23/10; 19/10; 13/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 02:32:47 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 17/10; 8/5; 163/00; 31/20; 6/4; 7/5; 8/5; 6/4; 31/20; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 7/5; 6/4
Blackpool; 17/10; 3/2; 9/5; 37/20; 15/8; 17/10; 17/10; 9/5; 9/5; 15/8; 7/4; 17/10; 17/10; 9/5; 7/4; 17/10; 7/4; 17/10
Draw; 12/5; 12/5; 21/10; 12/5; 23/10; 9/4; 21/10; 2; 23/10; 21/10; 11/5; 28/13; 11/5; 23/10; 21/10; 11/5; 2; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 10:32:54 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 17/10; 8/5; 13/8; 13/8; 31/20; 6/4; 7/5; 31/21; 31/20; 6/4; 31/20; 6/4; 6/4; 16/11; 6/4; 6/4; 31/21; 31/20; 31/20; 6/4; 7/5; 6/4
Blackpool; 17/10; 3/2; 9/5; 9/5; 46/25; 15/8; 17/10; 17/10; 7/4; 9/5; 9/5; 7/4; 9/5; 17/10; 17/10; 17/10; 17/10; 7/4; 9/5; 7/4; 17/10; 7/4; 17/10
Draw; 12/5; 12/5; 21/10; 21/10; 121/0; 23/10; 9/4; 11/5; 40/17; 21/10; 23/10; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 40/17; 23/10; 21/10; 9/4; 2; 21/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 14:33:00 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 17/10; 8/5; 13/8; 83/50; 8/5; 8/5; 7/5; 31/21; 8/5; 8/5; 13/8; 8/5; 6/4; 8/5; 6/4; 6/4; 6/4; 31/21; 31/20; 31/20; 6/4; 6/4; 13/8
Blackpool; 17/10; 3/2; 7/4; 9/5; 47/25; 9/5; 7/4; 17/10; 7/4; 7/4; 7/4; 15/8; 7/4; 9/5; 17/10; 28/17; 17/10; 17/10; 7/4; 7/4; 7/4; 17/10; 13/8; 9/5
Draw; 12/5; 12/5; 21/10; 21/10; 23/10; 23/10; 11/5; 21/10; 40/17; 21/10; 23/10; 2; 9/4; 23/10; 21/10; 11/5; 23/10; 11/5; 40/17; 12/5; 21/10; 11/5; 2; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-19 18:33:01 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 6/4; 13/8; 8/5; 13/8; 83/50; 8/5; 8/5; 7/5; 17/11; 8/5; 8/5; 13/8; 13/10; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 7/5; 13/8; 13/8
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; 21/10; 2; 11/5; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 2; 11/5; 9/4; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-20 14:33:06 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 179/00; 13/8; 17/10; 8/5; 28/17; 17/10; 17/10; 17/10; 13/10; 17/10; 6/4; 17/10; 6/4; 6/4; 11/7; 28/17; 17/10; 33/20; 6/4; 6/4; 6/4; 17/10; 17/10
Blackpool; 31/20; 13/8; 33/20; 13/8; 7/4; 9/5; 13/8; 17/10; 28/17; 33/20; 13/8; 13/8; 15/8; 17/10; 8/5; 8/5; 28/17; 17/10; 11/7; 28/17; 13/8; 33/20; 17/10; 13/8; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; 21/10; 2; 11/5; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 2; 11/5; 9/4; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-20 18:33:11 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 179/00; 13/8; 17/10; 8/5; 28/17; 17/10; 13/8; 17/10; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 17/10; 33/20; 28/17; 6/4; 6/4; 17/10; 17/10
Blackpool; 31/20; 13/8; 33/20; 13/8; 7/4; 9/5; 13/8; 17/10; 28/17; 17/10; 17/10; 13/8; 15/8; 17/10; 8/5; 8/5; 8/5; 17/10; 11/7; 28/17; 13/8; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 11/5; 23/10; 21/10; 2; 9/4; 28/13; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 21/10; 2; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-20 22:33:09 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 179/00; 13/8; 17/10; 8/5; 28/17; 17/10; 17/10; 17/10; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Blackpool; 31/20; 13/8; 33/20; 13/8; 7/4; 9/5; 13/8; 17/10; 28/17; 17/10; 13/8; 13/8; 15/8; 17/10; 8/5; 8/5; 8/5; 17/10; 11/7; 28/17; 13/8; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; 21/10; 2; 9/4; 28/13; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 21/10; 2; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-21 02:33:16 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 179/00; 17/10; 17/10; 13/8; 28/17; 17/10; 17/10; 7/4; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Blackpool; 31/20; 13/8; 33/20; 13/8; 7/4; 17/10; 13/8; 13/8; 28/17; 17/10; 13/8; 17/10; 15/8; 17/10; 8/5; 8/5; 8/5; 17/10; 11/7; 28/17; 13/8; 33/20; 28/17; 6/4; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10; 2; 23/10; 21/10; 2; 11/5; 28/13; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 21/10; 2; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-21 10:33:18 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 179/00; 17/10; 17/10; 13/8; 28/17; 17/10; 17/10; 17/10; 13/10; 7/4; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 17/10; 17/10
Blackpool; 31/20; 13/8; 33/20; 13/8; 7/4; 17/10; 13/8; 13/8; 28/17; 17/10; 13/8; 13/8; 15/8; 17/10; 8/5; 8/5; 8/5; 17/10; 11/7; 28/17; 13/8; 33/20; 28/17; 13/8; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10; 11/5; 23/10; 21/10; 2; 9/4; 28/13; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 21/10; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-21 14:33:20 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 89/50; 17/10; 13/8; 13/8; 28/17; 17/10; 17/10; 13/8; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 13/8; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Blackpool; 31/20; 13/8; 17/10; 13/8; 44/25; 17/10; 13/8; 13/8; 28/17; 17/10; 13/8; 17/10; 15/8; 17/10; 8/5; 8/5; 8/5; 17/10; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10; 9/4; 23/10; 21/10; 2; 9/4; 28/13; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 21/10; 21/10; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-21 18:33:21 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 89/50; 17/10; 13/8; 13/8; 28/17; 17/10; 17/10; 13/8; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 13/8; 33/20; 17/10; 13/8; 6/4; 17/10; 17/10
Blackpool; 31/20; 13/8; 17/10; 13/8; 44/25; 17/10; 13/8; 13/8; 28/17; 17/10; 13/8; 17/10; 15/8; 17/10; 8/5; 8/5; 28/17; 17/10; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10; 9/4; 23/10; 21/10; 2; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 9/4; 21/10; 21/10; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-21 22:33:20 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 17/10; 17/10; 7/4; 89/50; 17/10; 13/8; 13/8; 28/17; 17/10; 17/10; 13/8; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 13/8; 33/20; 17/10; 13/8; 6/4; 6/4; 17/10
Blackpool; 31/20; 13/8; 17/10; 13/8; 44/25; 17/10; 13/8; 13/8; 28/17; 17/10; 13/8; 17/10; 15/8; 17/10; 8/5; 8/5; 28/17; 17/10; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10; 9/4; 23/10; 21/10; 2; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 9/4; 21/10; 2; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-22 02:33:12 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 13/8; 17/10; 7/4; 89/50; 17/10; 13/8; 13/8; 28/17; 17/10; 13/8; 13/8; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 13/8; 33/20; 17/10; 13/8; 6/4; 6/4; 17/10
Blackpool; 31/20; 17/10; 17/10; 13/8; 44/25; 17/10; 13/8; 13/8; 28/17; 17/10; 17/10; 17/10; 15/8; 17/10; 8/5; 8/5; 28/17; 17/10; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 6/4; 17/10; 17/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10; 9/4; 23/10; 21/10; 2; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 9/4; 21/10; 2; 11/5; 9/4
META; english/league-1/mk-dons-v-blackpool; 2018-03-22 10:33:21 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
MK Dons; 13/8; 13/8; 17/10; 7/4; 89/50; 17/10; 17/10; 13/8; 28/17; 17/10; 17/10; 13/8; 13/10; 17/10; 6/4; 17/10; 28/17; 6/4; 11/7; 28/17; 13/8; 33/20; 17/10; 13/8; 7/5; 9/5; 9/5
Blackpool; 31/20; 17/10; 17/10; 13/8; 17/10; 17/10; 8/5; 13/8; 28/17; 17/10; 13/8; 17/10; 15/8; 17/10; 8/5; 8/5; 8/5; 17/10; 11/7; 28/17; 17/10; 33/20; 28/17; 13/8; 7/5; 13/8; 13/8
Draw; 12/5; 9/4; 21/10; 11/5; 119/0; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10; 9/4; 23/10; 21/10; 2; 9/4; 9/4; 23/10; 23/10; 11/5; 23/10; 21/10; 23/10; 9/4; 15/8; 23/10; 23/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-22 14:33:26 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Blackpool; 29/20; 6/4; 6/4; 6/4; 7/4; 8/5; 6/4; 7/5; 11/8; 31/20; 6/4; 13/8; 8/5; 31/20; 7/5; 6/4; 16/11; 17/11; 17/12; 11/8; 6/4; 6/4; 16/11; 6/4; 11/8; 7/5; 7/5
MK Dons; 7/4; 9/5; 19/10; 9/5; 179/00; 19/10; 9/5; 9/5; 37/19; 19/10; 15/8; 7/4; 6/4; 15/8; 17/10; 15/8; 24/13; 28/17; 19/10; 37/19; 15/8; 19/10; 19/10; 17/10; 17/10; 19/10; 19/10
Draw; 12/5; 9/4; 21/10; 2; 23/10; 12/5; 9/4; 11/5; 9/4; 21/10; 23/10; 21/10; 23/10; 21/10; 2; 9/4; 9/4; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 21/10; 21/10; 23/10; 12/5
META; english/league-1/mk-dons-v-blackpool; 2018-03-22 18:33:27 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 29/20; 6/4; 6/4; 6/4; 77/50; 13/8; 6/4; 6/4; 11/8; 31/20; 6/4; 13/8; 6/4; 31/20; 7/5; 6/4; 16/11; 17/11; 17/12; 11/8; 6/4; 6/4; 16/11; 6/4; 11/8; 7/5; 8/5
MK Dons; 7/4; 9/5; 19/10; 9/5; 193/00; 19/10; 9/5; 9/5; 37/19; 19/10; 15/8; 7/4; 31/20; 15/8; 17/10; 15/8; 24/13; 28/17; 19/10; 37/19; 15/8; 19/10; 19/10; 9/5; 17/10; 19/10; 19/10
Draw; 12/5; 9/4; 21/10; 2; 61/25; 23/10; 9/4; 11/5; 9/4; 21/10; 23/10; 21/10; 23/10; 21/10; 2; 9/4; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 11/5; 21/10; 23/10; 23/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-22 22:33:24 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 29/20; 6/4; 31/20; 6/4; 77/50; 13/8; 6/4; 6/4; 11/8; 8/5; 6/4; 31/20; 6/4; 8/5; 7/5; 6/4; 6/4; 17/11; 53/35; 11/8; 31/20; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4
MK Dons; 7/4; 9/5; 9/5; 9/5; 19/10; 19/10; 9/5; 9/5; 37/19; 15/8; 9/5; 9/5; 31/20; 9/5; 17/10; 9/5; 9/5; 28/17; 7/4; 37/19; 7/4; 37/20; 9/5; 9/5; 9/5; 15/8; 15/8
Draw; 12/5; 9/4; 21/10; 2; 62/25; 23/10; 9/4; 11/5; 9/4; 21/10; 23/10; 11/5; 23/10; 43/20; 2; 9/4; 23/10; 23/10; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5
META; english/league-1/mk-dons-v-blackpool; 2018-03-23 02:33:17 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 13/8; 6/4; 8/5; 6/4; 167/00; 17/10; 8/5; 8/5; 8/5; 13/8; 8/5; 31/20; 6/4; 13/8; 7/5; 6/4; 17/11; 17/11; 53/35; 8/5; 8/5; 6/4; 17/11; 6/4; 6/4; 13/8; 8/5
MK Dons; 15/8; 9/5; 9/5; 9/5; 44/25; 9/5; 17/10; 17/10; 17/10; 9/5; 17/10; 9/5; 31/20; 9/5; 17/10; 9/5; 17/10; 28/17; 7/4; 17/10; 7/4; 37/20; 7/4; 9/5; 17/10; 7/4; 9/5
Draw; 12/5; 9/4; 21/10; 2; 123/0; 12/5; 9/4; 9/4; 9/4; 21/10; 23/10; 11/5; 23/10; 43/20; 2; 11/5; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-23 10:33:24 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 13/8; 6/4; 8/5; 6/4; 167/00; 17/10; 8/5; 8/5; 8/5; 13/8; 8/5; 13/8; 6/4; 8/5; 7/5; 6/4; 17/11; 17/11; 53/35; 8/5; 8/5; 6/4; 8/5; 6/4; 13/8; 13/8; 8/5
MK Dons; 15/8; 9/5; 9/5; 9/5; 7/4; 9/5; 17/10; 17/10; 17/10; 9/5; 17/10; 17/10; 31/20; 9/5; 17/10; 7/4; 17/10; 28/17; 7/4; 17/10; 7/4; 37/20; 17/10; 9/5; 17/10; 7/4; 9/5
Draw; 12/5; 9/4; 21/10; 2; 62/25; 12/5; 9/4; 9/4; 9/4; 21/10; 23/10; 9/4; 23/10; 43/20; 2; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10
META; english/league-1/mk-dons-v-blackpool; 2018-03-23 14:33:24 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 13/8; 6/4; 8/5; 13/8; 167/00; 17/10; 8/5; 8/5; 8/5; 13/8; 8/5; 13/8; 6/4; 8/5; 7/5; 6/4; 17/11; 17/11; 53/35; 8/5; 13/8; 6/4; 8/5; 8/5; 13/8; 13/8; 13/8
MK Dons; 15/8; 9/5; 9/5; 7/4; 7/4; 9/5; 17/10; 17/10; 17/10; 9/5; 7/4; 17/10; 31/20; 9/5; 17/10; 7/4; 17/10; 28/17; 7/4; 17/10; 9/5; 37/20; 17/10; 17/10; 7/4; 17/10; 7/4
Draw; 12/5; 9/4; 21/10; 11/5; 62/25; 12/5; 9/4; 9/4; 9/4; 21/10; 23/10; 9/4; 23/10; 43/20; 2; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5
META; english/league-1/mk-dons-v-blackpool; 2018-03-23 18:33:29 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 13/8; 6/4; 8/5; 13/8; 8/5; 17/10; 8/5; 8/5; 8/5; 8/5; 13/8; 6/4; 8/5; 7/5; 6/4; 6/4; 17/11; 53/35; 8/5; 13/8; 6/4; 17/11; 8/5; 13/8; 6/4; 13/8; 
MK Dons; 15/8; 9/5; 9/5; 7/4; 183/00; 9/5; 7/4; 17/10; 17/10; 9/5; 7/4; 17/10; 31/20; 9/5; 17/10; 7/4; 7/4; 28/17; 7/4; 17/10; 9/5; 37/20; 7/4; 7/4; 9/5; 7/4; 9/5
Draw; 12/5; 9/4; 21/10; 11/5; 62/25; 12/5; 23/10; 9/4; 9/4; 21/10; 9/4; 23/10; 43/20; 2; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-23 22:33:22 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 13/8; 8/5; 8/5; 13/8; 8/5; 17/10; 8/5; 8/5; 8/5; 8/5; 13/8; 6/4; 8/5; 7/5; 6/4; 6/4; 17/11; 53/35; 8/5; 13/8; 6/4; 17/11; 13/8; 13/8; 8/5; 13/8; 
MK Dons; 15/8; 7/4; 9/5; 7/4; 183/00; 9/5; 7/4; 17/10; 17/10; 9/5; 7/4; 17/10; 31/20; 9/5; 17/10; 7/4; 7/4; 8/5; 7/4; 17/10; 7/4; 37/20; 7/4; 7/4; 9/5; 7/4; 9/5
Draw; 12/5; 9/4; 21/10; 11/5; 62/25; 12/5; 23/10; 9/4; 9/4; 21/10; 9/4; 23/10; 43/20; 2; 9/4; 23/10; 12/5; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 
META; english/league-1/mk-dons-v-blackpool; 2018-03-24 02:33:13 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
d; 13/8; 8/5; 8/5; 13/8; 79/50; 17/10; 6/4; 8/5; 8/5; 8/5; 13/8; 6/4; 8/5; 7/5; 6/4; 6/4; 17/11; 53/35; 8/5; 13/8; 6/4; 17/11; 8/5; 8/5; 6/4; 13/8
