META; english/league-1/rochdale-v-rotherham; 2017-10-01 02:21:52 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Rotherham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 10:21:50 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Rotherham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 14:21:59 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 6/4; ; 6/4; 7/5; 6/4; ; ; ; ; 6/4; ; 6/4; ; ; 16/11; 31/20; ; 6/4; ; ; 6/4; ; 5/4; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; ; 7/4; 13/8; 28/17; ; ; ; ; 7/4; ; 7/4; ; ; 28/17; 15/8; ; 28/17; ; ; 33/20; ; 6/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 13/5; 27/11; ; ; ; ; 11/4; ; 12/5; ; ; 40/17; 5/2; ; 27/11; ; ; 12/5; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 18:21:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 6/4; 29/20; 6/4; 7/5; 6/4; ; 6/4; ; ; 6/4; 7/5; 6/4; 6/4; ; 16/11; 31/20; ; 6/4; ; ; 6/4; ; 23/20; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; 33/20; 9/5; 17/10; 28/17; ; 7/4; ; ; 9/5; 9/5; 7/4; 17/10; ; 28/17; 15/8; ; 28/17; ; ; 33/20; ; 5/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; 9/4; 12/5; 12/5; 27/11; ; 12/5; ; ; 13/5; 5/2; 12/5; 23/10; ; 12/5; 5/2; ; 27/11; ; ; 12/5; ; 21/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-01 22:21:12 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 6/4; 29/20; 8/5; 6/4; 6/4; ; 8/5; 31/20; ; 8/5; 6/4; 6/4; 6/4; ; 6/4; 31/20; ; 6/4; 8/5; ; 31/20; ; 6/4; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; 33/20; 17/10; 13/8; 28/17; ; 17/10; 33/20; ; 9/5; 17/10; 7/4; 17/10; ; 17/10; 15/8; ; 28/17; 7/4; ; 33/20; ; 13/8; ; 
Draw; 12/5; 23/10; ; ; 12/5; 9/4; 12/5; 12/5; 27/11; ; 23/10; 12/5; ; 13/5; 12/5; 12/5; 23/10; ; 9/4; 5/2; ; 27/11; 12/5; ; 23/10; ; 11/5; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-02 02:21:05 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; ; 8/5; 29/20; 8/5; 6/4; 6/4; ; 8/5; 31/20; ; 8/5; 6/4; 6/4; 6/4; ; 6/4; 31/20; ; 6/4; 8/5; ; 31/20; ; 6/4; ; 
Rotherham; 17/10; 9/5; ; ; 17/10; 33/20; 17/10; 13/8; 28/17; ; 17/10; 33/20; ; 9/5; 17/10; 7/4; 17/10; ; 17/10; 15/8; ; 28/17; 7/4; ; 33/20; ; 13/8; ; 
Draw; 12/5; 23/10; ; ; 23/10; 9/4; 12/5; 12/5; 27/11; ; 23/10; 12/5; ; 13/5; 12/5; 23/10; 23/10; ; 9/4; 5/2; ; 27/11; 12/5; ; 23/10; ; 11/5; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-02 10:21:33 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 7/5; ; 8/5; 6/4; 29/20; 6/4; 6/4; 6/4; ; 6/4; 6/4; ; 8/5; 6/4; 6/4; 6/4; ; 6/4; 161/100; 23/17; 6/4; 8/5; ; 31/20; ; 6/4; ; 
Rotherham; 17/10; 9/5; ; 13/8; 17/10; 33/20; 7/4; 13/8; 28/17; ; 17/10; 7/4; ; 9/5; 17/10; 7/4; 17/10; ; 17/10; 15/8; 8/5; 28/17; 7/4; ; 33/20; ; 17/10; ; 
Draw; 12/5; 23/10; ; 12/5; 5/2; 9/4; 5/2; 12/5; 27/11; ; 5/2; 12/5; ; 13/5; 12/5; 12/5; 23/10; ; 9/4; 12/5; 9/4; 27/11; 12/5; ; 23/10; ; 23/10; ; 
META; english/league-1/rochdale-v-rotherham; 2017-10-02 18:21:49 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 17/11; 8/5; 6/4; 29/20; ; 6/4; 17/11; 31/20; 31/20; 31/20; 6/4; 8/5; 6/4; 6/4; 6/4; 17/11; 33/20; 23/17; 17/11; 8/5; 31/20; 31/20; ; 6/4; 6/4; 
Rochdale; 6/4; 6/4; 17/11; 8/5; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 8/5; 31/20; 29/20; 13/8; 6/4; 6/4; 6/4; 17/11; 163/100; 11/8; 17/11; 8/5; 31/20; 31/20; ; 8/5; 6/4; 13/8
Rotherham; 17/10; 17/10; 28/17; 13/8; 17/10; 33/20; 17/10; 13/8; 8/5; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 8/5; 17/10; 17/10; 177/100; 13/9; 8/5; 7/4; 17/10; 33/20; ; 13/8; 13/8; 7/4
Draw; 12/5; 5/2; 23/10; 12/5; 12/5; 9/4; 23/10; 12/5; 27/11; 12/5; 23/10; 47/20; 23/10; 5/2; 12/5; 23/10; 23/10; 40/17; 63/25; 27/11; 27/11; 12/5; 5/2; 23/10; ; 23/10; 11/5; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-04 02:22:03 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 17/11; 8/5; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 8/5; 31/20; 29/20; 13/8; 6/4; 6/4; 6/4; 17/11; 163/100; 11/8; 17/11; 8/5; 31/20; 31/20; ; 6/4; 6/4; 13/8
Rotherham; 17/10; 17/10; 28/17; 13/8; 17/10; 33/20; 17/10; 13/8; 8/5; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 8/5; 17/10; 17/10; 177/100; 13/9; 8/5; 7/4; 17/10; 33/20; ; 13/8; 13/8; 7/4
Draw; 12/5; 5/2; 23/10; 12/5; 12/5; 9/4; 23/10; 12/5; 27/11; 12/5; 23/10; 47/20; 23/10; 5/2; 12/5; 23/10; 23/10; 40/17; 63/25; 27/11; 27/11; 12/5; 5/2; 23/10; ; 23/10; 11/5; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-04 10:22:12 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 17/11; 8/5; 6/4; 29/20; 8/5; 6/4; 17/11; 31/20; 8/5; 31/20; 29/20; 13/8; 6/4; 6/4; 6/4; 17/11; 163/100; 11/8; 17/11; 8/5; 31/20; 31/20; ; 6/4; 6/4; 13/8
Rotherham; 17/10; 17/10; 28/17; 13/8; 17/10; 33/20; 17/10; 13/8; 8/5; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 8/5; 17/10; 17/10; 177/100; 13/9; 8/5; 7/4; 17/10; 33/20; ; 13/8; 13/8; 7/4
Draw; 12/5; 5/2; 23/10; 12/5; 12/5; 9/4; 23/10; 12/5; 27/11; 12/5; 23/10; 47/20; 23/10; 5/2; 12/5; 23/10; 23/10; 40/17; 63/25; 27/11; 27/11; 12/5; 5/2; 23/10; ; 23/10; 11/5; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-04 14:22:16 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; 6/4; 17/11; 6/4; 31/20; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 6/4; 77/50; 23/17; 17/11; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Rotherham; 17/10; 17/10; 17/10; 13/8; 17/10; 33/20; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 17/10; 37/20; 16/11; 8/5; 9/5; 7/4; 33/20; ; 17/10; 7/4; 9/5
Draw; 12/5; 5/2; 12/5; 12/5; 5/2; 9/4; 12/5; 12/5; 27/11; 12/5; 11/5; 12/5; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 64/25; 27/11; 27/11; 12/5; 5/2; 12/5; ; 23/10; 11/5; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-04 18:22:17 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 17/11; 6/4; 31/20; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 16/11; 77/50; 23/17; 17/11; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Rotherham; 17/10; 17/10; 17/10; 9/5; 7/4; 33/20; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 17/10; 37/20; 16/11; 8/5; 9/5; 7/4; 33/20; ; 17/10; 13/8; 9/5
Draw; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 11/5; 12/5; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 64/25; 27/11; 27/11; 12/5; 5/2; 12/5; ; 23/10; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-04 22:22:02 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 17/11; 6/4; 31/20; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 6/4; 77/50; 23/17; 17/11; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Rotherham; 17/10; 17/10; 17/10; 9/5; 7/4; 33/20; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 7/4; 37/20; 16/11; 8/5; 9/5; 7/4; 33/20; ; 17/10; 7/4; 9/5
Draw; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 11/5; 12/5; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 64/25; 27/11; 27/11; 12/5; 5/2; 12/5; ; 23/10; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-05 02:22:04 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 17/11; 6/4; 31/20; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 6/4; 77/50; 23/17; 17/11; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Rotherham; 17/10; 17/10; 17/10; 9/5; 7/4; 33/20; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 7/4; 37/20; 16/11; 8/5; 9/5; 7/4; 33/20; ; 17/10; 17/10; 9/5
Draw; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 11/5; 12/5; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 64/25; 27/11; 27/11; 12/5; 5/2; 12/5; ; 23/10; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-05 10:22:19 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 31/21; 6/4; 31/20; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 16/11; 77/50; 23/17; 31/21; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Rotherham; 17/10; 17/10; 17/10; 9/5; 7/4; 33/20; 7/4; 17/10; 17/10; 17/10; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 7/4; 37/20; 16/11; 17/10; 9/5; 7/4; 33/20; ; 17/10; 17/10; 9/5
Draw; 12/5; 5/2; 12/5; 23/10; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 11/5; 12/5; 23/10; 5/2; 12/5; 23/10; 23/10; 40/17; 64/25; 27/11; 27/11; 12/5; 5/2; 12/5; ; 23/10; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-05 14:22:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 31/21; 6/4; 31/20; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 16/11; 77/50; 23/17; 31/21; 6/4; 6/4; 6/4; ; 7/5; 7/5; 6/4
Rotherham; 17/10; 17/10; 17/10; 9/5; 17/10; 33/20; 7/4; 17/10; 17/10; 17/10; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 7/4; 37/20; 16/11; 17/10; 9/5; 7/4; 33/20; ; 7/4; 7/4; 9/5
Draw; 12/5; 5/2; 12/5; 23/10; 5/2; 9/4; 12/5; 12/5; 27/11; 12/5; 11/5; 12/5; 23/10; 5/2; 12/5; 23/10; 23/10; 40/17; 64/25; 27/11; 27/11; 12/5; 5/2; 12/5; ; 23/10; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-05 18:22:51 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 13/8; 6/4; 28/17; 13/8; 8/5; 29/20; 13/8; 6/4; 31/21; 33/20; 13/8; 33/20; 29/20; 13/8; 13/8; 6/4; 6/4; 28/17; 43/25; 16/11; 31/21; 13/8; 17/10; 33/20; ; 13/8; 13/8; 17/10
Rotherham; 31/20; 17/10; 17/11; 8/5; 8/5; 33/20; 13/8; 13/8; 17/10; 31/20; 31/20; 31/20; 7/4; 17/10; 8/5; 6/4; 17/10; 17/11; 41/25; 26/19; 17/10; 13/8; 31/20; 31/20; ; 6/4; 6/4; 13/8
Draw; 12/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 129/50; 27/11; 27/11; 12/5; 5/2; 51/20; ; 23/10; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-05 22:22:24 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 13/8; 17/10; 13/8; 13/8; 13/8; 29/20; 13/8; 6/4; 28/17; 33/20; 13/8; 33/20; 29/20; 13/8; 13/8; 8/5; 6/4; 28/17; 87/50; 16/11; 28/17; 13/8; 17/10; 33/20; ; 13/8; 13/8; 17/10
Rotherham; 31/20; 6/4; 17/11; 8/5; 8/5; 33/20; 8/5; 13/8; 6/4; 31/20; 31/20; 31/20; 7/4; 17/10; 8/5; 6/4; 17/10; 17/11; 161/100; 26/19; 6/4; 13/8; 31/20; 31/20; ; 6/4; 6/4; 13/8
Draw; 12/5; 5/2; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 13/5; 27/11; 27/11; 12/5; 5/2; 51/20; ; 23/10; 9/4; 5/2
META; english/league-1/rochdale-v-rotherham; 2017-10-06 02:23:49 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Rochdale; 13/8; 17/10; 13/8; 13/8; 8/5; 6/4; 13/8; 6/4; 28/17; 33/20; 13/8; 33/20; 29/20; 13/8; 13/8; 8/5; 17/11; 28/17; 87/50; 16/11; 28/17; 13/8; 17/10; 33/20; ; 13/8; 13/8; 17/10
