META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-18 18:21:26 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 10/11; 5/6; 20/21; 20/23; 4/5; 9/10; 10/11; 10/11; 13/15; 20/23; 9/10; 13/15; 4/7; 4/7
Draw; 5/2; 5/2; 66/25; 12/5; 5/2; 11/5; 12/5; 12/5; 5/2; 49/20; 12/5; 2; 7/5; 
AFC Wimbledon; 3; 10/3; 16/5; 3; 16/5; 16/5; 7/2; 3; 56/19; 17/5; 3; 56/19; 27/10; 6/5
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 02:32:57 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 4/5; 5/6; 5/6; 43/50; 4/5; 4/5; 8/11; 5/6; 4/5; 5/6; 4/5; 4/5; 5/6; 5/6; 5/6; 4/5; 8/11; 8/11
Draw; 13/5; 5/2; 23/10; 133/0; 13/5; 5/2; 12/5; 9/4; 13/5; 23/10; 12/5; 12/5; 12/5; 5/2; 47/20; 27/11; 23/10; 12/5
AFC Wimbledon; 10/3; 10/3; 18/5; 73/20; 18/5; 10/3; 10/3; 18/5; 7/2; 7/2; 7/2; 16/5; 41/13; 7/2; 7/2; 13/4; 3; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 10:33:03 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 4/5; 5/6; 5/6; 17/20; 17/20; 4/5; 8/11; 4/5; 5/6; 4/5; 20/23; 5/6; 4/5; 4/5; 4/5; 5/6; 4/5; 5/6; 5/6; 4/5; 4/5; 4/5
Draw; 13/5; 5/2; 9/4; 67/25; 5/2; 5/2; 23/10; 28/11; 11/5; 13/5; 9/4; 12/5; 12/5; 12/5; 5/2; 40/17; 28/11; 5/2; 23/10; 12/5; 12/5; 5/2
AFC Wimbledon; 10/3; 10/3; 15/4; 37/10; 18/5; 10/3; 10/3; 7/2; 18/5; 7/2; 7/2; 7/2; 7/2; 33/10; 10/3; 16/5; 7/2; 18/5; 7/2; 33/10; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 14:33:10 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 4/5; 3/4; 3/4; 8/11; 4/5; 4/5; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 8/11; 8/11
Draw; 13/5; 5/2; 23/10; 51/20; 5/2; 12/5; 23/10; 28/11; 9/4; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 28/11; 5/2; 47/20; 12/5; 9/4; 5/2
AFC Wimbledon; 15/4; 10/3; 4; 43/10; 4; 15/4; 7/2; 7/2; 4; 15/4; 7/2; 15/4; 15/4; 33/10; 10/3; 57/17; 7/2; 19/5; 4; 33/10; 7/2; 22/5; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 18:33:11 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 4/5; 7/10; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 14/19; 4/5; 3/4; 4/5; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 9/4; 5/2; 12/5; 5/2; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 9/4; 9/4; 12/5; 5/2
AFC Wimbledon; 15/4; 19/5; 4; 43/10; 4; 7/2; 41/10; 4; 15/4; 4; 15/4; 15/4; 33/10; 10/3; 57/17; 41/10; 19/5; 4; 33/10; 7/2; 7/2; 21/5; 22/5; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-19 22:33:12 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 7/10; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 14/19; 4/5; 3/4; 4/5; 8/11; 8/11; 8/11; 8/11
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-20 22:33:18 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 17/20; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 4/5; 8/11; 4/5; 14/19; 4/5; 4/5; 14/19; 4/5; 3/4; 14/19; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 23/10; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 40/17; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 23/10; 23/10; 12/5; 12/5
AFC Wimbledon; 15/4; 19/5; 4; 18/5; 43/10; 4; 7/2; 41/10; 4; 4; 4; 100/0; 15/4; 39/10; 10/3; 57/17; 41/10; 19/5; 4; 75/19; 4; 7/2; 21/5; 21/5; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-21 02:33:26 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 17/20; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 4/5; 8/11; 4/5; 14/19; 4/5; 4/5; 14/19; 4/5; 3/4; 14/19; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 23/10; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 40/17; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 23/10; 23/10; 12/5; 23/10
AFC Wimbledon; 15/4; 19/5; 4; 18/5; 43/10; 4; 7/2; 41/10; 4; 4; 4; 100/0; 15/4; 39/10; 10/3; 57/17; 41/10; 19/5; 4; 75/19; 4; 7/2; 21/5; 21/5; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-21 10:33:28 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 5/6; 4/5; 17/20; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 5/6; 8/11; 4/5; 14/19; 4/5; 4/5; 14/19; 4/5; 14/19; 8/11; 8/11
Draw; 13/5; 23/10; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 40/17; 5/2; 12/5; 27/11; 5/2; 12/5; 23/10; 12/5
AFC Wimbledon; 15/4; 19/5; 4; 18/5; 43/10; 4; 7/2; 41/10; 4; 4; 19/5; 100/0; 15/4; 39/10; 10/3; 57/17; 41/10; 19/5; 75/19; 4; 21/5; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-21 14:33:30 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 4/5; 4/5; 5/6; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 5/6; 8/11; 4/5; 14/19; 4/5; 4/5; 14/19; 4/5; 3/4; 14/19; 4/6; 8/11; 8/11; 8/11
Draw; 13/5; 12/5; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 40/17; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 23/10; 9/4; 12/5; 12/5
AFC Wimbledon; 15/4; 19/5; 4; 18/5; 43/10; 4; 7/2; 41/10; 4; 4; 19/5; 100/0; 4; 39/10; 10/3; 57/17; 41/10; 19/5; 4; 75/19; 4; 7/2; 21/5; 21/5; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-21 18:33:32 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 5/6; 8/11; 4/5; 10/13; 4/5; 4/5; 14/19; 4/5; 3/4; 10/13; 4/6; 8/11; 8/11; 8/11
Draw; 13/5; 12/5; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 12/5; 5/2; 12/5; 27/11; 5/2; 47/20; 27/11; 23/10; 9/4; 12/5; 12/5
AFC Wimbledon; 15/4; 19/5; 4; 19/5; 43/10; 4; 7/2; 41/10; 4; 4; 19/5; 100/0; 4; 10/3; 57/17; 41/10; 19/5; 4; 77/19; 4; 7/2; 21/5; 21/5; ; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-21 22:33:30 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 3/4; 7/10; 5/6; 8/11; 4/5; 10/13; 4/5; 4/5; 14/19; 4/5; 3/4; 10/13; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 12/5; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 12/5; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 23/10; 9/4; 12/5; 12/5
AFC Wimbledon; 15/4; 19/5; 4; 19/5; 43/10; 4; 7/2; 41/10; 4; 4; 19/5; 100/0; 4; 10/3; 57/17; 41/10; 19/5; 4; 4; 7/2; 21/5; 21/5; ; ; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-22 02:33:22 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 4/5; 4/5; 4/5; 4/5; 3/4; 3/4; 8/11; 14/19; 4/5; 4/5; 3/4; 7/10; 5/6; 8/11; 4/5; 10/13; 4/5; 4/5; 14/19; 4/5; 3/4; 10/13; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 12/5; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 12/5; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 23/10; 9/4; 12/5; 12/5
AFC Wimbledon; 15/4; 19/5; 4; 19/5; 43/10; 4; 7/2; 41/10; 4; 19/5; 4; 19/5; 100/0; 4; 75/19; 10/3; 57/17; 41/10; 19/5; 4; 7/2; 7/2; 21/5; 7/2; ; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-22 10:33:31 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 4/5; 4/5; 4/5; 4/5; 5/6; 3/4; 8/11; 14/19; 4/5; 4/5; 3/4; 7/10; 5/6; 8/11; 4/5; 10/13; 4/5; 4/5; 14/19; 4/5; 3/4; 10/13; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 12/5; 23/10; 23/10; 51/20; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5; 12/5; 27/11; 5/2; 12/5; 27/11; 5/2; 47/20; 27/11; 23/10; 23/10; 12/5; 12/5
AFC Wimbledon; 15/4; 19/5; 4; 19/5; 43/10; 4; 4; 41/10; 4; 19/5; 4; 19/5; 100/0; 4; 15/4; 10/3; 57/17; 41/10; 19/5; 4; 19/5; 7/2; 10/3; 21/5; 4; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-22 14:33:36 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 3/4; 4/5; 4/5; 4/5; 87/00; 5/6; 4/5; 8/11; 11/14; 4/5; 4/5; 5/6; 7/10; 5/6; 8/11; 4/5; 4/5; 4/5; 5/6; 11/14; 4/5; 5/6; 10/13; 4/5; 8/11; 8/11; 5/6
Draw; 13/5; 12/5; 23/10; 23/10; 12/5; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 5/2; 9/4; 11/5; 12/5; 40/17; 5/2; 12/5; 40/17; 5/2; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10
AFC Wimbledon; 15/4; 19/5; 4; 19/5; 41/10; 4; 15/4; 4; 19/5; 4; 19/5; 15/4; 4; 100/0; 15/4; 19/5; 17/5; 33/10; 19/5; 19/5; 4; 7/2; 10/3; 21/5; 4; ; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-22 18:33:37 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 17/20; 17/20; 20/23; 4/5; 10/11; 10/11; 5/6; 5/6; 11/14; 10/11; 9/10; 20/23; 7/10; 10/11; 5/6; 17/20; 13/15; 4/5; 7/8; 11/14; 20/23; 17/20; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 5/2; 12/5; 11/5; 23/10; 119/0; 5/2; 23/10; 23/10; 40/17; 11/5; 12/5; 9/4; 5/2; 11/5; 21/10; 23/10; 23/10; 5/2; 40/17; 40/17; 5/2; 23/10; 23/10; 12/5; 9/4; 23/10; 5/2
AFC Wimbledon; 16/5; 18/5; 7/2; 19/5; 77/20; 15/4; 7/2; 7/2; 19/5; 18/5; 10/3; 7/2; 4; 7/2; 3; 7/2; 39/11; 17/5; 16/5; 19/5; 17/5; 15/4; 39/11; 7/2; 7/2; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-22 22:33:34 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 17/20; 17/20; 10/11; 17/20; 99/00; 10/11; 9/10; 5/6; 15/16; 19/20; 10/11; 20/21; 3/4; 10/11; 17/20; 10/11; 10/11; 4/5; 7/8; 15/16; 9/10; 10/11; 10/11; 10/11; 10/11; 20/21; 20/21
Draw; 5/2; 12/5; 21/10; 11/5; 119/0; 5/2; 23/10; 23/10; 9/4; 11/5; 12/5; 9/4; 5/2; 43/20; 2; 23/10; 23/10; 5/2; 40/17; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5
AFC Wimbledon; 16/5; 18/5; 10/3; 16/5; 17/5; 15/4; 16/5; 7/2; 16/5; 17/5; 16/5; 16/5; 7/2; 17/5; 3; 10/3; 16/5; 17/5; 16/5; 16/5; 10/3; 15/4; 16/5; 3; 10/3; 10/3; 10/3
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-23 02:33:27 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 19/20; 17/20; 10/11; 17/20; 93/00; 10/11; 20/23; 5/6; 15/16; 10/11; 9/10; 10/11; 3/4; 9/10; 5/6; 10/11; 13/15; 4/5; 7/8; 15/16; 20/23; 10/11; 10/11; 10/11; 10/11; 9/10; 20/21
Draw; 12/5; 12/5; 11/5; 11/5; 49/20; 5/2; 23/10; 23/10; 9/4; 11/5; 12/5; 11/5; 5/2; 11/5; 21/10; 23/10; 40/17; 5/2; 40/17; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5
AFC Wimbledon; 7/2; 18/5; 7/2; 16/5; 18/5; 15/4; 10/3; 7/2; 16/5; 7/2; 10/3; 7/2; 7/2; 7/2; 3; 10/3; 33/10; 17/5; 16/5; 16/5; 7/2; 7/2; 16/5; 7/2; 7/2; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-23 10:33:34 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 19/20; 17/20; 10/11; 17/20; 93/00; 10/11; 20/23; 5/6; 15/16; 10/11; 9/10; 10/11; 3/4; 9/10; 5/6; 10/11; 13/15; 4/5; 7/8; 15/16; 20/23; 10/11; 10/11; 10/11; 9/10; 9/10; 10/11
Draw; 12/5; 12/5; 11/5; 11/5; 49/20; 5/2; 23/10; 23/10; 9/4; 11/5; 12/5; 11/5; 5/2; 11/5; 21/10; 23/10; 23/10; 5/2; 40/17; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 
AFC Wimbledon; 7/2; 18/5; 7/2; 16/5; 18/5; 15/4; 10/3; 7/2; 16/5; 7/2; 10/3; 7/2; 7/2; 7/2; 3; 10/3; 57/17; 17/5; 16/5; 16/5; 7/2; 7/2; 57/17; 7/2; 10/3; 10/3; 
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-23 14:33:35 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 19/20; 17/20; 10/11; 10/11; 93/00; 10/11; 20/23; 5/6; 15/16; 10/11; 9/10; 10/11; 3/4; 9/10; 5/6; 10/11; 13/15; 4/5; 10/11; 15/16; 9/10; 10/11; 10/11; 10/11; 10/11; 20/21; 10/11
Draw; 12/5; 12/5; 11/5; 11/5; 49/20; 12/5; 9/4; 9/4; 9/4; 11/5; 23/10; 11/5; 5/2; 11/5; 21/10; 9/4; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 23/10; 23/10; 12/5; 12/5; 
AFC Wimbledon; 7/2; 18/5; 7/2; 7/2; 18/5; 15/4; 10/3; 7/2; 16/5; 7/2; 7/2; 7/2; 7/2; 18/5; 3; 7/2; 57/17; 17/5; 31/10; 16/5; 18/5; 7/2; 17/5; 7/2; 10/3; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-23 18:33:40 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 19/20; 17/20; 10/11; 10/11; 93/00; 10/11; 9/10; 5/6; 15/16; 10/11; 9/10; 10/11; 3/4; 9/10; 5/6; 10/11; 13/15; 4/5; 10/11; 15/16; 20/23; 10/11; 10/11; 9/10; 10/11; 20/21; 10/11
Draw; 12/5; 12/5; 11/5; 11/5; 49/20; 12/5; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 5/2; 11/5; 21/10; 9/4; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 23/10; 23/10; 12/5; 12/5; 
AFC Wimbledon; 7/2; 18/5; 7/2; 7/2; 18/5; 15/4; 10/3; 7/2; 16/5; 7/2; 7/2; 7/2; 7/2; 18/5; 3; 7/2; 17/5; 17/5; 31/10; 16/5; 15/4; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2
META; english/league-1/shrewsbury-v-afc-wimbledon; 2018-03-23 22:33:32 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Shrewsbury; 19/20; 17/20; 10/11; 10/11; 93/00; 10/11; 9/10; 5/6; 15/16; 10/11; 9/10; 10/11; 3/4; 9/10; 5/6; 10/11; 13/15; 4/5; 10/11; 15/16; 9/10; 10/11; 10/11; 9/10; 10/11; 9/10; 10/11
