META; english/premier-league/everton-v-stoke; 2017-06-15 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 4/6; 13/18; ; 4/9; ; 
META; english/premier-league/everton-v-stoke; 2017-06-16 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 2; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/20; ; 
META; english/premier-league/everton-v-stoke; 2017-06-16 18:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; ; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; ; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 2; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; ; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/20; ; 
META; english/premier-league/everton-v-stoke; 2017-06-16 22:15:12 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 2; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-17 02:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-17 10:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-17 14:15:12 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-17 18:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-17 22:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-18 02:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-18 10:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-18 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 13/5; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 21/5; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 15/4; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-18 18:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 8/11; 8/11; 8/11; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 7/10; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 5/2; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 7/2; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-18 22:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 8/11; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 5/2; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-19 02:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 8/11; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 5/2; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-19 10:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 8/11; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 5/2; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-19 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-19 18:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-19 22:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-20 02:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-20 10:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 9/13; 4/6; 4/6; 9/13; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-20 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 11/18; 4/6; 4/6; 11/18; 19/25; 3/4; 13/18; ; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 12/5; 27/10; 11/4; 12/5; 73/25; 14/5; 11/4; ; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 57/17; 4; 7/2; 57/17; 21/5; 39/11; 37/10; ; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-20 18:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-20 22:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-21 02:15:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
Stoke; 9/2; 19/5; 19/5; 7/2; 7/2; 9/2; 9/2; 4; ; 9/2; 4; 15/4; 15/4; 4; 15/4; 4; 50/13; 4; 7/2; 50/13; 21/5; 39/11; 37/10; 7/2; 15/4; ; 1/25; ; 
META; english/premier-league/everton-v-stoke; 2017-06-21 10:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 7/10; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 3/4; 13/18; 3/4; 13/18; ; 1/14; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 11/4; 11/4; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 14/5; 11/4; 11/4; 11/4; ; 11/5; ; 
