META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 18:18:35 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 22:18:41 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 02:19:14 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 06:19:52 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 10:18:08 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 14:19:05 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; 1/9; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; 79/10; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 18; ; ; ; ; ; ; ; ; 18; 15; 18; ; 15; 22; 14; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 18:20:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; ; ; ; ; 2/15; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-14 18:18:27 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-14 22:18:17 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 2/17; 2/17; 2/17; 2/15; 2/17; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 9; 7; 93/13; 8; 7; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 29/2; 65/4; 15; 29/2; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 02:20:25 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 06:18:23 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 10:18:40 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 14:20:54 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 18:18:28 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-15 22:18:33 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 3/20; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 19; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 02:18:55 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 2/17; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 06:18:19 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 10:18:44 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 15/2; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 18; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 14:18:38 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 8; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 16; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 18:18:50 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 8; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 16; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-16 22:18:33 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; 1/9; 1/8; ; ; 2/15; 1/9; 1/10; 2/17; 2/15; 1/10; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 19/2; ; 8; ; 15/2; 8; ; ; 9; 10; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 21; ; 16; ; 22; 16; ; ; 14; 20; 15; 65/4; 15; 15; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 02:18:44 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 06:18:12 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; ; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; ; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; ; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 10:18:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 14:21:06 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 18:20:55 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-17 22:18:29 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; ; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 2/17; 2/17; 2/15; 2/17; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; ; ; 8; ; 15/2; 15/2; ; ; 9; 9; 29/4; 93/13; 8; 29/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; ; ; 16; ; 20; 18; ; ; 14; 18; 57/4; 65/4; 15; 57/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 02:19:10 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; ; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; ; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; ; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 06:18:56 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; 15/2; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; 20; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-18 10:19:20 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; ; ; ; ; 1/9; ; 2/15; ; 1/8; 1/8; ; ; 2/15; 2/17; 1/9; 2/17; 2/15; 1/9; 2/13; 1/9; 1/8; ; 1/8; ; ; ; 
Draw; 10; ; ; ; ; ; 9; ; 8; ; 15/2; 15/2; ; ; 9; 9; 33/4; 93/13; 8; 33/4; 19/2; 79/10; 8; ; 8; ; ; ; 
Alaves; 14; ; ; ; ; ; 19; ; 16; ; 20; 18; ; ; 14; 18; 59/4; 65/4; 15; 59/4; 17; 14; 15; ; 15; ; ; ; 
