META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-05 20:16:53 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/13; 4/6; 4/6; 4/6; 69/100; 6/10; 13/20; 4/7; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 7/10; 13/20; 13/20; 11/17; 4/7
Draw; 5/2; 11/4; 27/10; 13/5; 149/50; 13/5; 13/5; 13/5; 14/5; 27/10; 14/5; 11/4; 27/10; 12/5; 11/4; 29/10; 14/5; 27/10; 12/5
Getafe; 5; 17/4; 21/5; 9/2; 24/5; 4; 4; 17/4; 4; 9/2; 17/4; 9/2; 38/11; 17/4; 17/4; 43/10; 7/2; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-06 15:02:44 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/13; 4/6; 4/6; 4/6; 69/00; 6/10; 5/8; 4/7; 11/17; 4/6; 4/6; 7/10; 7/10; 4/6; 8/13; 4/6; 7/10; 11/17; 13/20; 11/17; 4/7
Draw; 13/5; 11/4; 27/10; 13/5; 149/0; 13/5; 11/4; 13/5; 11/4; 27/10; 14/5; 27/10; 14/5; 11/4; 27/10; 12/5; 11/4; 27/10; 14/5; 27/10; 5/2
Getafe; 5; 17/4; 21/5; 9/2; 24/5; 4; 17/4; 4; 22/5; 21/5; 4; 17/4; 4; 9/2; 17/4; 9/2; 38/11; 22/5; 17/4; 43/10; 7/2
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-08 10:14:37 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/13; 7/10; 7/10; 4/6; 18/25; 6/10; 4/6; 4/7; 11/17; 7/10; 7/10; 7/10; 7/10; 11/17; 4/6; 7/10; 11/17; 7/10; 4/6; 4/6; 8/15
Draw; 13/5; 13/5; 13/5; 13/5; 73/25; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 14/5; 13/5; 45/17; 12/5; 11/4; 27/10; 14/5; 14/5; 45/17; 12/5
Getafe; 5; 4; 9/2; 23/5; 4; 4; 22/5; 4; 4; 54/13; 9/2; 38/11; 22/5; 4; 17/4; 21/5; 7/2; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-08 12:18:06 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/13; 7/10; 7/10; 4/6; 18/25; 6/10; 4/6; 4/7; 11/17; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 7/10; 11/17; 7/10; 4/6; 4/6; 8/15
Draw; 13/5; 13/5; 13/5; 13/5; 73/25; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 14/5; 13/5; 45/17; 12/5; 11/4; 27/10; 14/5; 14/5; 45/17; 12/5
Getafe; 5; 4; 9/2; 23/5; 4; 4; 22/5; 4; 4; 9/2; 77/19; 9/2; 38/11; 22/5; 4; 17/4; 41/10; 7/2; ; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-09 12:17:19 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/13; 7/10; 7/10; 4/6; 18/25; 6/10; 4/6; 4/7; 11/17; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 7/10; 11/17; 7/10; 4/6; 8/15
Draw; 13/5; 13/5; 13/5; 13/5; 73/25; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 14/5; 13/5; 45/17; 12/5; 11/4; 27/10; 11/4; 14/5; 12/5
Getafe; 5; 4; 9/2; 23/5; 4; 4; 22/5; 4; 4; 9/2; 77/19; 9/2; 38/11; 22/5; 21/5; 17/4; 7/2; ; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-10 12:17:50 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/13; 7/10; 7/10; 4/6; 18/25; 6/10; 4/6; 4/7; 11/17; 7/10; 8/13; 7/10; 7/10; 4/6; 4/6; 4/6; 7/10; 11/17; 7/10; 4/6; 4/6; 8/15
Draw; 13/5; 13/5; 13/5; 13/5; 73/25; 13/5; 11/4; 13/5; 11/4; 13/5; 11/4; 13/5; 14/5; 13/5; 45/17; 12/5; 11/4; 27/10; 11/4; 14/5; 45/17; 12/5
Getafe; 5; 4; 9/2; 23/5; 4; 4; 22/5; 4; 9/2; 4; 9/2; 77/19; 9/2; 38/11; 22/5; 21/5; 17/4; 41/10; 7/2; ; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-12 10:24:36 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 13/20; 7/10; 4/6; 7/10; 8/11; 6/10; 4/6; 4/7; 13/19; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 4/6; 4/6; 7/10; 13/19; 4/6; 4/6; 4/6; 4/7; 4/6; 4/6
Draw; 13/5; 13/5; 13/5; 11/4; 72/25; 13/5; 11/4; 13/5; 11/4; 13/5; 11/4; 13/5; 11/4; 27/10; 14/5; 5/2; 45/17; 12/5; 29/10; 27/10; 29/10; 27/10; 27/10; 5/2; 14/5; 14/5
Getafe; 9/2; 4; 21/5; 19/5; 23/5; 4; 4; 21/5; 4; 4; 17/4; 17/4; 4; 15/4; 17/4; 9/2; 41/10; 41/10; 21/5; 17/4; 17/4; 7/2; 22/5; 9/2; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-12 20:16:35 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 13/20; 7/10; 4/6; 7/10; 8/11; 6/10; 4/6; 4/7; 13/19; 4/6; 4/6; 7/10; 7/10; 7/10; 7/10; 4/6; 9/13; 4/6; 7/10; 13/19; 4/6; 4/6; 9/13; 4/7; 4/7; 4/6; 4/6
Draw; 13/5; 11/4; 27/10; 11/4; 149/50; 3; 11/4; 11/4; 37/13; 27/10; 11/4; 13/5; 29/10; 27/10; 14/5; 13/5; 11/4; 13/5; 29/10; 14/5; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; 11/4
Getafe; 17/4; 18/5; 4; 19/5; 43/10; 4; 15/4; 7/2; 39/10; 4; 4; 4; 15/4; 77/19; 4; 19/5; 39/10; 22/5; 4; 41/10; 7/2; 4; 21/5; 4; ; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-16 10:17:38 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/11; 4/6; 7/10; 7/10; 18/25; 7/10; 7/10; 4/6; 13/18; 7/10; 7/10; 7/10; 4/5; 7/10; 7/10; 4/6; 5/7; 7/10; 8/11; 13/18; 7/10; 7/10; 14/19; 4/6; 4/6; 8/11; 4/6
Draw; 13/5; 11/4; 27/10; 11/4; 61/20; 14/5; 11/4; 11/4; 37/13; 27/10; 11/4; 13/5; 29/10; 11/4; 14/5; 13/5; 27/10; 27/10; 29/10; 14/5; 29/10; 57/20; 11/4; 13/5; 27/10; 14/5; 14/5
Getafe; 17/4; 19/5; 4; 19/5; 22/5; 4; 15/4; 4; 39/10; 4; 4; 4; 15/4; 4; 17/4; 19/5; 39/10; 22/5; 17/4; 75/19; 7/2; 7/2; 9/2; 21/5; ; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-16 16:15:57 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/11; 7/10; 8/11; 7/10; 77/100; 7/10; 7/10; 4/6; 13/18; 8/11; 7/10; 8/11; 4/5; 3/4; 3/4; 8/11; 5/7; 7/10; 14/19; 13/18; 3/4; 8/11; 14/19; 4/6; 4/6; 8/11; 4/6
Draw; 13/5; 14/5; 13/5; 11/4; 147/50; 14/5; 11/4; 11/4; 37/13; 27/10; 11/4; 13/5; 29/10; 27/10; 11/4; 11/4; 27/10; 27/10; 27/10; 14/5; 14/5; 14/5; 11/4; 13/5; 13/5; 14/5; 
Getafe; 17/4; 19/5; 15/4; 19/5; 41/10; 4; 15/4; 4; 39/10; 19/5; 4; 15/4; 3; 19/5; 15/4; 4; 17/4; 4; 39/10; 4; 15/4; 75/19; 7/2; 4; 9/2; 7/2; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-16 16:20:33 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/11; 7/10; 8/11; 7/10; 77/100; 7/10; 7/10; 4/6; 13/18; 8/11; 7/10; 8/11; 4/5; 3/4; 3/4; 8/11; 5/7; 7/10; 14/19; 13/18; 3/4; 8/11; 14/19; 4/6; 4/6; 8/11; 4/6
Draw; 13/5; 14/5; 13/5; 11/4; 147/50; 14/5; 11/4; 11/4; 37/13; 27/10; 11/4; 13/5; 29/10; 27/10; 11/4; 11/4; 27/10; 27/10; 27/10; 14/5; 14/5; 14/5; 11/4; 13/5; 13/5; 14/5; 
Getafe; 17/4; 19/5; 15/4; 19/5; 41/10; 4; 15/4; 4; 39/10; 19/5; 4; 15/4; 3; 19/5; 15/4; 4; 17/4; 4; 39/10; 4; 15/4; 75/19; 7/2; 4; 9/2; 7/2; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-17 12:16:50 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/11; 3/4; 8/11; 7/10; 77/100; 8/11; 8/11; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 3/4; 7/10; 8/11; 5/7; 7/10; 14/19; 13/18; 3/4; 8/11; 14/19; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 147/50; 14/5; 11/4; 11/4; 14/5; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 11/4; 11/4; 37/13; 14/5; 14/5; 14/5; 11/4; 11/4; 14/5; 14/5; 14/5
Getafe; 17/4; 19/5; 19/5; 4; 41/10; 4; 15/4; 7/2; 39/10; 19/5; 4; 15/4; 4; 4; 39/10; 17/4; 50/13; 19/5; 4; 75/19; 4; 21/5; 21/5; 21/5; ; ; 
META; spain/la-liga-primera/real-sociedad-v-getafe; 2018-03-17 13:14:16 GMT+2; 2018-03-17 17:30; e70300-dr003
Real Sociedad; 8/11; 3/4; 8/11; 7/10; 77/100; 8/11; 8/11; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 3/4; 7/10; 8/11; 5/7; 7/10; 14/19; 13/18; 3/4; 8/11; 5/7; 8/11; 8/11; 8/11; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 147/50; 14/5; 11/4; 11/4; 14/5; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 11/4; 11/4; 37/13; 14/5; 14/5; 14/5; 11/4; 11/4; 14/5; 14/5; 14/5
Getafe; 17/4; 19/5; 19/5; 4; 15/4; 7/2; 39/10; 4; 15/4; 4; 4; 75/19; 17/4; 50/13; 19/5; 4; 4; 21/5; 7/2; 21/5; ; ; ; ; ; ; 
