META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-06 15:03:06 GMT+2; 2018-04-01 15:00; e70300-dr003
Celta Vigo; 5/2; 5/2; 11/5; 67/25; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 12/5; 9/4; 12/5; 11/5; 9/4; 5/2; 49/20; 23/10; 21/10
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-17 12:17:17 GMT+2; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 11/10; 11/10; 5/4; 121/100; 11/10; 11/10; 11/10; 5/4; 23/20; 6/5; 6/5; 11/10; 15/13; 10/9; 5/4; 23/20; 23/20; 11/10; 21/20
Draw; 23/10; 23/10; 23/10; 61/25; 21/10; 9/4; 21/10; 9/4; 9/4; 23/10; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 23/10; 9/4; 2
Celta Vigo; 5/2; 5/2; 11/5; 67/25; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 12/5; 12/5; 12/5; 11/5; 9/4; 5/2; 49/20; 12/5; 11/5
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-18 14:16:46 GMT+2; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 11/10; 11/10; 5/4; 121/100; 11/10; 11/10; 11/10; 5/4; 23/20; 6/5; 6/5; 11/10; 11/10; 15/13; 10/9; 5/4; 23/20; 23/20; 11/10; 21/20
Draw; 23/10; 23/10; 23/10; 61/25; 21/10; 9/4; 21/10; 9/4; 9/4; 23/10; 23/10; 23/10; 9/4; 11/5; 12/5; 9/4; 12/5; 23/10; 9/4; 2
Celta Vigo; 5/2; 5/2; 11/5; 67/25; 23/10; 12/5; 23/10; 9/4; 5/2; 49/20; 12/5; 5/2; 12/5; 12/5; 11/5; 9/4; 5/2; 49/20; 12/5; 21/10
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-19 08:15:06 GMT+2; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 23/20; 23/20; 5/4; 59/50; 11/10; 11/10; 11/10; 22/19; 11/10; 23/20; 6/5; 6/5; 11/10; 11/10; 15/13; 10/9; 22/19; 23/20; 11/10; 11/10; 10/9
Draw; 23/10; 23/10; 23/10; 61/25; 21/10; 9/4; 21/10; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 9/4; 11/5; 12/5; 23/10; 12/5; 23/10; 9/4; 2
Celta Vigo; 12/5; 12/5; 11/5; 69/25; 23/10; 12/5; 23/10; 5/2; 5/2; 12/5; 49/20; 12/5; 5/2; 27/11; 12/5; 11/5; 5/2; 5/2; 5/2; 27/11; 23/10
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-20 08:15:42 GMT+2; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 23/20; 23/20; 5/4; 59/50; 1; 11/10; 1; 22/19; 11/10; 11/10; 23/20; 6/5; 6/5; 11/10; 11/10; 11/10; 10/9; 22/19; 23/20; 11/10; 11/10; 10/9
Draw; 9/4; 9/4; 23/10; 61/25; 11/5; 9/4; 11/5; 23/10; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 9/4; 9/4; 12/5; 23/10; 12/5; 23/10; 9/4; 2
Celta Vigo; 12/5; 5/2; 11/5; 69/25; 23/10; 12/5; 23/10; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 27/11; 5/2; 11/5; 5/2; 5/2; 5/2; 27/11; 21/10
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-21 14:16:43 GMT+2; 2018-03-31 14:15; e70300-dr003
Athletic Bilbao; 23/20; 23/20; 23/20; 5/4; 59/50; 1; 11/10; 1; 22/19; 11/10; 11/10; 11/10; 6/5; 6/5; 11/10; 11/10; 11/10; 19/17; 22/19; 23/20; 11/10; 11/10; 10/9
Draw; 9/4; 9/4; 11/5; 23/10; 61/25; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 9/4; 27/11; 23/10; 12/5; 23/10; 9/4; 2
Celta Vigo; 12/5; 5/2; 5/2; 11/5; 69/25; 23/10; 12/5; 23/10; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 12/5; 21/10
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-22 12:35:39 GMT+2; 2018-03-31 14:15; e70300-dr003
Athletic Bilbao; 23/20; 23/20; 23/20; 6/5; 59/50; 1; 11/10; 1; 22/19; 11/10; 11/10; 11/10; 6/5; 6/5; 11/10; 11/10; 11/10; 19/17; 22/19; 23/20; 11/10; 11/10; 20/21; 10/9
Draw; 9/4; 9/4; 11/5; 11/5; 61/25; 11/5; 11/5; 11/5; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 9/4; 27/11; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10
Celta Vigo; 12/5; 5/2; 5/2; 12/5; 69/25; 23/10; 12/5; 23/10; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 27/11; 5/2; 28/11; 5/2; 5/2; 51/20; 27/11; 21/10; 13/5
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-23 14:42:20 GMT+2; 2018-03-31 14:15; e70300-dr003
Athletic Bilbao; 23/20; 23/20; 11/10; 6/5; 23/20; 1; 11/10; 1; 22/19; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 21/20; 11/10; 19/17; 22/19; 11/10; 11/10; 21/20; 21/20; 11/10
Draw; 9/4; 9/4; 9/4; 11/5; 62/25; 11/5; 9/4; 11/5; 23/10; 11/5; 12/5; 9/4; 9/4; 23/10; 9/4; 9/4; 9/4; 27/11; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5
Celta Vigo; 12/5; 12/5; 13/5; 12/5; 14/5; 23/10; 5/2; 23/10; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 28/11; 5/2; 13/5; 51/20; 5/2; 21/10; 11/4
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-26 12:16:00 GMT+3; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 21/20; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 19/17; 21/20; 11/10; 11/10; 21/20; 21/20; 11/10; 10/9
Draw; 23/10; 23/10; 9/4; 9/4; 62/25; 23/10; 9/4; 11/5; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 27/11; 12/5; 12/5; 23/10; 40/17; 21/10; 12/5; 12/5
Celta Vigo; 11/4; 13/5; 13/5; 5/2; 14/5; 27/10; 5/2; 5/2; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 28/11; 45/17; 13/5; 13/5; 45/17; 5/2; 11/4; 27/10
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-27 08:15:46 GMT+3; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 23/20; 11/10; 11/10; 23/20; 23/20; 21/20; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 19/17; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 10/9; 10/9
Draw; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 9/4; 27/11; 12/5; 12/5; 23/10; 12/5; 2; 21/10; 12/5; 12/5
Celta Vigo; 12/5; 13/5; 13/5; 5/2; 139/50; 11/4; 5/2; 12/5; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 28/11; 45/17; 13/5; 13/5; 45/17; 21/10; 23/10; 27/10; 27/10
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-28 08:16:31 GMT+3; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 21/20; 21/20; 21/20; 21/20; 109/100; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 15/14; 21/20; 21/20; 21/20; 21/20; 20/21; 21/20; 21/20; 
Draw; 23/10; 23/10; 23/10; 23/10; 13/5; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 23/10; 27/11; 9/4; 5/2; 12/5; 5/2; 47/20; 27/11; 23/10; 5/2; 5/2
Celta Vigo; 13/5; 13/5; 27/10; 13/5; 143/50; 11/4; 13/5; 13/5; 27/10; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 45/17; 5/2; 45/17; 45/17; 13/5; 53/20; 27/10; 5/2; 11/4; 11/4
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-29 08:16:11 GMT+3; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 15/14; 21/20; 21/20; 21/20; 21/20; 20/21; 20/21; 21/20; 11/10
Draw; 23/10; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 47/20; 5/2; 23/10; 12/5; 9/4; 5/2; 12/5; 5/2; 47/20; 27/11; 23/10; 21/10; 5/2; 5/2
Celta Vigo; 13/5; 13/5; 13/5; 13/5; 73/25; 11/4; 13/5; 13/5; 27/10; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 45/17; 5/2; 45/17; 45/17; 13/5; 53/20; 27/10; 5/2; 5/2; 14/5; 11/4
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-31 12:16:59 GMT+3; 2018-03-31 15:15; e70300-dr003
Athletic Bilbao; 23/20; 6/5; 6/5; 23/20; 63/50; 6/5; 6/5; 11/10; 5/4; 6/5; 23/20; 6/5; 11/10; 5/4; 5/4; 6/5; 6/5; 15/13; 16/13; 16/13; 5/4; 21/20; 6/5; 6/5; 5/4; 5/4; 5/4
Draw; 23/10; 23/10; 11/5; 9/4; 123/50; 12/5; 9/4; 23/10; 40/17; 11/5; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 49/20; 23/10; 9/4; 23/10; 23/10; 23/10
Celta Vigo; 5/2; 9/4; 12/5; 12/5; 63/25; 5/2; 23/10; 12/5; 40/17; 12/5; 12/5; 23/10; 13/5; 49/20; 23/10; 12/5; 40/17; 5/2; 12/5; 40/17; 12/5; 11/4; 12/5; 12/5; 12/5; 5/2; 5/2
