META; spain/la-liga-primera/atletico-madrid-v-las-palmas; 2018-01-17 12:26:26 GMT+2; 2018-01-28 15:15; e70300-dr003
Atletico Madrid; 1/5; 2/11; 1/6; 2/13; 2/11; 1/6; 1/8; 1/8; 2/13; 2/13; ; 1/6; ; 1/6; 1/6; 1/7; 2/13; 1/7; 2/13; 1/7; 2/13; 2/13; 1/7; 2/13; 1/7; 1/6; ; 
Atletico Madrid; 1/5; 2/11; 1/6; 2/13; 19/ 100; 2/13; 1/7; 1/8; 2/13; 1/6; 1/6; 1/6; ; 1/6; 1/6; 1/6; 2/11; 2/13; 2/11; 2/11; 2/13; 1/6; 2/13; 1/6; 2/13; 2/11; ; 2/11
Draw; 11/2; 6; 6; 13/2; 69/10; 7; 13/2; 13/2; 13/2; 6; 6; 11/2; ; 6; 13/2; 11/2; 23/4; 25/4; 23/4; 13/2; 13/2; 6; 7; 11/2; 25/4; 5; ; 34/5
Las Palmas; 12; 14; 20; 16; 20; 22; 18; 19; 19; 20; 16; 16; ; 17; 14; 13; 13; 67/4; 13; 15; 18; 14; 17; 18; 17; 4/7; ; 19
META; spain/la-liga-primera/atletico-madrid-v-las-palmas; 2018-01-23 02:14:26 GMT+2; 2018-01-28 15:15; e70300-dr003
Atletico Madrid; 1/5; 2/11; 1/6; 2/13; 1/5; 2/13; 1/7; 1/8; 1/6; 1/6; 1/6; 1/6; ; 2/11; 1/6; 1/6; 2/11; 2/13; 2/11; 2/11; 1/6; 1/6; 2/13; 1/6; 2/13; 2/11; 1/6; 2/11
Draw; 11/2; 6; 6; 13/2; 33/5; 7; 13/2; 13/2; 13/2; 6; 6; 6; ; 6; 13/2; 11/2; 23/4; 25/4; 23/4; 13/2; 13/2; 6; 13/2; 11/2; 25/4; 11/2; 5; 34/5
Las Palmas; 12; 14; 18; 16; 19; 18; 16; 16; 16; 18; 16; 16; ; 16; 14; 13; 13; 33/2; 13; 15; 16; 14; 18; 18; 33/2; 17; 15; 19
META; spain/la-liga-primera/atletico-madrid-v-las-palmas; 2018-01-23 17:20:34 GMT+2; 2018-01-28 15:15; e70300-dr003
Atletico Madrid; 1/5; 2/11; 2/11; 2/13; 1/5; 1/6; 1/7; 1/7; 1/6; 2/11; 1/6; 2/11; ; 2/11; 1/5; 1/6; 2/11; 1/6; 2/11; 1/5; 1/6; 1/6; 1/6; 1/6; 1/6; 2/11; 2/11; 2/11
Draw; 11/2; 6; 6; 13/2; 34/5; 13/2; 13/2; 6; 13/2; 6; 6; 11/2; ; 11/2; 6; 11/2; 23/4; 6; 23/4; 63/10; 13/2; 6; 13/2; 11/2; 113/ 19; 11/2; 27/5; 34/5
Las Palmas; 12; 14; 18; 16; 35/2; 18; 16; 16; 16; 16; 16; 14; ; 15; 12; 12; 13; 33/2; 13; 13; 16; 14; 16; 18; 63/4; 17; 33/2; 20
META; spain/la-liga-primera/atletico-madrid-v-las-palmas; 2018-01-24 12:15:59 GMT+2; 2018-01-28 15:15; e70300-dr003
Atletico Madrid; 1/5; 1/5; 2/11; 2/13; 1/5; 1/6; 1/7; ; 1/6; 2/11; 1/6; 2/11; ; 2/11; 1/5; 1/6; 2/11; 1/6; 2/11; 1/5; 1/6; 1/6; 1/6; 1/6; 1/6; ; 2/11; 1/6; 2/11
Draw; 11/2; 11/2; 6; 13/2; 34/5; 13/2; 13/2; ; 13/2; 6; 6; 11/2; ; 11/2; 6; 11/2; 23/4; 6; 23/4; 63/10; 13/2; 6; 13/2; 11/2; 6; ; 11/2; 24/5; 34/5
Las Palmas; 12; 12; 18; 16; 35/2; 18; 16; ; 16; 16; 16; 14; ; 15; 12; 12; 13; 33/2; 13; 13; 16; 14; 16; 18; 67/4; ; 17; 12; 20
