META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-05 20:16:46 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 19/20; 19/20; 1; 101/100; 17/20; 20/21; 5/6; 20/21; 1; 19/20; 19/20; 19/20; 19/20; 15/16; 19/20; 19/20; 19/20; 4/6
Draw; 23/10; 11/4; 13/5; 13/5; 139/50; 12/5; 12/5; 12/5; 13/5; 13/5; 13/5; 13/5; 27/11; 9/4; 11/4; 11/4; 13/5; 27/11; 21/10
Las Palmas; 16/5; 13/5; 13/5; 5/2; 74/25; 13/5; 11/4; 13/5; 11/4; 27/10; 14/5; 14/5; 27/10; 3; 40/17; 27/10; 27/10; 11/4; 21/10
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-06 15:02:38 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 19/20; 10/11; 17/20; 24/25; 17/20; 9/10; 5/6; 9/10; 10/11; 10/11; 10/11; 19/20; 10/11; 10/11; 9/10; 15/16; 9/10; 10/11; 10/11; 8/13
Draw; 23/10; 11/4; 13/5; 11/4; 139/0; 12/5; 5/2; 12/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 5/2; 21/10
Las Palmas; 16/5; 13/5; 11/4; 3; 63/20; 13/5; 14/5; 13/5; 29/10; 11/4; 14/5; 29/10; 14/5; 14/5; 37/13; 29/10; 40/17; 29/10; 57/20; 37/13; 21/10
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-08 10:14:31 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 17/20; 10/11; 17/20; 24/25; 5/6; 9/10; 5/6; 9/10; 10/11; 10/11; 19/20; 10/11; 10/11; 9/10; 15/16; 9/10; 20/23; 10/11; 10/11; 8/13
Draw; 23/10; 11/4; 13/5; 11/4; 139/50; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 11/4; 13/5; 5/2; 21/10
Las Palmas; 16/5; 3; 11/4; 3; 63/20; 11/4; 14/5; 11/4; 29/10; 11/4; 14/5; 14/5; 3; 37/13; 29/10; 40/17; 29/10; 3; 57/20; 29/10; 21/10
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-08 12:18:00 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 17/20; 10/11; 17/20; 24/25; 5/6; 9/10; 5/6; 9/10; 10/11; 10/11; 19/20; 10/11; 10/11; 9/10; 15/16; 9/10; 20/23; 10/11; 10/11; 8/13
Draw; 23/10; 11/4; 13/5; 11/4; 139/0; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 11/4; 13/5; 5/2; 21/10
Las Palmas; 16/5; 3; 11/4; 3; 63/20; 11/4; 14/5; 11/4; 29/10; 11/4; 14/5; 14/5; 14/5; 37/13; 29/10; 40/17; 29/10; 3; 57/20; 29/10; 21/10
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-09 12:17:13 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 17/20; 10/11; 17/20; 24/25; 5/6; 9/10; 5/6; 9/10; 10/11; 10/11; 19/20; 10/11; 10/11; 9/10; 15/16; 9/10; 10/11; 4/6
Draw; 23/10; 11/4; 13/5; 11/4; 139/50; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 21/10
Las Palmas; 16/5; 3; 11/4; 3; 63/20; 11/4; 14/5; 11/4; 29/10; 11/4; 14/5; 14/5; 14/5; 37/13; 29/10; 40/17; 29/10; 57/20; 21/10
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-10 12:17:43 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 10/11; 17/20; 10/11; 17/20; 24/25; 5/6; 9/10; 5/6; 9/10; 10/11; 9/10; 10/11; 10/11; 10/11; 10/11; 9/10; 10/11; 9/10; 9/10; 10/11; 10/11; 4/6
Draw; 23/10; 11/4; 13/5; 11/4; 139/0; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 11/4; 13/5; 5/2; 11/5; 
Las Palmas; 16/5; 3; 14/5; 3; 63/20; 11/4; 14/5; 11/4; 29/10; 11/4; 3; 14/5; 3; 37/13; 29/10; 12/5; 29/10; 29/10; 57/20; 29/10; 11/5; 
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-12 10:24:30 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 4/5; 5/6; 5/6; 17/20; 43/50; 17/20; 4/5; 8/11; 9/10; 4/5; 4/5; 5/6; 17/20; 5/6; 10/11; 4/5; 4/5; 4/5; 11/13; 9/10; 5/6; 4/5; 5/6; 8/11; 5/6; 5/6
Draw; 12/5; 13/5; 13/5; 11/4; 139/0; 11/4; 13/5; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 27/10; 13/5; 12/5; 28/11; 13/5; 14/5; 28/11; 14/5; 53/20; 28/11; 2; 27/10; 14/5
Las Palmas; 15/4; 3; 16/5; 3; 37/10; 10/3; 16/5; 3; 16/5; 10/3; 10/3; 16/5; 16/5; 3; 57/17; 16/5; 16/5; 3; 31/10; 10/3; 17/5; 12/5; 7/2; 7/2; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-12 20:16:29 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 4/5; 5/6; 5/6; 17/20; 43/50; 4/5; 4/5; 8/11; 5/6; 4/5; 4/5; 5/6; 17/20; 5/6; 17/20; 4/5; 5/6; 4/5; 11/13; 5/6; 5/6; 4/5; 5/6; 4/6; 4/5; 5/6; 5/6
Draw; 11/4; 14/5; 11/4; 14/5; 72/25; 14/5; 11/4; 13/5; 37/13; 11/4; 11/4; 11/4; 14/5; 14/5; 13/5; 13/5; 11/4; 13/5; 29/10; 14/5; 29/10; 57/20; 11/4; 27/10; 11/4; 14/5; 14/5
Las Palmas; 4; 7/2; 18/5; 7/2; 21/5; 4; 15/4; 7/2; 37/10; 18/5; 19/5; 15/4; 11/4; 37/10; 4; 7/2; 39/10; 7/2; 15/4; 18/5; 19/5; 15/4; 75/19; 7/2; 4; 4; 
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-16 10:17:32 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 8/11; 3/4; 8/11; 8/11; 77/100; 3/4; 8/11; 4/6; 3/4; 8/11; 7/10; 8/11; 5/6; 3/4; 3/4; 7/10; 14/19; 7/9; 14/19; 3/4; 3/4; 8/11; 10/13; 8/11; 8/11; 8/11; 8/11
Draw; 11/4; 14/5; 11/4; 14/5; 72/25; 14/5; 11/4; 11/4; 37/13; 11/4; 11/4; 11/4; 14/5; 14/5; 13/5; 13/5; 27/10; 27/10; 29/10; 14/5; 29/10; 57/20; 11/4; 27/10; 13/5; 11/4; 14/5
Las Palmas; 4; 7/2; 18/5; 7/2; 21/5; 4; 15/4; 7/2; 37/10; 18/5; 19/5; 15/4; 11/4; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 18/5; 19/5; 4; 19/5; 7/2; 7/2; 7/2; 7/2
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-16 16:15:50 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 8/11; 3/4; 8/11; 8/11; 3/4; 3/4; 8/11; 4/6; 3/4; 8/11; 7/10; 8/11; 5/6; 3/4; 3/4; 8/11; 14/19; 3/4; 3/4; 3/4; 3/4; 8/11; 10/13; 8/11; 8/11; 8/11; 8/11
Draw; 11/4; 14/5; 11/4; 14/5; 149/50; 29/10; 11/4; 11/4; 37/13; 14/5; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 27/10; 27/10; 14/5; 14/5; 14/5; 29/10; 11/4; 11/4; 14/5; ; 
Las Palmas; 4; 7/2; 18/5; 7/2; 21/5; 15/4; 7/2; 7/2; 37/10; 15/4; 19/5; 7/2; 11/4; 37/10; 15/4; 15/4; 15/4; 15/4; 19/5; 18/5; 19/5; 15/4; 19/5; 7/2; 7/2; 7/2; 7/2
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-16 16:20:27 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 8/11; 3/4; 8/11; 8/11; 3/4; 3/4; 8/11; 4/6; 3/4; 8/11; 7/10; 8/11; 5/6; 3/4; 3/4; 8/11; 14/19; 3/4; 3/4; 3/4; 3/4; 7/10; 10/13; 8/11; 8/11; 8/11; 8/11
Draw; 11/4; 14/5; 11/4; 14/5; 149/50; 29/10; 11/4; 11/4; 37/13; 14/5; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 27/10; 27/10; 14/5; 14/5; 14/5; 29/10; 11/4; 11/4; 14/5; ; 
Las Palmas; 4; 7/2; 18/5; 7/2; 21/5; 15/4; 7/2; 7/2; 37/10; 15/4; 19/5; 7/2; 11/4; 37/10; 15/4; 15/4; 15/4; 15/4; 19/5; 18/5; 19/5; 4; 19/5; 7/2; 7/2; 7/2; 7/2
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-17 12:16:44 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 3/4; 3/4; 3/4; 8/11; 41/50; 3/4; 3/4; 4/6; 3/4; 3/4; 3/4; 3/4; 4/5; 4/5; 4/5; 8/11; 10/13; 3/4; 7/9; 3/4; 4/5; 10/13; 10/13; 8/11; 8/11; 4/5; 4/5
Draw; 11/4; 14/5; 11/4; 5/2; 73/25; 29/10; 11/4; 37/13; 11/4; 11/4; 5/2; 11/4; 14/5; 11/4; 13/5; 11/4; 27/10; 29/10; 14/5; 14/5; 14/5; 14/5; 11/4; 14/5; 14/5; 14/5; 
Las Palmas; 15/4; 7/2; 17/5; 4; 15/4; 15/4; 7/2; 7/2; 37/10; 17/5; 7/2; 15/4; 7/2; 7/2; 100/30; 15/4; 39/11; 15/4; 7/2; 18/5; 18/5; 7/2; 18/5; 7/2; 4; 7/2; 7/2
META; spain/la-liga-primera/deportivo-la-coruna-v-las-palmas; 2018-03-17 13:14:10 GMT+2; 2018-03-17 12:00; e70300-dr003
Deportivo La Coruna; 8/11; 3/4; 7/10; 8/11; 3/4; 8/11; 8/11; 4/6; 3/4; 7/10; 7/10; 8/11; 3/4; 8/11; 8/11; 8/11; 5/7; 3/4; 8/11; 3/4; 3/4; 8/11; 5/7; 4/6; 8/11; 8/11; 8/11
Draw; 14/5; 14/5; 14/5; 5/2; 73/25; 3; 11/4; 37/13; 14/5; 11/4; 11/4; 14/5; 29/10; 3; 11/4; 11/4; 27/10; 29/10; 14/5; 29/10; 29/10; 11/4; 14/5; 14/5; 14/5; 14/5; 
Las Palmas; 4; 7/2; 19/5; 4; 43/10; 15/4; 15/4; 7/2; 37/10; 15/4; 19/5; 15/4; 15/4; 19/5; 7/2; 4; 15/4; 39/10; 18/5; 4; 15/4; 77/19; 4; 21/5; 21/5; 21/5; 
