META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-02-24 12:17:05 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; ; ; ; ; 31/50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Athletic Bilbao; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-02-27 18:16:11 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 8/13; 4/6; 4/6; 13/20; 17/25; 4/6; 5/8; 4/7; 3/5; 4/6; 8/13; 4/6; ; 7/10; 13/20; 4/6; 11/17; 4/6; 4/6; 3/5; 13/20; 13/20; 11/17; ; 4/7; ; 
Draw; 14/5; 11/4; 27/10; 5/2; 61/20; 29/10; ; 13/5; 14/5; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; 37/13; 11/4; 11/4; 14/5; 29/10; 57/20; 29/10; ; 11/4; ; 
Athletic Bilbao; 9/2; 4; 21/5; 4; 24/5; 4; 17/4; 4; 23/5; 17/4; 9/2; 4; 4; 17/4; 9/2; 4; 22/5; 4; 62/17; 23/5; 22/5; 17/4; 49/11; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-01 15:57:57 GMT+2; ; e70300-dr003
Sevilla w w w d l w; 8/11; 7/10; 3/4; 13/20; 79/100; 3/4; 8/11; 4/6; 4/5; 4/5; 8/11; 3/4; 4/5; 3/4; 3/4; 8/11; 4/5; 4/6; 11/14; 11/14; 10/13; 4/5; 8/11; 8/11; 8/11; 
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-02 04:02:17 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 3/4; 4/5; 3/4; 3/4; 77/100; 3/4; 3/4; 4/6; 10/13; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 4/5; 4/6; 7/9; 13/17; 4/5; 10/13; 4/5; 8/11; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 72/25; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 45/17; 14/5; 14/5; 27/10; 14/5; 53/20; 45/17; 13/5; 13/5; 11/4; ; 
Athletic Bilbao; 4; 7/2; 7/2; 15/4; 21/5; 4; 15/4; 7/2; 15/4; 18/5; 19/5; 7/2; 7/2; 37/10; 15/4; 15/4; 18/5; 17/4; 18/5; 37/10; 15/4; 15/4; 62/17; 7/2; 7/2; 7/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-02 05:02:19 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 3/4; 4/5; 3/4; 3/4; 77/100; 3/4; 3/4; 4/6; 10/13; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 4/5; 4/6; 7/9; 13/17; 4/5; 10/13; 4/5; 8/11; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 72/25; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 14/5; 14/5; 27/10; 14/5; 53/20; 45/17; 13/5; 13/5; 11/4; ; 
Athletic Bilbao; 4; 7/2; 7/2; 15/4; 21/5; 4; 15/4; 7/2; 15/4; 18/5; 19/5; 7/2; 7/2; 37/10; 15/4; 15/4; 18/5; 17/4; 18/5; 37/10; 15/4; 15/4; 62/17; 7/2; 7/2; 7/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-02 07:02:18 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 3/4; 4/5; 3/4; 3/4; 77/100; 3/4; 3/4; 4/6; 10/13; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 4/5; 4/6; 7/9; 13/17; 4/5; 10/13; 4/5; 8/11; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 72/25; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 45/17; 14/5; 14/5; 27/10; 14/5; 53/20; 45/17; 13/5; 5/2; 11/4; ; 
Athletic Bilbao; 4; 7/2; 7/2; 15/4; 21/5; 4; 7/2; 7/2; 15/4; 18/5; 19/5; 7/2; 7/2; 37/10; 15/4; 15/4; 18/5; 17/4; 18/5; 37/10; 15/4; 15/4; 62/17; 7/2; 10/3; 7/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-02 08:19:05 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 3/4; 4/5; 3/4; 3/4; 77/100; 3/4; 3/4; 4/6; 10/13; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 4/5; 4/6; 7/9; 13/17; 4/5; 10/13; 4/5; 8/11; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 72/25; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 14/5; 14/5; 27/10; 14/5; 53/20; 45/17; 13/5; 13/5; 11/4; ; 
Athletic Bilbao; 4; 7/2; 7/2; 15/4; 21/5; 4; 7/2; 7/2; 15/4; 18/5; 19/5; 7/2; 7/2; 37/10; 15/4; 15/4; 62/17; 17/4; 18/5; 37/10; 15/4; 15/4; 62/17; 7/2; 7/2; 7/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-02 09:02:19 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 3/4; 4/5; 3/4; 3/4; 77/100; 3/4; 3/4; 4/6; 10/13; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 4/5; 4/6; 7/9; 13/17; 4/5; 10/13; 4/5; 8/11; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 72/25; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 14/5; 14/5; 27/10; 14/5; 53/20; 45/17; 13/5; 13/5; 11/4; ; 
Athletic Bilbao; 4; 7/2; 7/2; 15/4; 21/5; 4; 7/2; 7/2; 15/4; 18/5; 19/5; 7/2; 7/2; 37/10; 15/4; 15/4; 62/17; 17/4; 18/5; 37/10; 15/4; 15/4; 62/17; 7/2; 7/2; 7/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-02 13:58:13 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 3/4; 3/4; 3/4; 3/4; 4/5; 3/4; 3/4; 4/6; 10/13; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 13/18; 7/9; 13/17; 4/5; 10/13; 8/11; 8/11; 8/11; 
Draw; 13/5; 11/4; 13/5; 13/5; 57/20; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 11/4; 11/4; 13/5; 11/4; 14/5; 27/10; 14/5; 27/10; 27/10; 11/4; ; ; 
Athletic Bilbao; 4; 18/5; 18/5; 15/4; 4; 15/4; 7/2; 15/4; 18/5; 19/5; 7/2; 7/2; 15/4; 15/4; 15/4; 62/17; 4; 18/5; 37/10; 15/4; 37/10; 7/2; 7/2; 7/2
META; spain/la-liga-primera/sevilla-v-athletic-bilbao; 2018-03-03 12:17:28 GMT+2; 2018-03-03 15:15; e70300-dr003
Sevilla; 8/13; 4/6; 8/13; 7/10; 7/10; 4/6; 13/20; 8/13; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 7/10; 4/6; 11/17; 4/6; 11/17; 7/10; 4/6; 13/20; 4/6; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 14/5; 31/10; 14/5; 14/5; 11/4; 14/5; 14/5; 11/4; 13/5; 14/5; 3; 14/5; 11/4; 14/5; 14/5; 29/10; 14/5; 29/10; 29/10; 37/13; 14/5; 14/5; 14/5
Athletic Bilbao; 5; 17/4; 19/5; 9/2; 9/2; 4; 9/2; 41/10; 9/2; 9/2; 9/2; 9/2; 5; 4; 22/5; 17/4; 23/5; 41/10; 19/4; 9/2; 49/11; 23/5; 24/5; 24/5; ; 
