META; spain/la-liga-primera/sevilla-v-valencia; 2018-03-01 15:58:31 GMT+2; ; e70300-dr003
Valencia; 5/2; 23/10; 23/10; 12/5; 131/0; 12/5; 12/5; 23/10; 40/17; 12/5; 12/5; 5/2; 12/5; 47/20; 5/2; 12/5; 27/11; 5/2; 27/11; 23/10; 12/5; 12/5; 27/11; 23/10; 9/4; 13/5; 5/2
Draw; 13/5; 13/5; 13/5; 13/5; 139/0; 27/10; 13/5; 45/17; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 45/17; 13/5; 13/5; 13/5; 13/5; 5/2; 12/5; 27/10; 27/10; ; 
META; spain/la-liga-primera/sevilla-v-valencia; 2018-03-09 12:16:44 GMT+2; 2018-03-10 15:15; e70300-dr003
Sevilla; 1; 1; 11/10; 21/20; 21/20; 1; 11/10; 1; 1; 11/10; 21/20; 1; 21/20; 21/20; 17/16; 13/12; 1; 1; 1; ; ; ; ; ; 
Draw; 5/2; 13/5; 13/5; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 27/10; 13/5; 5/2; 13/5; 5/2; 45/17; 28/11; 53/20; 13/5; 13/5; 13/5; 13/5; 
Valencia; 14/5; 5/2; 5/2; 23/10; 71/25; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 11/5; 13/5; 13/5; 13/5; 27/11; 13/5; 28/11; 27/11; 53/20; 13/5; 13/5; 11/4; 13/5
META; spain/la-liga-primera/sevilla-v-valencia; 2018-03-10 12:17:12 GMT+2; 2018-03-10 15:15; e70300-dr003
Sevilla; 1; 1; 21/20; 21/20; 1; 10/11; 1; 1; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 39/40; 21/20; 21/20; 1; 21/20; 21/20; 21/20; ; ; ; ; 
Draw; 5/2; 13/5; 13/5; 13/5; 69/25; 11/4; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 27/10; 45/17; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 
Valencia; 14/5; 5/2; 5/2; 12/5; 141/0; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 27/11; 13/5; 28/11; 45/17; 13/5; 53/20; 27/11; 11/4; 14/5; 14/5; 14/5
