META; spain/la-liga-primera/barcelona-v-valencia; 2018-04-03 18:17:51 GMT+3; 2018-04-14 15:15; e70300-dr003
Draw; 5; 9/2; 9/2; 51/10; 5; 19/4; 9/2; 22/5; 9/2; 5; 9/2; 9/2; 5; 24/5; 11/2; 49/10; 22/5; 5; 63/13; 4; 24/5; ; ; 
Valencia; 15/2; 8; 17/2; 89/10; 9; 8; 17/2; 17/2; 8; 15/2; 8; 15/2; 8; 35/4; 8; 17/2; 8; 35/4; 8; 39/5; 9; 44/5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2018-04-11 12:53:48 GMT+3; 2018-04-14 15:15; e70300-dr003
Barcelona; 3/10; 3/10; 2/7; 3/10; 31/100; 1/4; 1/4; 2/9; 6/19; 2/7; 2/7; 2/7; 2/7; 2/7; 3/10; 5/18; 3/10; 2/7; 6/19; 2/7; 2/7; 1/4; 1/4; 2/7; 3/10
Draw; 19/4; 9/2; 19/4; 9/2; 27/5; 5; 19/4; 9/2; 24/5; 9/2; 5; 9/2; 19/4; 5; 9/2; 63/13; 9/2; 51/10; 19/4; 5; 49/10; 23/5; 4; 26/5; 
Valencia; 15/2; 8; 10; 15/2; 19/2; 19/2; 17/2; 17/2; 7; 17/2; 17/2; 9; 8; 35/4; 15/2; 87/10; 7; 19/2; 9; 43/5; 47/5; 46/5; ; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2018-04-11 20:17:44 GMT+3; 2018-04-14 15:15; e70300-dr003
Barcelona; 2/7; 3/10; 2/7; 3/10; 8/25; 1/4; 2/7; 2/9; 5/18; 2/7; 2/7; 3/10; 3/10; 30/00; 3/10; 2/7; 3/10; 3/10; 5/18; 2/7; 2/7; 3/10; 1/4; 2/7; 3/10
Draw; 9/2; 9/2; 9/2; 9/2; 27/5; 5; 19/4; 9/2; 5; 9/2; 5; 9/2; 9/2; 5; 9/2; 24/5; 9/2; 51/10; 24/5; 5; 63/13; 23/5; 4; 24/5; 
Valencia; 17/2; 8; 15/2; 9; 19/2; 17/2; 17/2; 9; 17/2; 17/2; 17/2; 15/2; 8; 17/2; 15/2; 42/5; 9; 17/2; 35/4; 9; 46/5; 44/5; ; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2018-04-12 10:45:02 GMT+3; 2018-04-14 15:15; e70300-dr003
Barcelona; 2/7; 3/10; 2/7; 3/10; 8/25; 2/7; 2/7; 2/9; 4/13; 2/7; 2/7; 3/10; 3/10; 30/00; 3/10; 2/7; 3/10; 3/10; 4/13; 2/7; 3/10; 2/7; 1/4; 3/10; 1/3
Draw; 5; 9/2; 9/2; 9/2; 27/5; 5; 19/4; 9/2; 23/5; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 24/5; 9/2; 51/10; 23/5; 5; 63/13; 9/2; 4; 24/5; 
Valencia; 17/2; 8; 15/2; 9; 19/2; 17/2; 17/2; 8; 17/2; 17/2; 17/2; 15/2; 8; 33/4; 15/2; 42/5; 8; 17/2; 17/2; 17/2; 42/5; 9; 44/5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2018-04-13 08:16:00 GMT+3; 2018-04-14 15:15; e70300-dr003
Barcelona; 2/7; 3/10; 2/7; 3/10; 8/25; 2/7; 2/7; 1/4; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 30/100; 3/10; 3/10; 3/10; 4/13; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 3/10; 3/10
Draw; 5; 9/2; 9/2; 9/2; 27/5; 5; 19/4; 5; 19/4; 19/4; 9/2; 9/2; 5; 9/2; 5; 9/2; 19/4; 19/4; 51/10; 23/5; 5; 24/5; 5; 24/5; 23/5; 21/5; 5
Valencia; 17/2; 8; 15/2; 9; 10; 17/2; 9; 17/2; 9; 17/2; 8; 17/2; 15/2; 8; 33/4; 8; 17/2; 9; 33/4; 9; 41/5; 49/5; 44/5; ; ; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2018-04-13 16:16:19 GMT+3; 2018-04-14 15:15; e70300-dr003
Barcelona; 2/7; 3/10; 2/7; 3/10; 8/25; 2/7; 2/7; 1/4; 3/10; 2/7; 2/7; 3/10; 2/7; 3/10; 30/00; 3/10; 4/13; 3/10; 4/13; 3/10; 3/10; 6/19; 2/7; 3/10; 3/10; 1/3; 3/10
Draw; 5; 9/2; 9/2; 9/2; 26/5; 5; 19/4; 5; 19/4; 9/2; 9/2; 9/2; 5; 5; 9/2; 9/2; 19/4; 51/10; 23/5; 5; 9/2; 5; 24/5; 5; 26/5; ; 
Valencia; 17/2; 8; 8; 19/2; 19/2; 17/2; 9; 17/2; 9; 17/2; 8; 10; 15/2; 17/2; 8; 8; 17/2; 19/2; 33/4; 9; 44/5; 9; 49/5; ; ; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2018-04-14 12:18:17 GMT+3; 2018-04-14 15:15; e70300-dr003
Barcelona; 2/7; 3/10; 3/10; 3/10; 1/3; 3/10; 2/7; 1/4; 3/10; 3/10; 2/7; 3/10; 3/10; 3/10; 30/00; 3/10; 4/13; 3/10; 4/13; 3/10; 3/10; 6/19; 3/10; 3/10; 3/10; 3/10; 3/10
Draw; 19/4; 9/2; 9/2; 9/2; 51/10; 5; 19/4; 9/2; 19/4; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 50/11; 19/4; 5; 23/5; 5; 49/11; 5; 24/5; 5; 5; ; 
Valencia; 17/2; 8; 8; 9; 17/2; 17/2; 17/2; 9; 17/2; 8; 17/2; 9; 15/2; 17/2; 33/4; 33/4; 77/10; 17/2; 9; 33/4; 17/2; 19/2; 46/5; 46/5; 49/5; ; 
