META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-12 10:30:47 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 1/33; 13/8
Lorca; 1/33; 17/10
Draw; 1/100; 19/10
META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-12 20:22:50 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 1/50; 13/8
Lorca; 1/50; 17/10
Draw; 1/100; 19/10
META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-13 12:25:47 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 1/33; 13/8
Lorca; 1/33; 17/10
Draw; 1/100; 19/10
META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-13 20:23:32 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 6/4; 6/4; 29/20; 6/4; 163/00; 6/4; 7/5; 7/5; 29/20; 6/4; 8/5; 6/4; 16/11; 23/17; 23/17; 7/5; 31/20; 29/20; 6/4; 10/11; 6/4
Lorca; 21/10; 19/10; 19/10; 9/5; 199/00; 15/8; 15/8; 2; 19/10; 19/10; 19/10; 15/8; 37/19; 2; 24/13; 2; 21/10; 39/20; 37/19; 10/9; 19/10
Draw; 2; 19/10; 2; 111/0; 15/8; 15/8; 21/10; 2; 19/10; 2; 11/5; 21/10; 21/10; 2; 21/10; 39/19; 6/5; 21/10; ; ; 
META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-14 20:22:17 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 29/20; 11/8; 11/8; 6/4; 73/50; 11/8; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 7/5; 7/5; 7/5; 7/5; 23/17; 23/17; 7/5; 29/20; 7/5; 7/5; 5/6; 5/4; 13/10; 7/5
META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-16 10:22:57 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 29/20; 11/8; 11/8; 13/10; 36/25; 11/8; 11/8; 11/8; 13/10; 11/8; 11/8; 11/8; 11/8; 11/8; 7/5; 7/5; 7/5; 23/17; 23/18; 29/20; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 
Lorca; 2; 2; 9/5; 43/20; 15/8; 15/8; 15/8; 28/13; 2; 2; 39/20; 2; 2; 24/13; 21/10; 2; 39/19; 19/10; 2; 21/10; ; ; ; ; ; ; 
Draw; 21/10; 2; 21/10; 11/5; 47/20; 19/10; 2; 15/8; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 28/13; 9/4; 21/10; 11/5; 9/4; 11/5; 28/13; 2; 21/10; 11/5; 23/10
META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-16 16:26:16 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 29/20; 11/8; 27/20; 13/10; 73/50; 11/8; 11/8; 11/8; 13/10; 27/20; 11/8; 11/8; 11/8; 11/8; 7/5; 11/8; 7/5; 7/5; 23/17; 23/18; 29/20; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5
Lorca; 2; 2; 9/5; 109/50; 15/8; 2; 15/8; 28/13; 2; 2; 2; 2; 24/13; 21/10; 21/10; 2; 39/19; 19/10; 2; 21/10; 21/10; ; ; ; ; ; 
Draw; 21/10; 2; 21/10; 11/5; 57/25; 19/10; 2; 15/8; 11/5; 21/10; 21/10; 21/10; 21/10; 41/20; 21/10; 21/10; 28/13; 9/4; 21/10; 11/5; 85/40; 11/5; 28/13; 2; 21/10; 11/5; 9/4
META; spain/la-liga-segunda/lorca-v-fc-barcelona-b; 2018-03-17 12:22:05 GMT+2; 2018-03-17 17:00; e70300-dr003
FC Barcelona B; 29/20; 11/8; 7/5; 29/20; 147/100; 13/10; 11/8; 5/4; 11/8; 11/8; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 23/18; 29/20; 29/20; 7/5; 7/5; 6/4; 7/5; 6/4
Lorca; 2; 19/10; 15/8; 11/5; 21/10; 2; 39/19; 2; 2; 39/20; 2; 39/19; 2; 24/13; 21/10; 21/10; 21/10; 39/19; 2; 21/10; 21/10; 21/10; ; ; ; ; 
Draw; 21/10; 2; 2; 9/4; 21/10; 2; 11/5; 2; 21/10; 2; 21/10; 41/20; 21/10; 2; 28/13; 9/4; 11/5; 28/13; 85/40; 11/5; 28/13; 21/10; 21/10; 11/5; 11/5; ; 
