META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-08 14:24:50 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 4/11; 1/3; 7/20; 2/7; 3/10; 6/17; 1/3; 1/3; 3/10; 1/3; 1/3; 4/13; 1/3; 4/13; 6/17; 1/3; 4/13; 3/10; 2/7; 4/11
Draw; 7/2; 18/5; 21/5; 7/2; 15/4; 29/10; 18/5; 18/5; 7/2; 17/5; 10/3; 50/13; 13/4; 37/10; 29/10; 19/5; 39/10; 7/2; 7/2; 4
Chester; 8; 10; 17/2; 17/2; 9; 17/2; 15/2; 8; 17/2; 9; 73/10; 9; 19/2; 35/4; 17/2; 6; 42/5; ; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-11 22:22:53 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 2/7; 3/10; 1/3; 1/3; 1/4; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 3/11; 1/3; 5/18; 3/10; 2/7; 3/11; 1/100; 1/4; 3/10
Draw; 4; 15/4; 17/5; 22/5; 18/5; 4; 15/4; 15/4; 18/5; 7/2; 7/2; 7/2; 17/4; 13/4; 19/5; 15/4; 21/5; 43/10; 1/3; 7/2; 22/5
Chester; 11; 10; 10; 19/2; 8; 10; 10; 8; 17/2; 19/2; 9; 39/5; 8; 10; 19/2; 3/10; 32/5; 46/5; ; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-12 02:22:38 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 2/7; 3/10; 1/3; 1/3; 1/4; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 3/11; 1/3; 5/18; 3/10; 2/7; 3/11; 1/100; 3/10
Draw; 4; 15/4; 17/5; 22/5; 18/5; 4; 15/4; 15/4; 18/5; 7/2; 7/2; 7/2; 21/5; 13/4; 19/5; 15/4; 21/5; 17/4; 1/3; 22/5
Chester; 11; 10; 10; 9; 10; 10; 8; 17/2; 19/2; 9; 39/5; 8; 10; 19/2; 3/10; 46/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-12 10:22:36 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 2/7; 3/10; 1/3; 1/3; 1/4; 2/7; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 3/11; 1/3; 5/18; 3/10; 2/7; 3/11; 1/100; 1/4; 3/10
Draw; 4; 15/4; 17/5; 22/5; 18/5; 4; 15/4; 15/4; 18/5; 7/2; 7/2; 7/2; 21/5; 13/4; 19/5; 15/4; 21/5; 17/4; 1/3; 7/2; 22/5
Chester; 11; 10; 10; 19/2; 8; 10; 10; 8; 17/2; 19/2; 9; 39/5; 8; 10; 39/4; 3/10; 32/5; 46/5; ; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-12 14:22:57 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 2/7; 1/4; 2/9; 1/5; 13/50; 1/5; 2/9; 2/9; 2/9; 2/9; 2/9; 1/4; 2/9; 1/5; 5/19; 3/14; 2/9; 2/9; 1/5; 1/9; 1/5; 1/4
Draw; 4; 9/2; 17/4; 9/2; 51/10; 4; 19/4; 22/5; 17/4; 21/5; 15/4; 4; 63/13; 15/4; 43/10; 22/5; 19/4; 49/10; 2; 23/5; 23/5; 
Chester; 11; 12; 14; 12; 27/2; 12; 12; 21/2; 14; 12; 11; 11; 11; 13; 11; 21/2; 21/2; 14; 53/4; 22/5; 38/5; 54/5
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-12 18:22:56 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 2/7; 3/10; 1/4; 1/5; 7/25; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 3/13; 2/9; 1/4; 2/9; 1/6; 1/4; 1/4
Draw; 4; 4; 9/2; 5; 9/2; 22/5; 4; 15/4; 19/5; 17/4; 4; 79/17; 15/4; 23/5; 22/5; 9/2; 47/10; 2; 24/5; ; ; ; 
Chester; 11; 10; 12; 12; 12; 11; 11; 21/2; 12; 12; 10; 10; 47/4; 11; 12; 21/2; 12; 12; 7/2; 34/5; 56/5; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-12 22:22:47 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 3/10; 1/4; 1/5; 2/7; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 3/13; 2/9; 1/4; 2/9; 1/4; 1/6; 1/4
Draw; 17/4; 4; 9/2; 5; 9/2; 22/5; 4; 15/4; 19/5; 17/4; 4; 79/17; 15/4; 23/5; 22/5; 9/2; 47/10; 9/2; 11/4; 24/5; ; ; 
Chester; 12; 10; 12; 12; 23/2; 11; 12; 21/2; 12; 11; 10; 10; 23/2; 11; 12; 21/2; 12; 23/2; 10; 1/100; 56/5; ; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-13 02:22:16 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 3/10; 1/4; 1/5; 7/25; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 3/13; 2/9; 1/4; 2/9; 1/4; 1/6; 1/4
Draw; 17/4; 4; 9/2; 5; 9/2; 22/5; 4; 21/5; 15/4; 19/5; 9/2; 4; 79/17; 15/4; 23/5; 22/5; 9/2; 47/10; 9/2; 11/4; 24/5; ; 
Chester; 12; 10; 12; 12; 12; 11; 12; 21/2; 12; 11; 10; 12; 10; 23/2; 11; 12; 21/2; 12; 23/2; 10; 1/100; 56/5; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-13 10:22:17 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 3/10; 1/4; 1/4; 2/7; 1/5; 2/9; 2/9; 1/4; 2/9; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 3/13; 2/9; 1/4; 2/9; 1/4; 1/6; 1/4
Draw; 17/4; 4; 9/2; 5; 9/2; 22/5; 4; 21/5; 15/4; 19/5; 9/2; 4; 79/17; 15/4; 23/5; 22/5; 9/2; 47/10; 9/2; 7/2; 24/5; ; 
Chester; 12; 10; 12; 11; 23/2; 12; 11; 21/2; 12; 12; 10; 12; 10; 23/2; 11; 11; 21/2; 12; 23/2; 10; 1/100; 56/5; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-13 14:22:55 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 3/10; 1/4; 1/4; 2/7; 1/5; 2/9; 2/9; 1/4; 2/9; 1/4; 1/4; 2/7; 2/9; 4/17; 5/19; 3/13; 2/9; 1/4; 4/17; 1/4; 2/11; 1/4; 1/4
Draw; 17/4; 4; 9/2; 5; 9/2; 22/5; 4; 21/5; 15/4; 19/5; 9/2; 4; 15/4; 23/5; 22/5; 9/2; 23/5; 9/2; 7/2; 4; 24/5; ; ; 
Chester; 12; 10; 12; 11; 23/2; 12; 11; 21/2; 12; 12; 10; 12; 10; 21/2; 11; 11; 21/2; 12; 21/2; 10; 1/100; 34/5; 56/5; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-13 18:23:01 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 3/10; 1/4; 1/4; 7/25; 1/5; 2/9; 2/9; 1/4; 2/9; 1/4; 1/4; 2/7; 2/9; 4/17; 5/19; 3/13; 2/9; 1/4; 4/17; 1/4; 1/4; 1/4; 1/4
Draw; 17/4; 4; 9/2; 5; 9/2; 22/5; 4; 21/5; 15/4; 19/5; 9/2; 4; 50/11; 15/4; 9/2; 22/5; 9/2; 23/5; 9/2; 7/2; 4; 24/5; ; 
Chester; 12; 10; 12; 11; 12; 12; 12; 21/2; 12; 12; 10; 12; 10; 21/2; 11; 12; 21/2; 12; 21/2; 10; 1/100; 34/5; 56/5; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-13 22:22:49 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 3/10; 1/4; 1/4; 7/25; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 3/13; 2/9; 1/4; 3/13; 1/4; 1/4; 1/4; 2/7
Draw; 17/4; 4; 21/5; 9/2; 5; 9/2; 22/5; 21/5; 4; 15/4; 19/5; 9/2; 4; 79/17; 15/4; 9/2; 22/5; 9/2; 47/10; 9/2; 7/2; 4; 24/5; 
Chester; 12; 10; 12; 11; 12; 12; 11; 21/2; 12; 12; 10; 12; 10; 45/4; 11; 12; 21/2; 12; 23/2; 10; 41/5; 34/5; 56/5; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-14 02:22:23 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 2/7; 1/4; 1/4; 2/7; 1/5; 2/9; 2/9; 1/4; 2/9; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 1/4; 2/9; 1/4; 2/9; 1/4; 2/7
Draw; 17/4; 4; 21/5; 9/2; 5; 9/2; 22/5; 21/5; 21/5; 15/4; 19/5; 9/2; 4; 47/10; 15/4; 23/5; 22/5; 9/2; 19/4; 9/2; 22/5; 24/5
Chester; 12; 11; 12; 11; 23/2; 12; 11; 21/2; 12; 12; 10; 12; 10; 45/4; 11; 19/2; 21/2; 12; 10; 52/5; 56/5; 
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-14 10:22:37 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 1/4; 1/4; 1/4; 2/7; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 3/11; 2/9; 1/4; 2/9; 1/4; 1/4; 1/4; 1/4
Draw; 17/4; 9/2; 4; 9/2; 49/10; 4; 9/2; 17/4; 4; 21/5; 15/4; 19/5; 9/2; 4; 79/17; 15/4; 43/10; 17/4; 9/2; 47/10; 9/2; 9/2; 4; 24/5
Chester; 12; 11; 12; 11; 12; 11; 11; 11; 12; 11; 10; 10; 12; 10; 12; 11; 19/2; 11; 12; 12; 10; 62/5; 34/5; 59/5
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-14 14:23:25 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Boreham Wood; 1/4; 2/7; 1/4; 1/4; 2/7; 1/5; 2/9; 2/9; 1/4; 1/4; 1/4; 1/4; 2/7; 2/9; 2/9; 5/19; 3/11; 2/9; 1/4; 3/13; 1/4; 1/4; 1/4; 1/4
Draw; 17/4; 4; 9/2; 49/10; 4; 9/2; 17/4; 4; 15/4; 19/5; 9/2; 4; 23/5; 15/4; 43/10; 17/4; 9/2; 79/17; 9/2; 22/5; 23/5; 23/5; ; 
Chester; 12; 10; 12; 11; 12; 12; 12; 11; 12; 12; 10; 10; 12; 10; 47/4; 11; 19/2; 11; 12; 47/4; 11; 62/5; 59/5; 64/5
META; english/non-league/national-league/boreham-wood-v-chester; 2018-04-14 18:22:40 GMT+3; 2018-04-14 15:00; In Play; Xlenovo
Boreham Wood; 1/100; 1/100; 1/100; 1/80; 1/100; 1/66; 1/100; 1/100; ; 
Draw; 25; 33; 40; 22; 45; 33; 17; 33; 100; 12
Chester; 150; 250; 200; 60; 200; 150; 70; 500; 500; 75
