META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-01 18:25:40 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 5/4; 5/4; 5/4; 8/13; 7/4
Halifax; 2; 21/10; 11/5; 20/21; 7/4; 
Draw; 9/4; 9/4; 11/5; 9/4; 11/10; 7/4
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-01 22:25:13 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 23/20; 6/5; 6/5; 5/4; 8/13; 7/4
Halifax; 2; 2; 21/10; 11/5; 20/21; 7/4; 
Draw; 9/4; 11/5; 9/4; 9/4; 9/4; 11/10; 7/4
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-02 02:24:54 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 21/20; 6/5; 23/20; 20/23; 21/20; 6/5; 4/6; 7/4
Draw; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 21/10; 6/5; 7/4
Halifax; 2; 23/10; 21/10; 12/5; 11/4; 23/10; 13/5; 10/9; 7/4
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-02 10:25:11 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 21/20; 6/5; 11/10; 20/23; 21/20; 23/20; 8/13; 7/4
Draw; 9/4; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 6/5; 7/4
Halifax; 2; 23/10; 11/5; 5/2; 11/4; 12/5; 27/10; 10/9; 7/4
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-02 14:26:35 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 6/5; 6/5; 1/4; 21/20; 5/4; 5/4; 1/100; 7/4
Draw; 9/4; 21/10; 11/5; 21/10; 15/4; 11/5; 9/4; 47/20; 1/100; 7/4
Halifax; 2; 11/5; 21/10; 9/4; 9; 23/10; 23/10; 21/10; 1/100; 7/4
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-02 18:26:06 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 6/5; 6/5; 11/10; 20/23; 21/20; 23/20; 1/100; 7/4
Draw; 9/4; 21/10; 11/5; 21/10; 11/5; 21/10; 9/4; 1/100; 7/4
Halifax; 2; 19/10; 21/10; 5/2; 11/4; 12/5; 5/2; 1/100; 7/4
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-02 22:24:04 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 27/20; 11/10; 6/5; 23/20; 20/23; 11/10; 23/20; 1/100; 13/10
Draw; 9/4; 62/25; 2; 11/5; 21/10; 21/10; 21/10; 9/4; 1/100; 12/5
Halifax; 2; 11/5; 12/5; 21/10; 12/5; 14/5; 21/10; 5/2; 1/100; 21/10
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-03 02:23:35 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 6/5; 27/20; 11/10; 6/5; 6/5; 23/20; 6/5; 23/20; 1/100; 5/4
Draw; 9/4; 9/4; 62/25; 21/10; 11/5; 21/10; 21/10; 21/10; 9/4; 1/100; 23/10
Halifax; 2; 21/10; 11/5; 11/5; 21/10; 23/10; 21/10; 2; 5/2; 1/100; 21/10
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-03 10:23:42 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 6/5; 27/20; 11/10; 6/5; 13/11; 6/5; 23/20; 6/5; 6/5; 5/4; 13/11; 23/20; 6/5; 1/100; 5/4
Halifax; 2; 21/10; 11/5; 11/5; 21/10; 39/19; 9/4; 21/10; 2; 2; 39/19; 12/5; 39/19; 1/100; 21/10; 
Draw; 9/4; 9/4; 62/25; 21/10; 9/4; 23/10; 21/10; 21/10; 21/10; 9/4; 11/5; 23/10; 9/4; 9/4; 1/100; 23/10
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-03 14:23:48 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 23/20; 6/5; 6/5; 131/100; 11/10; 6/5; 13/11; 6/5; 6/5; 23/20; 5/4; 11/10; 15/13; 5/4; 6/5; 13/11; 23/20; 15/13; 1/100; 6/5
Halifax; 21/10; 11/5; 21/10; 57/25; 11/5; 21/10; 39/19; 11/5; 9/4; 21/10; 21/10; 21/10; 39/19; 2; 79/40; 39/19; 12/5; 21/10; 1/100; 11/5
Draw; 9/4; 21/10; 9/4; 62/25; 21/10; 9/4; 23/10; 21/10; 11/5; 21/10; 23/10; 21/10; 9/4; 11/5; 9/4; 23/10; 9/4; 9/4; 1/100; 23/10
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-03 18:23:53 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 11/10; 23/20; 6/5; 23/20; 31/25; 11/10; 11/10; 13/11; 6/5; 23/20; 11/10; 6/5; 11/10; 15/13; 5/4; 7/6; 13/11; 23/20; 15/13; 1/100; 6/5
Draw; 9/4; 2; 2; 47/20; 2; 11/5; 23/10; 2; 11/5; 2; 11/5; 2; 11/5; 11/5; 21/10; 23/10; 85/40; 11/5; 1/100; 23/10; 
Halifax; 11/5; 5/2; 12/5; 12/5; 64/25; 23/10; 23/10; 39/19; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 2; 28/13; 39/19; 13/5; 23/10; 1/100; 5/2
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-03 22:23:48 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; 23/20; 23/20; 23/20; 61/50; 11/10; 11/10; 13/11; 23/20; 23/20; 11/10; 23/20; 11/10; 11/10; 5/4; 19/17; 13/11; 11/10; 11/10; 1/50; 1/100; 6/5
Draw; 23/10; 2; 2; 119/50; 21/10; 21/10; 23/10; 2; 21/10; 2; 11/5; 2; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 1/100; 23/10; ; 
Halifax; 12/5; 5/2; 12/5; 12/5; 129/50; 23/10; 12/5; 39/19; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 2; 9/4; 39/19; 27/10; 40/17; 1/100; 5/2; 
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-04 02:23:16 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; 11/10; 23/20; 23/20; 61/50; 11/10; 11/10; 13/11; 23/20; 23/20; 11/10; 23/20; 11/10; 11/10; 5/4; 19/17; 13/11; 11/10; 11/10; 2/7; 6/5
Draw; 23/10; 21/10; 2; 119/50; 21/10; 21/10; 23/10; 2; 21/10; 2; 11/5; 21/10; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 4/9; 23/10; 
Halifax; 12/5; 13/5; 12/5; 12/5; 129/50; 23/10; 12/5; 39/19; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 2; 9/4; 39/19; 27/10; 40/17; 4/9; 5/2
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-04 10:23:17 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; 11/10; 23/20; 23/20; 31/25; 11/10; 11/10; 13/11; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 5/4; 19/17; 13/11; 11/10; 15/13; 2/7; 6/5; 
Draw; 23/10; 21/10; 2; 47/20; 21/10; 21/10; 23/10; 2; 21/10; 2; 23/10; 2; 28/13; 11/5; 21/10; 23/10; 11/5; 11/5; 4/9; 23/10; ; 
Halifax; 12/5; 13/5; 12/5; 12/5; 64/25; 23/10; 12/5; 39/19; 12/5; 12/5; 23/10; 5/2; 12/5; 40/17; 2; 9/4; 39/19; 27/10; 40/17; 4/9; 1/33; 5/2
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-04 14:23:27 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; 11/10; 23/20; 23/20; 31/25; 11/10; 11/10; 13/11; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 5/4; 19/17; 13/11; 11/10; 15/13; 23/20; 11/10; 6/5
Draw; 23/10; 21/10; 2; 47/20; 21/10; 21/10; 23/10; 2; 21/10; 2; 23/10; 2; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 19/10; 19/10; 23/10; 
Halifax; 12/5; 13/5; 12/5; 12/5; 64/25; 23/10; 12/5; 39/19; 12/5; 12/5; 23/10; 5/2; 12/5; 23/10; 2; 9/4; 39/19; 27/10; 40/17; 23/10; 12/5; 5/2
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-04 18:23:30 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; 11/10; 23/20; 23/20; 31/25; 11/10; 11/10; 13/11; 23/20; 23/20; 11/10; 23/20; 6/5; 11/10; 15/13; 5/4; 19/17; 13/11; 11/10; 15/13; 1; 11/10; 6/5
Draw; 23/10; 21/10; 21/10; 21/10; 121/50; 2; 11/5; 11/5; 21/10; 21/10; 2; 41/20; 21/10; 9/4; 21/10; 28/13; 11/5; 11/5; 23/10; 9/4; 23/10; 12/5; 
Halifax; 10/3; 29/10; 3; 17/5; 16/5; 3; 37/13; 3; 14/5; 3; 16/5; 14/5; 58/19; 29/10; 58/19; 37/13; 3; 58/19; 14/5; 14/5; 3; ; 
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-07 10:23:37 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 17/20; 10/11; 10/11; 19/20; 19/20; 17/20; 10/11; 9/10; 10/11; 10/11; 20/23; 19/20; 10/11; 17/20; 13/15; 19/20; 19/20; 9/10; 37/40; 13/15; 20/21; 20/21; 20/21
Draw; 23/10; 21/10; 21/10; 21/10; 61/25; 11/5; 9/4; 9/4; 21/10; 11/5; 21/10; 21/10; 5/2; 21/10; 23/10; 21/10; 11/5; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10
Halifax; 10/3; 3; 16/5; 17/5; 7/2; 31/10; 16/5; 56/19; 16/5; 16/5; 3; 100/30; 3; 16/5; 29/10; 31/10; 56/19; 33/10; 13/4; 10/3; 7/2; 10/3; 
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-07 14:24:39 GMT+3; 2018-04-07 15:00; Nothing; Xlenovo
Boreham Wood; 17/20; 10/11; 20/23; 19/20; 19/20; 17/20; 10/11; 9/10; 20/23; 10/11; 20/23; 9/10; 10/11; 17/20; 13/15; 19/20; 9/10; 9/10; 20/23; 13/15; 20/21; 20/21; 20/21
Draw; 23/10; 21/10; 21/10; 21/10; 59/25; 11/5; 11/5; 9/4; 21/10; 11/5; 19/10; 41/20; 12/5; 2; 9/4; 21/10; 28/13; 9/4; 9/4; 9/4; 11/5; 23/10; 
Halifax; 10/3; 16/5; 10/3; 17/5; 73/20; 16/5; 16/5; 56/19; 13/4; 16/5; 10/3; 16/5; 7/2; 16/5; 33/10; 29/10; 38/11; 56/19; 18/5; 57/17; 7/2; 7/2; 10/3
META; english/non-league/national-league/halifax-v-boreham-wood; 2018-04-07 18:24:13 GMT+3; 2018-04-07 15:00; In Play; Xlenovo
Draw; 21/20; 5/4; 23/20; 23/20; 63/25; 13/12; 21/20; 11/10; 11/10; 23/10; 11/10; 40/17; 40/17
Halifax; 4; 16/5; 18/5; 3/4; 18/5; 15/4; 10/3; 7/2; 3/5; 7/2; 6/11; 4/7; 
Boreham Wood; 7/4; 13/8; 8/5; 29/20; 21/5; 8/5; 8/5; 7/4; 7/4; 19/4; 8/5; 29/5; 76/13
