META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 16:15:16 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; ; 4/6; 4/6; ; 8/13; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-19 04:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 16/5; 11/4; 10/3; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 11/4; 
Monaco; 17/4; 18/5; 19/5; 7/2; 19/5; 7/2; 19/5; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-19 08:15:06 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 16/5; 11/4; 10/3; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 14/5; 11/4; 
Monaco; 17/4; 18/5; 18/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 10/3; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-19 12:15:05 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 29/10; 10/3; 16/5; 11/4; 10/3; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 3; 3; ; 14/5; 14/5; 7/2
Monaco; 17/4; 7/2; 37/10; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 4; 19/5; 4; 4; 19/5; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-19 16:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; ; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 29/10; 10/3; 16/5; 11/4; 10/3; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; ; 3; 3; 3; ; 14/5; 11/4; 7/2
Monaco; 17/4; 18/5; 37/10; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; ; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-19 20:15:05 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 29/10; 10/3; 10/3; 11/4; 10/3; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 11/4; 7/2
Monaco; 17/4; 18/5; 37/10; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-20 00:15:07 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 6/10; 11/17; ; 8/13; 4/7; 8/13
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 29/10; 10/3; 10/3; 11/4; 10/3; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 7/2; 15/4; 4; 7/2; 4; 39/10; 4; 4; 39/10; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-20 04:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 8/13
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-20 08:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 11/17; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 10/3; 41/13; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 39/10; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-20 12:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-20 16:15:05 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 10/3; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-20 20:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-21 00:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 15/4; 15/4; 7/2; 4; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-21 04:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 15/4; 15/4; 7/2; 4; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-21 08:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-21 12:15:04 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 19/29; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 29/10; 10/3; 10/3; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 7/2; 4; 15/4; 15/4; 4; 7/2; 4; 50/13; 4; 4; 50/13; 41/10; 18/5; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-21 16:15:06 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 14/5; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 4; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-22 00:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 27/10; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 4; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-22 04:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 11/4; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 4; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-22 08:15:03 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 6/10; 11/17; ; 8/13; ; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 16/5; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; ; 7/2
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 15/4; 4; 7/2; 4; 39/10; 4; 4; 39/10; 41/10; 62/17; 4; 15/4; 4; ; 7/2; ; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-23 13:18:52 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 11/17; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 33/10; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 33/10; 14/5; 3; 33/10; 71/20; 33/10; 3; 16/5; 3; ; 3; 3; 
