META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-20 20:23:48 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; ; ; 21/20; 11/10; 11/10; ; 11/10; ; 21/20; ; 21/20; ; ; 21/20; 111/100; 10/9; ; ; ; ; 1; 21/20; 
Cordoba; 14/5; 13/5; 5/2; 13/5; 11/4; 12/5; ; 13/5; 12/5; 13/5; 12/5; 5/2; 51/20; ; 13/5; ; 27/10; 27/10; 14/5; 27/10; 31/10; 40/17; 56/19; 13/5; 3; ; 12/5; 5/2; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-21 16:25:30 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; ; 1; 11/10; 23/20; 23/20; 11/10; 11/10; ; 23/20; ; 11/10; 11/10; 20/21; 11/10; 111/100; 9/8; 39/40; 11/10; 1; ; 1; 10/9; 6/5
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 2; 11/5; 11/5; ; 21/10; ; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 21/10; 11/5
Cordoba; 14/5; 13/5; 49/20; 13/5; 11/4; 12/5; ; 13/5; 12/5; 13/5; 12/5; 5/2; 51/20; ; 13/5; ; 13/5; 27/10; 14/5; 13/5; 31/10; 23/10; 56/19; 12/5; 3; ; 12/5; 5/2; 11/4
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-22 00:23:27 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 21/20; ; 1; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 111/100; 9/8; 15/14; 11/10; 13/12; ; 11/10; 21/20; 6/5
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 2; 11/5
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 5/2; 51/20; 23/10; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 31/10; 23/10; 45/17; 12/5; 27/10; ; 12/5; 12/5; 11/4
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-22 04:22:07 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 1; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 111/100; 9/8; 15/14; 11/10; 13/12; ; 11/10; 21/20; 6/5
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 2; 11/5
Cordoba; 11/4; 5/2; 49/20; 13/5; 11/4; 12/5; ; 13/5; 12/5; 13/5; 12/5; 5/2; 51/20; 23/10; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 31/10; 23/10; 45/17; 12/5; 27/10; ; 12/5; 12/5; 11/4
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-22 08:22:42 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 1; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 15/13; 11/10; 21/20; 15/13; 111/100; 9/8; 15/14; 11/10; 13/12; ; 11/10; ; 6/5
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 2; 39/19; 2; 21/10; 39/19; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; ; 11/5
Cordoba; 11/4; 5/2; 49/20; 13/5; 11/4; 12/5; ; 13/5; 12/5; 13/5; 12/5; 5/2; 51/20; 23/10; 13/5; 13/5; 5/2; 27/10; 13/5; 5/2; 31/10; 23/10; 45/17; 12/5; 27/10; ; 5/2; ; 11/4
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-22 12:41:39 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 11/10; 11/10; ; 1; 11/10; 23/20; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 111/100; 9/8; 15/14; 11/10; 13/12; ; 1; 10/9; 6/5
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 2; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 21/10; 11/5
Cordoba; 11/4; 5/2; 49/20; 13/5; 11/4; 12/5; ; 13/5; 12/5; 13/5; 12/5; 5/2; 51/20; 23/10; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 31/10; 23/10; 45/17; 12/5; 27/10; ; 5/2; 12/5; 11/4
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-23 13:29:14 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 23/20; 11/10; 15/13; 15/13; 21/20; 15/13; 111/100; 9/8; 15/14; 11/10; 13/12; ; 21/20; 10/9; 
Draw; 21/10; 21/10; 41/20; 21/10; 11/5; 41/20; ; 21/10; 2; 21/10; 2; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 11/5; 39/19; 28/13; 21/10; 11/5; ; 2; 21/10; 
Cordoba; 11/4; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 12/5; 51/20; 23/10; 13/5; 13/5; 28/11; 27/10; 13/5; 28/11; 31/10; 23/10; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-23 16:26:06 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 11/10; 15/13; 21/20; 11/10; 111/100; 9/8; 15/14; 23/20; 13/12; ; 21/20; 23/20; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 11/5; 21/10; 21/10; 2; 39/19; 21/10; 21/10; 39/19; 11/5; 39/19; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 11/4; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 12/5; 51/20; 23/10; 13/5; 13/5; 45/17; 27/10; 13/5; 45/17; 31/10; 23/10; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-23 20:25:32 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 15/13; 15/13; 21/20; 15/13; 111/100; 9/8; 15/14; 23/20; 13/12; ; 21/20; 10/9; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 11/5; 21/10; 21/10; 2; 39/19; 21/10; 21/10; 39/19; 11/5; 39/19; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 12/5; 51/20; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 31/10; 23/10; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-24 00:23:36 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 15/13; 15/13; 21/20; 15/13; 111/100; 9/8; 15/14; 23/20; 13/12; ; 11/10; 10/9; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 11/5; 39/19; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 12/5; 51/20; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 31/10; 23/10; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-24 04:23:01 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 15/13; 15/13; 21/20; 15/13; 111/100; 9/8; 15/14; 23/20; 13/12; ; 11/10; 10/9; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 11/5; 21/10; 21/10; 2; 39/19; 21/10; 21/10; 39/19; 11/5; 39/19; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 12/5; 51/20; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 31/10; 23/10; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-24 08:20:52 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; ; 15/13; 21/20; 15/13; 111/100; 9/8; 15/14; 23/20; 13/12; ; 11/10; 10/9; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 11/5; 21/10; 21/10; 2; ; 21/10; 21/10; 39/19; 11/5; 39/19; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 12/5; 51/20; 23/10; 13/5; 13/5; ; 27/10; 13/5; 27/10; 31/10; 23/10; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-24 12:24:04 GMT+2; 2017-04-04 18:00; e70300-dr003
Draw 1-1; 5; ; 11/2; 6; ; ; 11/2; ; 5; 5; 5; 5; 21/4; ; 11/2; 5; 91/17; ; ; 91/17; ; 57/10; ; ; ; ; ; ; 
FC Koln 1-0; 11/2; ; 6; 11/2; ; ; 6; ; 11/2; 11/2; 11/2; 11/2; 21/4; ; 11/2; 5; 21/4; ; ; 21/4; ; 28/5; ; ; ; ; ; ; 
Draw 0-0; 15/2; ; 8; 8; ; ; 15/2; ; 15/2; 15/2; 15/2; 7; 7; ; 15/2; 7; 13/2; ; ; 13/2; ; 17/2; ; ; ; ; ; ; 
FC Koln 2-1; 8; ; 17/2; 8; ; ; 17/2; ; 8; 15/2; 8; 15/2; 15/2; ; 15/2; 15/2; 31/4; ; ; 31/4; ; 83/10; ; ; ; ; ; ; 
Eintracht Frankfurt 1-0; 17/2; ; 9; 17/2; ; ; 9; ; 17/2; 17/2; 17/2; 9; 17/2; ; 8; 8; 31/4; ; ; 31/4; ; 43/5; ; ; ; ; ; ; 
FC Koln 2-0; 15/2; ; 9; 17/2; ; ; 17/2; ; 8; 8; 8; 8; 8; ; 8; 15/2; 15/2; ; ; 15/2; ; 41/5; ; ; ; ; ; ; 
Eintracht Frankfurt 2-1; 12; ; 13; 12; ; ; 13; ; 12; 12; 12; 11; 11; ; 11; 11; 45/4; ; ; 45/4; ; 13; ; ; ; ; ; ; 
Draw 2-2; 16; ; 16; 16; ; ; 15; ; 14; 14; 14; 12; 14; ; 12; 14; 31/2; ; ; 31/2; ; 18; ; ; ; ; ; ; 
FC Koln 3-1; 16; ; 18; 18; ; ; 19; ; 16; 16; 18; 16; 16; ; 14; 16; 16; ; ; 16; ; 18; ; ; ; ; ; ; 
Eintracht Frankfurt 2-0; 18; ; 20; 18; ; ; 19; ; 18; 18; 18; 18; 18; ; 14; 16; 31/2; ; ; 31/2; ; 18; ; ; ; ; ; ; 
FC Koln 3-0; 16; ; 20; 18; ; ; 19; ; 16; 16; 18; 16; 18; ; 14; 16; 63/4; ; ; 63/4; ; 18; ; ; ; ; ; ; 
FC Koln 3-2; 33; ; 33; 33; ; ; 35; ; 33; 28; 33; 25; 30; ; 22; 28; 113/4; ; ; 113/4; ; 38; ; ; ; ; ; ; 
Eintracht Frankfurt 3-1; 33; ; 35; 33; ; ; 35; ; 33; 33; 33; 28; 33; ; 25; 28; 117/4; ; ; 117/4; ; 39; ; ; ; ; ; ; 
Any Other Score; ; ; 40; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; 42; ; ; ; ; ; ; 
Eintracht Frankfurt 3-2; 40; ; 45; 50; ; ; 45; ; 50; 40; 40; 33; 45; ; 33; 40; 75/2; ; ; 75/2; ; 50; ; ; ; ; ; ; 
FC Koln 4-0; 40; ; 50; 40; ; ; 50; ; 40; 40; 45; 40; 45; ; 40; 40; 145/4; ; ; 145/4; ; 50; ; ; ; ; ; ; 
FC Koln 4-1; 40; ; 45; 40; ; ; 50; ; 40; 40; 45; 33; 40; ; 33; 40; 145/4; ; ; 145/4; ; 50; ; ; ; ; ; ; 
Eintracht Frankfurt 3-0; 40; ; 50; 50; ; ; 55; ; 50; 50; 50; 40; 50; ; 40; 40; 75/2; ; ; 75/2; ; 50; ; ; ; ; ; ; 
FC Koln 4-2; 50; ; 80; 66; ; ; 75; ; 80; 66; 70; 50; 66; ; 50; 50; 225/4; ; ; 225/4; ; 100; ; ; ; ; ; ; 
Draw 3-3; 50; ; 75; 80; ; ; 75; ; 80; 66; 70; 50; 70; ; 66; 50; 117/2; ; ; 117/2; ; 110; ; ; ; ; ; ; 
FC Koln 5-0; 80; ; ; 125; ; ; 110; ; 100; 100; 100; 80; 125; ; 100; 80; 143/2; ; ; 143/2; ; ; ; ; ; ; ; ; 
FC Koln 5-1; 80; ; ; 125; ; ; 110; ; 100; 100; 100; 80; 125; ; 80; 80; 143/2; ; ; 143/2; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 4-1; 80; ; 120; 100; ; ; 110; ; 100; 100; 90; 80; 100; ; 80; 66; 68; ; ; 68; ; 140; ; ; ; ; ; ; 
Eintracht Frankfurt 4-2; 100; ; 150; 125; ; ; 150; ; 100; 125; 100; 80; 125; ; 80; 80; 309/4; ; ; 309/4; ; 190; ; ; ; ; ; ; 
Eintracht Frankfurt 4-0; 100; ; 150; 125; ; ; 150; ; 100; 125; 125; 100; 125; ; 100; 100; 309/4; ; ; 309/4; ; 200; ; ; ; ; ; ; 
Eintracht Frankfurt 5-4; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 8-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 8-1; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 9-0; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 5-2; 150; ; ; 200; ; ; 175; ; ; 150; 125; 100; 150; ; 150; 100; 89; ; ; 89; ; ; ; ; ; ; ; ; 
FC Koln 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 8-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 8-1; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 9-0; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 7-0; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 7-1; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 4-3; 125; ; 175; 125; ; ; 150; ; ; 125; 125; 80; 125; ; 100; 100; 347/4; ; ; 347/4; ; 260; ; ; ; ; ; ; 
FC Koln 6-0; 300; ; ; 300; ; ; 275; ; 100; 250; 150; ; 175; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 6-1; 300; ; ; 300; ; ; 275; ; ; 250; 150; ; 175; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 4-3; 200; ; 225; 150; ; ; 200; ; ; 175; 150; 100; 150; ; 150; 125; ; ; ; ; ; 350; ; ; ; ; ; ; 
Eintracht Frankfurt 5-1; 350; ; ; 300; ; ; 300; ; 100; 275; 150; ; 175; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 5-3; ; ; ; ; ; ; 350; ; ; 400; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 5-3; 400; ; ; ; ; ; 300; ; ; 275; 150; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 450; ; 250; 200; ; ; 325; ; ; 300; 150; ; 175; ; ; 150; ; ; ; ; ; 350; ; ; ; ; ; ; 
FC Koln 5-4; ; ; ; ; ; ; ; ; ; 475; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 5-0; 450; ; ; 500; ; ; 350; ; 100; 325; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 5-2; 450; ; ; 500; ; ; 325; ; ; 300; 150; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 6-0; ; ; ; 500; ; ; 225; ; 100; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 6-1; ; ; ; 500; ; ; 225; ; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Eintracht Frankfurt 6-2; ; ; ; 500; ; ; 225; ; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 6-2; 500; ; ; 500; ; ; 350; ; ; 350; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 6-3; ; ; ; ; ; ; ; ; ; 500; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 7-0; ; ; ; 500; ; ; 350; ; ; 475; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Koln 7-1; ; ; ; 500; ; ; 350; ; ; 475; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-24 16:24:58 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 15/13; 15/13; 21/20; ; 23/20; 9/8; 15/14; 23/20; 13/12; ; 11/10; 10/9; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 11/5; 21/10; 21/10; 2; 21/10; 21/10; 21/10; ; 11/5; 39/19; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 14/5; 5/2; 49/20; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 12/5; 12/5; 51/20; 23/10; 13/5; 13/5; 27/10; 27/10; 13/5; ; 61/20; 23/10; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-24 20:26:00 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 1; 11/10; 6/5; 6/5; 23/20; 11/10; 6/5; 23/20; 11/10; 15/13; 15/13; 21/20; 15/13; 117/100; 9/8; 15/14; 6/5; 13/12; ; 10/9; 23/20; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; 2; 2; 11/5; 11/5; 11/5; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 11/5; 39/19; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 14/5; 5/2; 12/5; 13/5; 13/5; 12/5; ; 13/5; 12/5; 13/5; 23/10; 12/5; 51/20; 23/10; 13/5; 13/5; 13/5; 27/10; 13/5; 27/10; 147/50; 23/10; 45/17; 5/2; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-25 00:27:10 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 11/10; 11/10; ; 23/20; 23/20; 23/20; 6/5; 6/5; 11/10; 15/13; 15/13; 21/20; 15/13; 117/100; 13/11; 15/14; 23/20; 13/12; ; 10/9; 23/20; 
Draw; 21/10; 2; 41/20; 21/10; 11/5; 2; ; 21/10; 2; ; 2; 11/5; 11/5; 11/5; 21/10; 11/5; 39/19; 21/10; 21/10; 39/19; 11/5; 2; 28/13; 2; 11/5; ; 19/10; 2; 
Cordoba; 14/5; 5/2; 12/5; 13/5; 13/5; 23/10; ; 12/5; 23/10; ; 23/10; 12/5; 5/2; 12/5; 5/2; 5/2; 13/5; 27/10; 13/5; 13/5; 147/50; 9/4; 45/17; 12/5; 27/10; ; 23/10; 12/5; 
META; spain/la-liga-segunda/sevilla-b-v-cordoba; 2017-03-25 04:24:36 GMT+2; 2017-03-26 16:00; e70300-dr003
Sevilla B; 11/10; 11/10; 23/20; 21/20; 23/20; 11/10; ; 11/10; 11/10; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 21/20; 15/13; 117/100; 13/11; 15/14; 6/5; 13/12; ; 10/9; 10/9; 
