META; english/championship/sheffield-utd-v-burton; 2018-02-27 18:17:36 GMT+2; 2018-03-03 15:00; e70300-dr003
Draw; 7/2; 3; 3; 67/20; 10/3; 3; 16/5; 3; 16/5; 3; 14/5; 3; 16/5; 3; 31/10; 16/5; 16/5; 31/10; 7/2; 16/5; 41/13; 3; 10/3; 3; 10/3; 
Burton; 8; 15/2; 15/2; 15/2; 37/5; 13/2; 11/2; 7; 15/2; 15/2; 7; 7; 7; 27/4; 27/4; 34/5; 7; 9; 27/4; 38/5; 38/5; 37/5; ; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-13 12:20:59 GMT+2; 2018-03-13 19:45; e70300-dr003
Sheffield Utd; 1/2; 4/9; 8/15; 4/9; 27/50; 40/85; 7/15; 4/9; 5/11; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 4/9; 17/35; 5/12; 18/35; 4/9; 9/20; 1/2; 17/35; 1/2; 1/2; 1/2; 1/2
Draw; 10/3; 16/5; 3; 33/10; 10/3; 16/5; 3; 16/5; 3; 14/5; 16/5; 14/5; 3; 58/19; 16/5; 58/19; 31/10; 10/3; 3; 31/10; 14/5; 3; 11/4; 3; ; ; 
Burton; 7; 7; 15/2; 63/10; 15/2; 13/2; 7; 7; 15/2; 13/2; 6; 13/2; 13/2; 7; 13/2; 27/4; 6; 8; 13/2; 13/2; 38/5; 39/5; 33/5; 39/5; ; ; 
META; english/championship/sheffield-utd-v-burton; 2018-03-13 20:18:50 GMT+2; 2018-03-13 19:45; e70300-dr003
Sheffield Utd; 1/2; 1/2; 8/15; 1/2; 53/00; 1/2; 1/2; 4/9; 10/21; 8/15; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 17/35; 5/11; 18/35; 6/13; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15
Draw; 16/5; 29/10; 29/10; 14/5; 13/4; 16/5; 3; 3; 3; 3; 29/10; 14/5; 14/5; 58/19; 31/10; 58/19; 3; 16/5; 3; 3; ; ; ; ; ; ; 
Burton; 7; 13/2; 7; 13/2; 67/10; 7; 13/2; 13/2; 7; 7; 6; 13/2; 13/2; 13/2; 13/2; 25/4; 6; 7; 13/2; 7; 36/5; 36/5; 37/5; ; ; ; 
