META; english/championship/middlesbrough-v-leeds; 2018-02-27 18:17:10 GMT+2; 2018-03-02 19:45; e70300-dr003
Middlesbrough; 8/11; 5/6; 3/4; 4/5; 81/100; 19/20; 3/4; 10/11; 4/5; ; 3/4; 3/4; ; 4/5; 4/5; 4/5; 14/19; 4/5; 10/13; 4/5; 3/4; 3/4; 14/19; ; 4/5; 4/6; 8/11
Draw ; 13/5; 12/5; 12/5; 5/2; 131/50; 23/10; 5/2; 9/4; 5/2; ; 5/2; 12/5; ; 49/20; 5/2; 5/2; 27/11; 12/5; 13/5; 27/11; 13/5; 5/2; 27/11; ; 23/10; 23/10; 13/5
Leeds; 15/4; 18/5; 4; 18/5; 21/5; 16/5; 15/4; 3; 18/5; ; 19/5; 4; ; 4; 15/4; 15/4; 15/4; 7/2; 15/4; 18/5; 4; 4; 19/5; ; 7/2; 10/3; 21/5
META; english/championship/middlesbrough-v-leeds; 2018-03-01 15:59:23 GMT+2; ; e70300-dr003
Middlesbrough d l w l w d; 5/6; 3/4; 3/4; 4/5; 41/50; 10/11; 4/5; 5/6; 4/5; 4/5; 4/5; 3/4; 5/7; 4/5; 5/6; 4/5; 4/5; 5/6; 10/13; 4/5; 4/5; 3/4; 4/5; 5/6; 5/6; 4/5
; 5/2; 5/2; 12/5; 5/2; 131/50; 5/2; 5/2; 23/10; 27/11; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 40/17; 12/5; 5/2; 12/5; 5/2; 5/2; 40/17; 12/5; 12/5; 5/2
Leeds; 4; 15/4; 18/5; 39/10; 4; 15/4; 7/2; 39/10; 19/5; 4; 15/4; 15/4; 19/5; 15/4; 15/4; 39/11; 15/4; 62/17; 19/5; 4; 15/4; 39/11; 4; 21/5; ; 
META; english/championship/middlesbrough-v-leeds; 2018-03-02 08:20:36 GMT+2; 2018-03-02 19:45; e70300-dr003
Middlesbrough; 17/20; 4/5; 4/5; 4/5; 43/50; 17/20; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 17/20; 4/5; 4/5; 5/6; 9/11; 7/9; 17/20; 5/6; 4/5; 5/6; 5/6; 5/6
; 5/2; 5/2; 12/5; 5/2; 127/50; 5/2; 12/5; 23/10; 27/11; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 40/17; 12/5; 5/2; 12/5; 5/2; 5/2; 40/17; 12/5; 12/5; 5/2
Leeds; 4; 15/4; 18/5; 4; 15/4; 7/2; 39/10; 19/5; 4; 15/4; 15/4; 19/5; 15/4; 15/4; 7/2; 15/4; 62/17; 19/5; 4; 15/4; 39/11; 4; 21/5; ; ; 
META; english/championship/middlesbrough-v-leeds; 2018-03-02 09:00:10 GMT+2; 2018-03-02 19:45; e70300-dr003
Middlesbrough; 17/20; 4/5; 4/5; 4/5; 43/50; 17/20; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 17/20; 4/5; 4/5; 5/6; 9/11; 7/9; 17/20; 5/6; 4/5; 5/6; 5/6; 5/6
; 5/2; 5/2; 12/5; 5/2; 127/50; 5/2; 12/5; 23/10; 27/11; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 40/17; 12/5; 5/2; 12/5; 5/2; 5/2; 40/17; 12/5; 12/5; 5/2
Leeds; 4; 15/4; 18/5; 4; 15/4; 7/2; 39/10; 19/5; 4; 15/4; 15/4; 19/5; 15/4; 15/4; 7/2; 15/4; 62/17; 19/5; 4; 15/4; 39/11; 4; 21/5; ; ; 
META; english/championship/middlesbrough-v-leeds; 2018-03-02 13:59:45 GMT+2; 2018-03-02 19:45; e70300-dr003
Middlesbrough; 17/20; 5/6; 5/6; 4/5; 87/100; 17/20; 5/6; 8/11; 4/5; 5/6; 4/5; 4/5; 5/6; 5/6; 17/20; 5/6; 4/5; 5/6; 9/11; 7/9; 17/20; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 12/5; 12/5; 27/11; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 27/11; 12/5; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2
Leeds; 4; 19/5; 19/5; 19/5; 4; 15/4; 7/2; 39/10; 4; 15/4; 7/2; 19/5; 15/4; 15/4; 19/5; 15/4; 62/17; 19/5; 4; 15/4; 50/13; 4; 21/5; 21/5; ; 
META; english/championship/middlesbrough-v-leeds; 2018-03-02 16:18:42 GMT+2; 2018-03-02 19:45; e70300-dr003
Middlesbrough; 17/20; 10/11; 20/23; 4/5; 9/10; 17/20; 5/6; 8/11; 11/13; 20/23; 4/5; 5/6; 10/11; 9/10; 17/20; 17/20; 13/15; 5/6; 7/8; 9/11; 9/10; 17/20; 13/15; 5/6; 5/6; 9/10
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 12/5; 47/20; 5/2; 23/10; 40/17; 12/5; 40/17; 40/17; 13/5; 49/20; 40/17; 23/10; 12/5; 12/5
Leeds; 17/4; 7/2; 18/5; 19/5; 4; 15/4; 7/2; 37/10; 18/5; 4; 7/2; 10/3; 17/5; 15/4; 15/4; 62/17; 15/4; 18/5; 18/5; 7/2; 15/4; 62/17; 7/2; 4; ; 
META; english/championship/middlesbrough-v-leeds; 2018-03-02 18:51:45 GMT+2; 2018-03-02 19:45; e70300-dr003
Middlesbrough; 10/11; 17/20; 10/11; 10/11; 23/25; 10/11; 5/6; 5/6; 11/13; 10/11; 4/5; 20/23; 10/11; 19/20; 10/11; 17/20; 10/11; 5/6; 11/12; 9/11; 19/20; 10/11; 19/20; 10/11; 20/21; 10/11
Draw; 12/5; 12/5; 12/5; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 40/17; 40/17; 12/5; 49/20; 40/17; 23/10; 12/5; 
Leeds; 15/4; 18/5; 17/5; 7/2; 77/20; 15/4; 15/4; 7/2; 37/10; 7/2; 4; 10/3; 16/5; 10/3; 15/4; 18/5; 57/17; 15/4; 57/17; 18/5; 18/5; 10/3; 57/17; 7/2; 7/2; 7/2
