META; english/championship/barnsley-v-norwich; 2018-02-27 18:17:15 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 13/10; 7/5; 13/10; 13/10; 69/50; 7/5; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; ; 27/20; 13/10; 13/10; 5/4; 13/10; 24/19; 13/10; 13/10; 13/10; 5/4; ; 13/10; 5/4; 27/20
Barnsley; 21/10; 2; 11/5; 11/5; 58/25; 21/10; 11/5; 2; 21/10; 9/4; 11/5; 9/4; ; 9/4; 11/5; 11/5; 21/10; 21/10; 21/11; 21/10; 11/5; 11/5; 28/13; ; 2; 2; 9/4
Draw; 9/4; 11/5; 21/10; 11/5; 47/20; 9/4; 11/5; 2; ; 21/10; 21/10; 21/10; ; 43/20; 23/10; 21/10; 28/13; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; ; 21/10; 21/10; 23/10
META; english/championship/barnsley-v-norwich; 2018-03-01 15:59:29 GMT+2; ; e70300-dr003
Norwich w w d d d d; 13/10; 7/5; 13/10; 13/10; 69/50; 29/20; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 13/10; 13/10; 25/19; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 27/20
META; english/championship/barnsley-v-norwich; 2018-03-02 04:00:53 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 13/10; 7/5; 13/10; 13/10; 69/50; 7/5; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 13/10; 13/10; 25/19; 5/4; 11/8; 13/10; 13/10; 13/10; 5/4; 27/20
Draw; 9/4; 11/5; 21/10; 11/5; 59/25; 23/10; 11/5; 21/10; 9/4; 21/10; 23/10; 11/5; 21/10; 43/20; 23/10; 11/5; 28/13; 11/5; 23/10; 11/5; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10
Barnsley; 21/10; 2; 11/5; 11/5; 23/10; 23/10; 21/10; 11/5; 9/4; 9/4; 9/4; 11/5; 5/2; 11/5; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 23/10; 11/5; 21/10; 11/5; 2; 9/4
META; english/championship/barnsley-v-norwich; 2018-03-02 05:00:55 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 13/10; 7/5; 13/10; 13/10; 69/50; 7/5; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 13/10; 13/10; 25/19; 5/4; 11/8; 13/10; 13/10; 13/10; 5/4; 27/20
Draw; 9/4; 11/5; 21/10; 11/5; 59/25; 23/10; 11/5; 21/10; 9/4; 21/10; 23/10; 11/5; 21/10; 43/20; 23/10; 11/5; 28/13; 11/5; 23/10; 11/5; 23/10; 11/5; 11/5; 11/5; 21/10; 23/10
Barnsley; 21/10; 2; 11/5; 11/5; 23/10; 23/10; 21/10; 11/5; 9/4; 9/4; 9/4; 11/5; 5/2; 11/5; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 23/10; 11/5; 21/10; 11/5; 2; 9/4
META; english/championship/barnsley-v-norwich; 2018-03-02 07:00:54 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 11/8; 7/5; 13/10; 13/10; 29/20; 7/5; 11/8; 13/10; 13/10; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 13/10; 13/10; 25/19; 5/4; 7/5; 11/8; 13/10; 13/10; 5/4; 7/5
Draw; 23/10; 11/5; 21/10; 11/5; 117/50; 23/10; 11/5; 21/10; 9/4; 21/10; 23/10; 21/10; 21/10; 43/20; 23/10; 11/5; 28/13; 11/5; 23/10; 11/5; 23/10; 11/5; 28/13; 11/5; 21/10; 23/10
Barnsley; 23/10; 2; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 9/4; 11/5; 9/4; 9/4; 5/2; 11/5; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 23/10; 11/5; 28/13; 21/10; 2; 21/10
META; english/championship/barnsley-v-norwich; 2018-03-02 08:20:42 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 11/8; 7/5; 27/20; 13/10; 29/20; 7/5; 11/8; 13/10; 13/10; 27/20; 13/10; 11/8; 6/5; 27/20; 13/10; 11/8; 13/10; 13/10; 25/19; 5/4; 7/5; 11/8; 13/10; 13/10; 5/4; 7/5
Draw; 23/10; 11/5; 21/10; 11/5; 117/50; 23/10; 11/5; 21/10; 9/4; 21/10; 23/10; 21/10; 21/10; 43/20; 23/10; 21/10; 28/13; 11/5; 23/10; 11/5; 23/10; 11/5; 28/13; 11/5; 21/10; 23/10
Barnsley; 23/10; 2; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 9/4; 11/5; 9/4; 21/10; 5/2; 11/5; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 23/10; 11/5; 28/13; 21/10; 2; 21/10
META; english/championship/barnsley-v-norwich; 2018-03-02 09:00:54 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 11/8; 7/5; 27/20; 13/10; 29/20; 7/5; 11/8; 13/10; 13/10; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 13/10; 13/10; 25/19; 5/4; 7/5; 11/8; 13/10; 13/10; 5/4; 7/5
Draw; 23/10; 11/5; 21/10; 11/5; 117/50; 23/10; 11/5; 21/10; 9/4; 21/10; 23/10; 21/10; 21/10; 43/20; 23/10; 11/5; 28/13; 11/5; 23/10; 11/5; 23/10; 11/5; 28/13; 11/5; 21/10; 23/10
Barnsley; 23/10; 2; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 9/4; 11/5; 9/4; 9/4; 5/2; 11/5; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 23/10; 11/5; 28/13; 21/10; 2; 21/10
META; english/championship/barnsley-v-norwich; 2018-03-02 13:59:51 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 11/8; 7/5; 27/20; 11/8; 29/20; 7/5; 11/8; 13/10; 13/10; 11/8; 13/10; 13/10; 6/5; 7/5; 13/10; 11/8; 13/10; 13/10; 25/19; 5/4; 29/20; 11/8; 13/10; 11/8; 11/8; 7/5
Draw; 23/10; 11/5; 21/10; 11/5; 117/50; 23/10; 11/5; 11/5; 9/4; 21/10; 23/10; 21/10; 21/10; 43/20; 23/10; 21/10; 28/13; 11/5; 23/10; 11/5; 23/10; 11/5; 28/13; 11/5; 23/10; 23/10
Barnsley; 23/10; 2; 21/10; 21/10; 11/5; 23/10; 21/10; 21/10; 9/4; 11/5; 9/4; 9/4; 5/2; 43/20; 11/5; 21/10; 39/19; 21/10; 11/5; 11/5; 11/5; 11/5; 21/10; 21/10; 21/10; 21/10
META; english/championship/barnsley-v-norwich; 2018-03-02 16:19:29 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 7/5; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 25/19; 5/4; 11/8; 13/10; 13/10
Draw; 23/10; 9/4; 23/10; 21/10; 11/5; 11/5; 11/5; 28/13; 11/5; 11/5; 11/5; 11/5
Barnsley; 23/10; 9/4; 9/4; 5/2; 21/10; 2; 21/10; 23/10; 11/5; 11/5; 39/19; 21/10
META; english/championship/barnsley-v-norwich; 2018-03-02 18:52:31 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 6/5; 13/10
Draw; 21/10; 11/5
Barnsley; 5/2; 21/10
META; english/championship/barnsley-v-norwich; 2018-03-03 12:19:02 GMT+2; 2018-03-03 15:00; e70300-dr003
Norwich; 13/10
Barnsley; 21/10
Draw; 11/5
META; english/championship/barnsley-v-norwich; 2018-03-12 10:26:07 GMT+2; 2018-03-13 19:45; e70300-dr003
Norwich; 29/20; 7/5; 11/8; 5/4; 73/50; 29/20; 13/10; 5/4; 7/5; 13/10; 11/8; 11/8; 7/5; 11/8; 11/8; 7/5; 6/5; 17/13; 5/4; 7/5; 7/5; 7/5; 11/8; 13/10; 7/5
Barnsley; 21/10; 2; 21/10; 2; 85/40; 9/4; 21/10; 11/5; 21/10; 23/10; 21/10; 2; 21/10; 21/10; 2; 39/19; 11/5; 15/8; 28/13; 2; 39/19; 2; 2; 21/10; 
Draw; 12/5; 9/4; 21/10; 11/5; 12/5; 23/10; 21/10; 23/10; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 40/17; 9/4; 11/5; 23/10; 9/4; 11/5; 21/10; 23/10
META; english/championship/barnsley-v-norwich; 2018-03-12 20:18:08 GMT+2; 2018-03-13 19:45; e70300-dr003
Norwich; 6/4; 7/5; 11/8; 7/5; 147/00; 29/20; 13/10; 10/7; 7/5; 29/20; 11/8; 7/5; 29/20; 11/8; 7/5; 7/5; 23/17; 26/19; 7/5; 29/20; 29/20; 7/5; 7/5; 6/4; 6/4; 6/4
Barnsley; 2; 21/10; 2; 43/20; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 19/10; 41/20; 21/10; 2; 39/19; 19/10; 21/10; 2; 85/40; 21/10; 39/19; 19/10; 2; 21/10; 2; 
Draw; 12/5; 9/4; 21/10; 11/5; 59/25; 23/10; 21/10; 9/4; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; 9/4; 23/10; 23/10; 11/5; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 
META; english/championship/barnsley-v-norwich; 2018-03-13 12:20:50 GMT+2; 2018-03-13 19:45; e70300-dr003
Norwich; 13/8; 8/5; 33/20; 8/5; 42/25; 13/8; 13/8; 6/4; 8/5; 33/20; 13/8; 8/5; 8/5; 13/8; 17/10; 6/4; 8/5; 23/17; 8/5; 17/11; 13/8; 13/8; 8/5; 13/8; 13/8; 13/8; 13/8
Barnsley; 19/10; 7/4; 15/8; 7/4; 19/10; 19/10; 9/5; 9/5; 9/5; 15/8; 15/8; 7/4; 9/5; 9/5; 9/5; 15/8; 9/5; 19/10; 9/5; 7/4; 19/10; 37/20; 24/13; 9/5; 15/8; 15/8; 9/5
Draw; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 21/10; 23/10; 11/5; 11/5; 11/5; 11/5; 43/20; 21/10; 11/5; 11/5; 23/10; 9/4; 9/4; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 23/10
META; english/championship/barnsley-v-norwich; 2018-03-13 20:18:41 GMT+2; 2018-03-13 19:45; e70300-dr003
Norwich; 7/4; 13/8; 17/10; 8/5; 87/50; 17/10; 17/10; 8/5; 17/10; 17/10; 17/10; 13/8; 13/8; 33/20; 13/8; 8/5; 28/17; 8/5; 17/10; 28/17; 7/4; 17/10; 28/17; 17/10; 17/10; 7/4; 17/10
Barnsley; 9/5; 17/10; 7/4; 7/4; 181/00; 15/8; 7/4; 7/4; 17/10; 7/4; 9/5; 7/4; 17/10; 7/4; 7/4; 7/4; 17/10; 28/17; 17/10; 28/17; 9/5; 17/10; 7/4; 7/4; 9/5; 9/5; 9/5
Draw; 23/10; 9/4; 9/4; 11/5; 117/0; 23/10; 9/4; 11/5; 23/10; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 9/4; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10
