META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 16:17:40 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; ; 11/10; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 6/5; ; 13/10; ; ; 5/4; ; ; ; ; ; ; 
Draw; ; 23/10; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; 12/5; ; 11/5; ; ; 119/50; ; ; ; ; ; ; 
Bournemouth; ; 5/2; 2; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 21/10; ; ; 131/50; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 20:17:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 5/4; ; ; ; 23/20; 6/5; 11/10; 11/10; 11/10; ; ; ; ; 15/13; 1; 1; 21/20; 1; 119/100; ; 21/20; ; ; ; ; 
West Brom; 11/10; 11/10; 23/20; 21/20; ; ; 11/10; 1; 11/10; 21/20; 11/10; 23/20; ; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; ; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; ; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; ; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; ; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; ; 14/5; 13/5; 13/5; 13/5; 12/5; 5/2; ; ; 13/5; 27/10; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-08 04:16:55 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; ; 11/10; 1; 11/10; 21/20; 11/10; 23/20; ; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; ; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; ; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; ; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; ; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; ; 14/5; 13/5; 13/5; 13/5; 12/5; 5/2; ; ; 13/5; 27/10; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-08 08:16:52 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; ; 23/20; ; 11/10; 21/20; 11/10; 23/20; ; ; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; ; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; ; 12/5; ; 12/5; 23/10; 11/5; 9/4; ; ; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; ; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; ; 11/4; ; 13/5; 13/5; 12/5; 5/2; ; ; 13/5; 13/5; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-08 12:17:04 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; ; 11/10; 11/10; 21/20; 1; 11/10; 21/20; ; 12/11; 11/10; ; ; ; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; ; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; ; 23/10; 9/4; ; ; ; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; ; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; ; 11/4; 27/10; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-08 16:16:53 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-08 20:17:15 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 11/10; ; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 12/5; ; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; ; 27/10; 27/10; 13/5; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-09 00:16:59 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-09 04:16:54 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-09 08:16:54 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 11/10; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-09 12:18:39 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-09 13:51:19 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-09 16:16:34 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-09 20:16:34 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-10 00:16:37 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-10 04:16:36 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-10 08:16:43 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 23/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 12/5; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 13/5; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 5/2; ; 5/2; 13/5; 13/5; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-10 12:16:49 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 21/20; ; 23/20; 11/10; 15/13; 21/20; 1; 11/10; 21/20; 117/100; 12/11; 11/10; ; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; ; 5/2; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 121/50; 23/10; 9/4; ; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 13/5; ; 5/2; 13/5; 27/10; 28/11; 27/10; 27/10; 28/11; 14/5; 11/4; 27/10; ; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-10 16:17:20 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 1; 11/10; 21/20; 11/10; 21/20; ; 23/20; 11/10; 15/13; 21/20; 1; 21/20; 21/20; 117/100; 12/11; 21/20; 11/10; ; 21/20; ; 
Draw; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; ; 5/2; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 121/50; 23/10; 40/17; 23/10; ; 23/10; ; 
Bournemouth; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 13/5; ; 5/2; 13/5; 27/10; 28/11; 27/10; 13/5; 28/11; 14/5; 11/4; 13/5; 12/5; ; 23/10; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-10 20:17:02 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 5/4; 11/10; 21/20; 11/10; 21/20; 21/20; 23/20; 11/10; 6/5; 21/20; 1; 21/20; 11/10; 117/100; 12/11; 21/20; 11/10; ; 21/20; ; 
