META; english/championship/bolton-v-sheffield-wednesday; 2017-09-30 22:21:19 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-01 02:21:16 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; 10/11; ; ; ; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 5/6; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; 11/4; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/11; ; 5/2; ; ; ; ; 
Bolton; ; 14/5; ; ; ; ; ; 16/5; 57/17; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; 16/5; ; ; ; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-01 10:21:15 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; 10/11; ; ; ; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 17/20; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; 11/4; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 28/11; ; 13/5; ; ; ; ; 
Bolton; ; 14/5; ; ; ; ; ; 16/5; 57/17; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; 3; ; ; ; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-01 14:21:23 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 10/11; ; 4/5; 4/5; ; 5/6; 4/5; 4/5; ; 20/23; ; ; ; ; 17/20; ; ; 4/5; ; ; 4/5; ; 4/5; ; ; ; ; 
Draw; 5/2; 12/5; ; 13/5; 5/2; ; 5/2; 13/5; 13/5; ; 12/5; ; ; ; ; 5/2; ; ; 27/11; ; ; 28/11; ; 5/2; ; ; ; ; 
Bolton; 15/4; 14/5; ; 17/5; 18/5; ; 18/5; 7/2; 57/17; ; 10/3; ; ; ; ; 7/2; ; ; 13/4; ; ; 13/4; ; 16/5; ; ; ; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-01 18:20:48 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 10/11; ; 4/5; 4/5; 4/5; 5/6; 8/11; 4/5; ; 4/5; ; ; ; 4/5; 5/6; 3/4; ; 4/5; ; 10/13; 4/5; ; 4/5; ; ; ; ; 
Draw; 5/2; 12/5; ; 13/5; 5/2; 13/5; 5/2; 13/5; 45/17; ; 5/2; ; ; ; 11/4; 5/2; 5/2; 13/5; 27/11; ; 12/5; 13/5; ; 5/2; ; ; ; ; 
Bolton; 15/4; 14/5; ; 17/5; 18/5; 4; 18/5; 7/2; 7/2; ; 7/2; ; ; ; 10/3; 7/2; 15/4; 17/5; 33/10; ; 31/10; 17/5; ; 10/3; ; ; ; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-01 22:20:38 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 10/11; ; 4/5; 4/5; 4/5; 5/6; 8/11; 4/5; ; 4/5; 5/6; ; 3/4; 4/5; 5/6; 3/4; ; 4/5; ; 10/13; 4/5; ; 4/5; ; ; 4/7; ; 
Draw; 5/2; 12/5; ; 13/5; 5/2; 13/5; 5/2; 13/5; 45/17; ; 5/2; 5/2; ; 11/4; 11/4; 5/2; 5/2; 13/5; 27/11; ; 12/5; 13/5; ; 5/2; ; ; 15/8; ; 
Bolton; 15/4; 14/5; ; 17/5; 18/5; 4; 18/5; 7/2; 7/2; ; 7/2; 7/2; ; 18/5; 10/3; 7/2; 15/4; 17/5; 33/10; ; 31/10; 17/5; ; 10/3; ; ; 13/5; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-02 02:20:31 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 10/11; ; 4/5; 4/5; 4/5; 5/6; 8/11; 4/5; ; 4/5; 5/6; ; 3/4; 4/5; 5/6; 3/4; ; 4/5; ; 10/13; 4/5; ; 4/5; ; ; 4/7; ; 
Draw; 5/2; 12/5; ; 13/5; 5/2; 13/5; 5/2; 13/5; 45/17; ; 5/2; 5/2; ; 11/4; 11/4; 5/2; 5/2; 13/5; 27/11; ; 12/5; 13/5; ; 5/2; ; ; 9/4; ; 
Bolton; 15/4; 14/5; ; 17/5; 18/5; 4; 18/5; 7/2; 7/2; ; 7/2; 7/2; ; 18/5; 10/3; 7/2; 15/4; 17/5; 33/10; ; 31/10; 17/5; ; 10/3; ; ; 13/5; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-02 10:20:58 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 10/11; ; 4/5; 4/5; 4/5; 4/5; 8/11; 4/5; ; 4/5; 5/6; ; 3/4; 4/5; 5/6; 3/4; ; 4/5; ; 10/13; 4/5; ; 4/5; ; ; 4/7; ; 
Draw; 5/2; 12/5; ; 13/5; 5/2; 13/5; 5/2; 13/5; 45/17; ; 5/2; 5/2; ; 11/4; 11/4; 5/2; 5/2; 13/5; 5/2; ; 12/5; 13/5; ; 5/2; ; ; 23/10; ; 
Bolton; 15/4; 14/5; ; 17/5; 18/5; 4; 15/4; 7/2; 7/2; ; 7/2; 7/2; ; 18/5; 10/3; 7/2; 15/4; 17/5; 57/17; ; 31/10; 17/5; ; 10/3; ; ; 13/5; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-02 18:21:13 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; ; 4/5; 4/5; 4/5; 4/5; 8/11; 4/5; ; 4/5; 5/6; ; 3/4; 4/5; 4/5; 3/4; 10/13; 83/100; 10/13; 4/5; 5/6; 4/5; 4/5; ; 4/6; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-04 02:21:28 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 3/4; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 4/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 5/2; 5/2; 53/20; 12/5; 13/5; 13/5; 5/2; 13/5; ; 12/5; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 4; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 15/4; 57/17; 4; 31/10; 17/5; 7/2; 18/5; 10/3; ; 12/5; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-04 10:21:36 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 3/4; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 4/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 5/2; 5/2; 53/20; 12/5; 13/5; 13/5; 5/2; 13/5; ; 12/5; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 4; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 15/4; 57/17; 4; 31/10; 17/5; 7/2; 18/5; 10/3; ; 23/10; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-04 14:21:40 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 3/4; 10/13; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 8/11; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 5/2; 5/2; 53/20; 12/5; 13/5; 13/5; 5/2; 13/5; ; 12/5; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 4; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 15/4; 17/5; 4; 31/10; 17/5; 7/2; 18/5; 10/3; ; 3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-04 18:21:40 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 10/13; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 12/5; 5/2; 53/20; 12/5; 13/5; 13/5; 5/2; 13/5; ; 9/4; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 17/5; 17/5; 4; 31/10; 17/5; 7/2; 18/5; 10/3; ; 1/3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-04 22:21:27 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 12/5; 5/2; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; ; 9/4; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 17/5; 57/17; 39/10; 31/10; 17/5; 7/2; 18/5; 10/3; ; 1/3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-05 02:21:29 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 12/5; 5/2; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; ; 9/4; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 17/5; 57/17; 39/10; 31/10; 17/5; 7/2; 18/5; 10/3; ; 3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-05 10:21:42 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 12/5; 5/2; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; ; 9/4; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 17/5; 57/17; 39/10; 31/10; 17/5; 7/2; 18/5; 10/3; ; 1/3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-05 14:21:47 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 12/5; 5/2; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; ; 9/4; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 17/5; 57/17; 39/10; 31/10; 17/5; 7/2; 18/5; 10/3; ; 1/3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-05 18:22:08 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 12/5; 5/2; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; ; 9/4; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 17/5; 57/17; 39/10; 31/10; 17/5; 7/2; 18/5; 10/3; ; 1/3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-05 22:21:50 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 45/17; 12/5; 5/2; 5/2; ; 13/5; 11/4; 12/5; 12/5; 5/2; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; ; 9/4; ; 
Bolton; 15/4; 7/2; 17/5; 17/5; 18/5; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; ; 18/5; 10/3; 7/2; 17/5; 57/17; 39/10; 31/10; 17/5; 7/2; 18/5; 10/3; ; 1/3; ; 
META; english/championship/bolton-v-sheffield-wednesday; 2017-10-06 02:23:09 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Sheffield Wednesday; 3/4; 4/5; 5/6; 4/5; 4/5; 7/8; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; ; 4/5; 4/5; 4/5; 5/6; 4/5; 83/100; 10/13; 4/5; 5/6; 5/6; 4/5; ; 5/6; ; 
