META; english/league-1/bury-v-bradford; 2017-04-05 11:28:09 GMT+3; 2017-04-08 15:00; e70300-dr003
Bradford; 1; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 10/11; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 1; 1; 1; 1; 21/20; ; 1; 21/20; 1; ; 1; ; 
META; english/league-1/bury-v-bradford; 2017-04-06 16:06:34 GMT+3; 2017-04-08 15:00; e70300-dr003
Bradford; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 17/16; 42/41; 21/20; 42/41; ; 1; 1; 21/20
Draw; 5/2; 12/5; 47/20; 9/4; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 9/4; 9/4; 49/20; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 27/11; 12/5; 27/11; ; 23/10; 23/10; 5/2
Bury; 13/5; 13/5; 13/5; 12/5; 11/4; 12/5; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 51/20; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 57/20; 27/10; 28/11; 5/2; 28/11; ; 11/4; 27/10; 14/5
META; english/league-1/bury-v-bradford; 2017-04-06 20:06:59 GMT+3; 2017-04-08 15:00; e70300-dr003
Bradford; 1; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 17/16; 42/41; 21/20; 42/41; ; 1; 1; 21/20
Draw; 5/2; 12/5; 47/20; 9/4; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 9/4; 49/20; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 12/5; 27/11; 12/5; 27/11; ; 23/10; 23/10; 5/2
Bury; 13/5; 13/5; 13/5; 12/5; 11/4; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 51/20; 27/10; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 57/20; 27/10; 28/11; 5/2; 28/11; ; 14/5; 27/10; 14/5
META; english/league-1/bury-v-bradford; 2017-04-07 13:08:20 GMT+3; 2017-04-08 15:00; e70300-dr003
Bradford; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 11/10; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 17/16; 42/41; 21/20; 42/41; ; 21/20; 1; 21/20
Draw; 5/2; 12/5; 49/20; 9/4; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 5/2; 5/2; 12/5; 40/17; 12/5; 12/5; 40/17; 13/5; 12/5; 27/11; 12/5; 27/11; ; 23/10; 23/10; 5/2
Bury; 3; 13/5; 11/4; 12/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 51/20; 27/10; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 57/20; 27/10; 28/11; 11/4; 28/11; ; 11/4; 13/5; 14/5
