META; english/league-1/doncaster-v-bury; 2018-02-27 18:17:57 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 6/5; 6/5; 6/5; 5/4; 61/50; 6/5; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 6/5; 15/13; 1; 22/19; 8/7; 6/5; 23/20; 15/13; ; 11/10; 23/20; 
Draw; 23/10; 9/4; 11/5; 11/5; 12/5; 23/10; 11/5; 11/5; 23/10; 11/5; 23/10; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; ; 2; 21/10; 
Bury; 23/10; 12/5; 12/5; 23/10; 64/25; 5/2; 23/10; 12/5; 27/11; 12/5; 12/5; 23/10; 13/5; 12/5; 23/10; 12/5; 40/17; 13/5; 39/19; 27/11; 12/5; 47/20; 40/17; ; 23/10; 2; 
META; english/league-1/doncaster-v-bury; 2018-03-01 16:00:12 GMT+2; ; e70300-dr003
Doncaster l d d l w l; 6/5; 6/5; 6/5; 23/20; 61/50; 6/5; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 6/5; 6/5; 6/5; 6/5; 1; 19/16; 8/7; 23/20; 23/20; 6/5; 11/10; 11/10; 6/5
META; english/league-1/doncaster-v-bury; 2018-03-02 04:02:38 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 13/10; 13/10; 27/20; 5/4; 7/5; 11/8; 13/10; 13/10; 4/3; 27/20; 11/8; 13/10; 6/5; 27/20; 13/10; 13/10; 23/17; 5/4; 5/4; 4/3; 11/8; 27/20; 23/17; 13/10; 5/4; 11/8
Bury; 21/10; 11/5; 21/10; 2; 21/10; 23/10; 2; 11/5; 37/19; 21/10; 21/10; 21/10; 23/10; 43/20; 21/10; 21/10; 2; 21/10; 21/10; 37/19; 85/40; 21/10; 39/19; 19/10; 15/8; 
Draw; 23/10; 11/5; 21/10; 11/5; 62/25; 23/10; 9/4; 11/5; 12/5; 11/5; 9/4; 9/4; 23/10; 43/20; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 12/5; 
META; english/league-1/doncaster-v-bury; 2018-03-02 05:02:39 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 13/10; 13/10; 27/20; 5/4; 7/5; 13/10; 13/10; 5/4; 4/3; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 23/17; 5/4; 5/4; 4/3; 11/8; 27/20; 23/17; 13/10; 5/4; 11/8
Bury; 21/10; 11/5; 21/10; 2; 21/10; 9/4; 2; 21/10; 37/19; 21/10; 21/10; 21/10; 23/10; 43/20; 21/10; 21/10; 2; 21/10; 21/10; 37/19; 85/40; 21/10; 39/19; 2; 15/8; 
Draw; 23/10; 11/5; 21/10; 11/5; 62/25; 5/2; 9/4; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; 43/20; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 
META; english/league-1/doncaster-v-bury; 2018-03-02 07:02:39 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 11/8; 13/10; 27/20; 5/4; 69/50; 13/10; 13/10; 5/4; 4/3; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 23/17; 5/4; 5/4; 4/3; 11/8; 27/20; 23/17; 13/10; 5/4; 27/20
Bury; 11/5; 11/5; 21/10; 2; 107/50; 9/4; 2; 21/10; 37/19; 21/10; 21/10; 21/10; 23/10; 43/20; 21/10; 21/10; 39/19; 21/10; 21/10; 37/19; 85/40; 21/10; 39/19; 2; 15/8; 
Draw; 12/5; 11/5; 21/10; 11/5; 62/25; 5/2; 9/4; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; 43/20; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 12/5; 
META; english/league-1/doncaster-v-bury; 2018-03-02 08:21:22 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 11/8; 13/10; 27/20; 5/4; 69/50; 13/10; 13/10; 5/4; 4/3; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 23/17; 5/4; 5/4; 4/3; 13/10; 27/20; 23/17; 13/10; 5/4; 27/20
Bury; 11/5; 11/5; 21/10; 2; 107/50; 9/4; 2; 21/10; 37/19; 21/10; 21/10; 21/10; 23/10; 43/20; 21/10; 21/10; 39/19; 21/10; 21/10; 37/19; 85/40; 21/10; 39/19; 2; 15/8; 
Draw; 12/5; 11/5; 21/10; 11/5; 62/25; 5/2; 9/4; 23/10; 12/5; 11/5; 12/5; 9/4; 23/10; 43/20; 23/10; 23/10; 9/4; 23/10; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 
META; english/league-1/doncaster-v-bury; 2018-03-02 09:02:40 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 11/8; 13/10; 27/20; 5/4; 69/50; 13/10; 13/10; 5/4; 4/3; 27/20; 13/10; 13/10; 6/5; 27/20; 13/10; 13/10; 23/17; 5/4; 5/4; 4/3; 13/10; 27/20; 23/17; 13/10; 5/4; 27/20
Bury; 11/5; 11/5; 21/10; 2; 107/50; 9/4; 2; 21/10; 37/19; 21/10; 21/10; 21/10; 23/10; 43/20; 21/10; 21/10; 39/19; 21/10; 21/10; 37/19; 85/40; 21/10; 39/19; 2; 15/8; 
Draw; 12/5; 11/5; 21/10; 11/5; 62/25; 5/2; 9/4; 23/10; 12/5; 11/5; 12/5; 9/4; 23/10; 43/20; 23/10; 23/10; 9/4; 23/10; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 
META; english/league-1/doncaster-v-bury; 2018-03-02 14:00:32 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 11/8; 13/10; 27/20; 5/4; 69/50; 13/10; 13/10; 5/4; 4/3; 27/20; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 13/10; 5/4; 5/4; 4/3; 11/8; 27/20; 13/10; 13/10; 13/10; 27/20
Bury; 11/5; 21/10; 21/10; 2; 85/40; 9/4; 2; 21/10; 37/19; 21/10; 21/10; 21/10; 21/10; 43/20; 21/10; 21/10; 2; 21/10; 21/10; 37/19; 85/40; 21/10; 2; 21/10; 2; 
Draw; 12/5; 9/4; 21/10; 11/5; 5/2; 5/2; 9/4; 23/10; 12/5; 11/5; 23/10; 9/4; 23/10; 43/20; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 12/5; 9/4; 23/10; 12/5; 12/5; 
META; english/league-1/doncaster-v-bury; 2018-03-03 12:19:36 GMT+2; 2018-03-03 15:00; e70300-dr003
Doncaster; 13/10; 4/3; 5/4; 4/3
Bury; 21/10; 37/19; 21/10; 37/19
Draw; 9/4; 12/5; 9/4; 12/5
META; english/league-1/doncaster-v-bury; 2018-04-16 20:40:26 GMT+3; 2018-04-17 19:45; e70300-dr003
Doncaster; 11/20; 4/7; 8/15; 11/20; 14/25; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/20; 4/7; 4/7; 4/7; 8/15; 18/35; 1/2; 4/7; 1/2; 11/20; 18/35; 1/2; 1/2; 4/9; 4/9; 1/2
Draw; 16/5; 3; 16/5; 13/4; 16/5; 3; 31/10; 3; 3; 14/5; 16/5; 3; 58/19; 29/10; 41/13; 31/10; 16/5; 31/10; 3; 3; 3; ; ; ; ; ; 
Bury; 6; 19/4; 5; 9/2; 57/10; 11/2; 11/2; 11/2; 21/4; 11/2; 11/2; 5; 9/2; 11/2; 11/2; 11/2; 53/10; 6; 21/5; 21/4; 11/2; 91/17; 5; 26/5; 5; 28/5; 24/5
META; english/league-1/doncaster-v-bury; 2018-04-17 20:42:44 GMT+3; 2018-04-17 19:45; e70300-dr003
Doncaster; 8/15; 8/15; 8/15; 1/2; 53/00; 11/20; 8/15; 1/2; 1/2; 8/15; 8/15; 8/15; 8/15; 11/20; 11/20; 8/15; 18/35; 8/15; 11/21; 1/2; 8/15; 18/35; 8/15; 8/15; 8/15; 8/15; 8/15
Draw; 10/3; 3; 16/5; 13/4; 10/3; 16/5; 16/5; 31/10; 3; 14/5; 3; 16/5; 100/0; 3; 31/10; 3; 16/5; 31/10; 10/3; 41/13; 3; 10/3; 10/3; 10/3; ; ; 
Bury; 6; 11/2; 11/2; 11/2; 28/5; 11/2; 11/2; 5; 27/5; 11/2; 11/2; 11/2; 5; 5; 11/2; 21/4; 5; 23/5; 27/5; 11/2; 26/5; 5; 28/5; 28/5; 11/2; 28/5; 
