META; english/league-1/mk-dons-v-bristol-rovers; 2018-02-27 18:18:03 GMT+2; 2018-03-03 15:00; e70300-dr003
MK Dons; 29/20; 6/4; 17/11; 6/4; 13/8; 31/20; 6/4; 7/5; 17/11; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 6/4; 6/4; 16/11; 7/5; 17/11; ; 29/20; 6/4; ; 7/5; 7/5; 
Bristol Rovers; 7/4; 7/4; 7/4; 9/5; 37/20; 7/4; 7/4; 13/8; 7/4; 7/4; 7/4; 7/4; 17/10; 7/4; 13/8; 7/4; 7/4; 7/4; 19/12; 7/4; 7/4; 9/5; 7/4; ; 13/8; 13/8; 
Draw; 12/5; 12/5; 9/4; 23/10; 12/5; 12/5; 9/4; 9/4; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 9/4; 12/5; 12/5; 9/4; ; 23/10; 9/4; ; 11/5; 19/10; 
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-01 16:00:19 GMT+2; ; e70300-dr003
MK Dons l l l l d d; 29/20; 6/4; 31/20; 6/4; 13/8; 31/20; 6/4; 6/4; 17/11; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 6/4; 6/4; 16/11; 52/35; 17/11; 29/20; 17/11; 6/4; 6/4; 8/5
Bristol Rovers w l w w l d; 7/4; 9/5; 7/4; 9/5; 46/25; 7/4; 7/4; 17/10; 7/4; 7/4; 9/5; 7/4; 17/10; 7/4; 13/8; 9/5; 7/4; 32/19; 7/4; 7/4; 9/5; 9/5; 13/8; 13/8; 7/4
Draw; 12/5; 23/10; 9/4; 23/10; 121/50; 12/5; 9/4; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-02 01:02:46 GMT+2; 2018-03-03 15:00; e70300-dr003
Bristol Rovers; 6/4; 6/4; 8/5; 13/8; 169/100; 17/10; 13/8; 13/8; 28/17; 8/5; 8/5; 8/5; 17/10; 13/8; 13/8; 8/5; 8/5; 6/4; 29/18; 28/17; 31/20; 17/10; 8/5; 13/8; 6/4; 13/8
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-02 05:02:45 GMT+2; 2018-03-03 15:00; e70300-dr003
Bristol Rovers; 6/4; 6/4; 8/5; 13/8; 169/100; 17/10; 8/5; 13/8; 28/17; 8/5; 8/5; 31/20; 17/10; 13/8; 13/8; 8/5; 8/5; 6/4; 29/18; 28/17; 31/20; 17/10; 8/5; 8/5; 6/4; 13/8
MK Dons; 17/10; 7/4; 17/10; 6/4; 177/100; 7/4; 13/8; 13/8; 13/8; 17/10; 17/10; 13/8; 6/4; 17/10; 13/8; 17/10; 17/10; 17/10; 17/11; 13/8; 17/10; 17/10; 17/10; 17/10; 13/8; 7/4
Draw; 12/5; 23/10; 9/4; 9/4; 121/50; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-02 07:02:44 GMT+2; 2018-03-03 15:00; e70300-dr003
Bristol Rovers; 17/10; 6/4; 13/8; 13/8; 169/100; 17/10; 8/5; 13/8; 28/17; 13/8; 13/8; 31/20; 17/10; 33/20; 13/8; 8/5; 8/5; 6/4; 29/18; 28/17; 8/5; 17/10; 28/17; 8/5; 6/4; 13/8
MK Dons; 9/5; 7/4; 33/20; 6/4; 177/100; 7/4; 13/8; 13/8; 13/8; 17/10; 17/10; 13/8; 6/4; 33/20; 13/8; 17/10; 28/17; 17/10; 17/11; 13/8; 17/10; 17/10; 17/10; 17/10; 13/8; 7/4
Draw; 12/5; 23/10; 9/4; 9/4; 121/50; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 11/5; 23/10; 
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-02 08:21:28 GMT+2; 2018-03-03 15:00; e70300-dr003
Bristol Rovers; 17/10; 6/4; 13/8; 13/8; 169/100; 17/10; 8/5; 13/8; 28/17; 13/8; 13/8; 31/20; 17/10; 33/20; 13/8; 8/5; 8/5; 6/4; 29/18; 28/17; 8/5; 17/10; 28/17; 13/8; 8/5; 13/8
MK Dons; 9/5; 7/4; 33/20; 6/4; 177/100; 7/4; 13/8; 13/8; 13/8; 17/10; 17/10; 13/8; 6/4; 33/20; 13/8; 17/10; 28/17; 17/10; 17/11; 13/8; 17/10; 17/10; 17/10; 17/10; 13/8; 7/4
Draw; 12/5; 23/10; 9/4; 9/4; 121/50; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 11/5; 23/10; 
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-02 09:02:45 GMT+2; 2018-03-03 15:00; e70300-dr003
Bristol Rovers; 17/10; 6/4; 8/5; 13/8; 167/100; 17/10; 8/5; 13/8; 28/17; 13/8; 13/8; 31/20; 17/10; 33/20; 13/8; 8/5; 8/5; 6/4; 29/18; 28/17; 8/5; 17/10; 28/17; 13/8; 8/5; 13/8
MK Dons; 9/5; 7/4; 33/20; 6/4; 179/100; 7/4; 17/10; 13/8; 13/8; 17/10; 17/10; 13/8; 6/4; 33/20; 13/8; 17/10; 28/17; 17/10; 17/11; 13/8; 17/10; 17/10; 17/10; 17/10; 13/8; 7/4
Draw; 12/5; 23/10; 9/4; 9/4; 121/50; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 11/5; 23/10; 
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-02 14:00:38 GMT+2; 2018-03-03 15:00; e70300-dr003
Bristol Rovers; 17/10; 13/8; 8/5; 13/8; 167/100; 17/10; 8/5; 13/8; 28/17; 13/8; 13/8; 31/20; 17/10; 33/20; 13/8; 8/5; 8/5; 6/4; 29/18; 28/17; 13/8; 17/10; 8/5; 8/5; 13/8; 13/8
MK Dons; 9/5; 13/8; 33/20; 6/4; 179/100; 7/4; 13/8; 13/8; 13/8; 17/10; 17/10; 13/8; 6/4; 33/20; 13/8; 8/5; 17/10; 17/10; 17/11; 13/8; 7/4; 17/10; 17/10; 17/10; 9/5; 7/4
Draw; 12/5; 23/10; 9/4; 9/4; 121/50; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; 23/10; 
META; english/league-1/mk-dons-v-bristol-rovers; 2018-03-03 12:19:39 GMT+2; 2018-03-03 15:00; e70300-dr003
MK Dons; 17/10; 13/8; 13/8; 8/5; 43/25; 17/10; 13/8; 8/5; 13/8; 33/20; 13/8; 13/8; 8/5; 33/20; 13/8; 8/5; 8/5; 17/10; 11/7; 13/8; 17/10; 17/10; 13/8; 13/8; 13/8
Bristol Rovers; 9/5; 13/8; 13/8; 13/8; 171/100; 7/4; 13/8; 13/8; 28/17; 33/20; 17/10; 31/20; 8/5; 33/20; 13/8; 8/5; 8/5; 6/4; 11/7; 28/17; 17/10; 17/10; 17/10; 7/4; 13/8
Draw; 12/5; 12/5; 9/4; 12/5; 123/50; 5/2; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 12/5; 12/5
