META; english/league-1/scunthorpe-v-oldham; 2018-02-27 18:18:11 GMT+2; 2018-03-03 15:00; e70300-dr003
Scunthorpe; 10/11; 19/20; 19/20; 1; 51/50; 19/20; 20/21; 10/11; 15/16; 19/20; 10/11; 20/21; 17/20; 1; 1; 19/20; 19/20; 9/10; 11/12; 15/16; 20/21; 10/11; ; ; 9/10; 10/11; 
Draw; 12/5; 5/2; 12/5; 12/5; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 12/5; 12/5; 5/2; 40/17; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; 23/10; 11/5; 
Oldham; 3; 14/5; 14/5; 11/4; 59/20; 29/10; 11/4; 11/4; 14/5; 14/5; 3; 13/5; 16/5; 14/5; 11/4; 14/5; 11/4; 3; 5/2; 14/5; 3; 14/5; 14/5; ; 13/5; 5/2; 
META; english/league-1/scunthorpe-v-oldham; 2018-03-01 16:00:28 GMT+2; ; e70300-dr003
Scunthorpe l w l d d d; 10/11; 19/20; 19/20; 1; 99/100; 19/20; 20/21; 10/11; 15/16; 19/20; 19/20; 20/21; 17/20; 1; 19/20; 1; 9/10; 19/20; 15/16; 1; 10/11; 1; 10/11; 10/11; 20/21; 
META; english/league-1/scunthorpe-v-oldham; 2018-03-02 09:02:54 GMT+2; 2018-03-03 15:00; e70300-dr003
Scunthorpe; 1; 19/20; 19/20; 1; 101/100; 19/20; 20/21; 10/11; 15/16; 1; 19/20; 20/21; 9/10; 1; 19/20; 1; 9/10; 39/40; 15/16; 20/21; 19/20; 1; 20/21; 20/21; ; 
Draw; 13/5; 5/2; 12/5; 12/5; 131/50; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 27/11; 5/2; 13/5; 5/2; 12/5; 23/10; 23/10; 5/2
Oldham; 3; 14/5; 14/5; 11/4; 74/25; 29/10; 11/4; 11/4; 14/5; 14/5; 3; 11/4; 11/4; 14/5; 11/4; 14/5; 14/5; 3; 45/17; 14/5; 14/5; 14/5; 14/5; 14/5; 11/4; 14/5
META; english/league-1/scunthorpe-v-oldham; 2018-03-02 14:00:47 GMT+2; 2018-03-03 15:00; e70300-dr003
Scunthorpe; 1; 19/20; 19/20; 1; 101/100; 19/20; 20/21; 10/11; 15/16; 1; 20/21; 9/10; 1; 19/20; 9/10; 39/40; 15/16; 1; 19/20; 1; 20/21; 1; ; ; ; 
Draw; 13/5; 5/2; 12/5; 12/5; 131/50; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 27/11; 12/5; 27/11; 5/2; 13/5; 5/2; 27/11; 23/10; 12/5; 5/2
Oldham; 3; 14/5; 14/5; 11/4; 74/25; 29/10; 11/4; 11/4; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 14/5; 11/4; 3; 45/17; 14/5; 29/10; 14/5; 14/5; 11/4; 13/5; 14/5
META; english/league-1/scunthorpe-v-oldham; 2018-03-03 12:19:42 GMT+2; 2018-03-03 15:00; e70300-dr003
Scunthorpe; 1; 19/20; 1; 101/100; 1; 10/11; 39/40; 1; 20/21; 1; 1; 19/20; 1; 9/10; 39/40; 39/40; 1; 1; 20/21; 1; ; ; ; ; ; 
Draw; 13/5; 5/2; 12/5; 12/5; 67/25; 27/10; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 49/20; 12/5; 5/2; 27/11; 12/5; 27/11; 5/2; 13/5; 5/2; 27/11; 12/5; 5/2; 13/5; 
Oldham; 3; 14/5; 27/10; 11/4; 29/10; 3; 11/4; 11/4; 45/17; 11/4; 11/4; 14/5; 11/4; 14/5; 11/4; 14/5; 11/4; 3; 13/5; 45/17; 14/5; 14/5; 11/4; 14/5; 14/5; 14/5
